Index,Coefficient
0,5.729424046307940e-08
1,6.364520999113665e-08
2,7.019999515023301e-08
3,7.688907999181538e-08
4,8.361648440313729e-08
5,8.998352285516376e-08
6,9.676390533286394e-08
7,1.032318763805051e-07
8,1.098346160688379e-07
9,1.162301046520042e-07
10,1.222193475314270e-07
11,1.278794883319279e-07
12,1.335772026322957e-07
13,1.386691224070091e-07
14,1.438052521507416e-07
15,1.484093843373557e-07
16,1.525452120176851e-07
17,1.562884506256523e-07
18,1.597226173544186e-07
19,1.627312684604476e-07
20,1.652143453156896e-07
21,1.667482649736485e-07
22,1.689106312596778e-07
23,1.701083078842203e-07
24,1.711277803906341e-07
25,1.708043413373161e-07
26,1.718411795081920e-07
27,1.718245243864658e-07
28,1.716529993700533e-07
29,1.714757758009000e-07
30,1.706768699705208e-07
31,1.700472154197996e-07
32,1.695858031780517e-07
33,1.690662969622281e-07
34,1.682397936519919e-07
35,1.679774328522399e-07
36,1.677681495948491e-07
37,1.676753385027041e-07
38,1.682662400526169e-07
39,1.689292901119188e-07
40,1.701849754454088e-07
41,1.722713562912759e-07
42,1.736168115940018e-07
43,1.760757442070826e-07
44,1.789753127923177e-07
45,1.822004946916422e-07
46,1.861345566567252e-07
47,1.905114430655885e-07
48,1.952170123331598e-07
49,2.000763288378948e-07
50,2.058257422277165e-07
51,2.118057977895660e-07
52,2.179658196155287e-07
53,2.243675112367782e-07
54,2.309619446805300e-07
55,2.376632863843042e-07
56,2.445277687002090e-07
57,2.516199231195060e-07
58,2.579922977474780e-07
59,2.643271557190019e-07
60,2.706941586438916e-07
61,2.763679560757737e-07
62,2.825051694799185e-07
63,2.875754319120460e-07
64,2.926017259596847e-07
65,2.966499152989854e-07
66,3.005748112627771e-07
67,3.037166891317611e-07
68,3.061595919007232e-07
69,3.084136324105202e-07
70,3.093517193519801e-07
71,3.100491312579834e-07
72,3.101991978837759e-07
73,3.094301064265892e-07
74,3.086840365540411e-07
75,3.069474132644245e-07
76,3.052153090266074e-07
77,3.026612773737725e-07
78,3.001641459832172e-07
79,2.973160917463247e-07
80,2.944348409528175e-07
81,2.914750893978635e-07
82,2.883373610984563e-07
83,2.854409046904038e-07
84,2.828815865996148e-07
85,2.803960228447977e-07
86,2.785741628485994e-07
87,2.771336085061193e-07
88,2.762990334304050e-07
89,2.763126190075127e-07
90,2.763823090390360e-07
91,2.775550171918439e-07
92,2.797129354803474e-07
93,2.824787657118577e-07
94,2.861472125914588e-07
95,2.905006226683327e-07
96,2.961446625704411e-07
97,3.023882584329840e-07
98,3.094475857778889e-07
99,3.172130220718827e-07
100,3.258330991684488e-07
101,3.351674706664198e-07
102,3.446025687026122e-07
103,3.549157554516569e-07
104,3.652884856819583e-07
105,3.755594946142082e-07
106,3.868732960654597e-07
107,3.977323217441153e-07
108,4.085639488948800e-07
