Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
0.000000,-0.000001,-0.000326,-0.000325
0.732422,-0.000002,-0.000326,-0.000325
1.464844,-0.000001,-0.000326,-0.000326
2.197266,-0.000002,-0.000327,-0.000325
2.929688,-0.000002,-0.000327,-0.000325
3.662109,-0.000001,-0.000327,-0.000326
4.394531,-0.000002,-0.000327,-0.000326
5.126953,-0.000002,-0.000328,-0.000326
5.859375,-0.000001,-0.000328,-0.000327
6.591797,-0.000002,-0.000329,-0.000327
7.324219,-0.000001,-0.000329,-0.000328
8.056641,-0.000002,-0.000330,-0.000328
8.789062,-0.000001,-0.000330,-0.000329
9.521484,-0.000001,-0.000331,-0.000330
10.253906,-0.000001,-0.000332,-0.000331
10.986328,-0.000001,-0.000333,-0.000332
11.718750,-0.000001,-0.000334,-0.000333
12.451172,-0.000002,-0.000335,-0.000334
13.183594,-0.000002,-0.000337,-0.000335
13.916016,-0.000002,-0.000338,-0.000336
14.648438,-0.000001,-0.000339,-0.000338
15.380859,-0.000002,-0.000341,-0.000338
16.113281,-0.000001,-0.000342,-0.000341
16.845703,-0.000002,-0.000344,-0.000342
17.578125,-0.000001,-0.000345,-0.000344
18.310547,-0.000002,-0.000347,-0.000345
19.042969,-0.000002,-0.000349,-0.000347
19.775391,-0.000001,-0.000351,-0.000350
20.507812,-0.000001,-0.000353,-0.000352
21.240234,-0.000002,-0.000355,-0.000353
21.972656,-0.000002,-0.000357,-0.000355
22.705078,-0.000002,-0.000359,-0.000358
23.437500,-0.000001,-0.000361,-0.000361
24.169922,-0.000001,-0.000364,-0.000363
24.902344,-0.000002,-0.000367,-0.000365
25.634766,-0.000002,-0.000370,-0.000367
26.367188,-0.000001,-0.000372,-0.000372
27.099609,-0.000002,-0.000376,-0.000374
27.832031,-0.000002,-0.000379,-0.000377
28.564453,-0.000002,-0.000382,-0.000380
29.296875,-0.000002,-0.000386,-0.000384
30.029297,-0.000002,-0.000389,-0.000388
30.761719,-0.000001,-0.000393,-0.000392
31.494141,-0.000002,-0.000397,-0.000395
32.226562,-0.000001,-0.000401,-0.000400
32.958984,-0.000001,-0.000405,-0.000404
33.691406,-0.000001,-0.000410,-0.000409
34.423828,-0.000001,-0.000415,-0.000414
35.156250,-0.000001,-0.000420,-0.000419
35.888672,-0.000002,-0.000425,-0.000423
36.621094,-0.000001,-0.000431,-0.000430
37.353516,-0.000001,-0.000437,-0.000435
38.085938,-0.000001,-0.000443,-0.000442
38.818359,-0.000002,-0.000449,-0.000447
39.550781,-0.000002,-0.000456,-0.000454
40.283203,-0.000001,-0.000463,-0.000462
41.015625,-0.000001,-0.000471,-0.000469
41.748047,-0.000002,-0.000478,-0.000476
42.480469,-0.000002,-0.000487,-0.000485
43.212891,-0.000002,-0.000495,-0.000494
43.945312,-0.000001,-0.000504,-0.000503
44.677734,-0.000002,-0.000513,-0.000511
45.410156,-0.000001,-0.000524,-0.000523
46.142578,-0.000001,-0.000535,-0.000534
46.875000,-0.000001,-0.000547,-0.000545
47.607422,-0.000002,-0.000558,-0.000556
48.339844,-0.000001,-0.000572,-0.000571
49.072266,-0.000001,-0.000587,-0.000585
49.804688,-0.000001,-0.000602,-0.000600
50.537109,-0.000002,-0.000617,-0.000615
51.269531,-0.000002,-0.000635,-0.000633
52.001953,-0.000002,-0.000654,-0.000653
52.734375,-0.000002,-0.000674,-0.000673
53.466797,-0.000001,-0.000694,-0.000693
54.199219,-0.000001,-0.000718,-0.000717
54.931641,-0.000001,-0.000746,-0.000745
55.664062,-0.000001,-0.000774,-0.000774
56.396484,-0.000001,-0.000802,-0.000802
57.128906,-0.000001,-0.000837,-0.000836
57.861328,-0.000001,-0.000880,-0.000879
58.593750,-0.000001,-0.000923,-0.000922
59.326172,-0.000002,-0.000966,-0.000964
60.058594,-0.000001,-0.001019,-0.001018
60.791016,-0.000002,-0.001092,-0.001090
61.523438,-0.000001,-0.001164,-0.001163
62.255859,-0.000002,-0.001237,-0.001234
62.988281,-0.000002,-0.001328,-0.001326
63.720703,-0.000003,-0.001468,-0.001465
64.453125,-0.000004,-0.001608,-0.001604
65.185547,-0.000005,-0.001748,-0.001743
65.917969,-0.000007,-0.001700,-0.001693
