Index,Coefficient
0,1.017602205276489e+00
1,-7.454703561961651e-03
2,-7.389532402157784e-03
3,-7.299969438463449e-03
4,-7.186991162598133e-03
5,-7.051830179989338e-03
6,-6.896008737385273e-03
7,-6.721315439790487e-03
8,-6.529736332595348e-03
9,-6.323497276753187e-03
10,-6.104983855038881e-03
11,-5.876734852790833e-03
12,-5.641397088766098e-03
13,-5.401710513979197e-03
14,-5.160441156476736e-03
15,-4.920390900224447e-03
16,-4.684316460043192e-03
17,-4.454920999705791e-03
18,-4.234808497130871e-03
19,-4.026472102850676e-03
20,-3.832216141745448e-03
21,-3.654173109680414e-03
22,-3.494255710393190e-03
23,-3.354134503751993e-03
24,-3.235199255868793e-03
25,-3.138584550470114e-03
26,-3.065103897824883e-03
27,-3.015268826857209e-03
28,-2.989270957186818e-03
29,-2.986981300637126e-03
30,-3.007953986525536e-03
31,-3.051414852961898e-03
32,-3.116291947662830e-03
33,-3.201202256605029e-03
34,-3.304501995444298e-03
35,-3.424253780394793e-03
36,-3.558303928002715e-03
37,-3.704264760017395e-03
38,-3.859580494463444e-03
39,-4.021504428237677e-03
40,-4.187186714261770e-03
41,-4.353673197329044e-03
42,-4.517960827797651e-03
43,-4.676995333284140e-03
44,-4.827762488275766e-03
45,-4.967272281646729e-03
46,-5.092625040560961e-03
47,-5.201033316552639e-03
48,-5.289850756525993e-03
49,-5.356620997190475e-03
50,-5.399072077125311e-03
51,-5.415188614279032e-03
52,-5.403186194598675e-03
53,-5.361578892916441e-03
54,-5.289152730256319e-03
55,-5.185013171285391e-03
56,-5.048578139394522e-03
57,-4.879600368440151e-03
58,-4.678143188357353e-03
59,-4.444600082933903e-03
60,-4.179697018116713e-03
61,-3.884464036673307e-03
62,-3.560241777449846e-03
63,-3.208648180589080e-03
64,-2.831583376973867e-03
65,-2.431194065138698e-03
66,-2.009850228205323e-03
67,-1.570128020830452e-03
68,-1.114771119318902e-03
69,-6.466783815994859e-04
70,-1.688458287389949e-04
71,3.156248712912202e-04
72,8.036043145693839e-04
73,1.291928114369512e-03
74,1.777454745024443e-03
75,2.257086103782058e-03
76,2.727791434153914e-03
77,3.186663379892707e-03
78,3.630906110629439e-03
79,4.057903308421373e-03
80,4.465200938284397e-03
81,4.850576166063547e-03
82,5.212001036852598e-03
83,5.547706037759781e-03
84,5.856171716004610e-03
85,6.136143114417791e-03
86,6.386633962392807e-03
87,6.606930866837502e-03
88,6.796606350690126e-03
89,6.955503951758146e-03
90,7.083734031766653e-03
91,7.181675639003515e-03
92,7.249957881867886e-03
93,7.289457600563765e-03
94,7.301257923245430e-03
95,7.286668289452791e-03
96,7.247180677950382e-03
97,7.184462156146765e-03
98,7.100313901901245e-03
99,6.996660958975554e-03
100,6.875545717775822e-03
101,6.739065516740084e-03
102,6.589383352547884e-03
103,6.428685039281845e-03
104,6.259152200073004e-03
105,6.082958076149225e-03
106,5.902224220335484e-03
107,5.719021428376436e-03
108,5.535326898097992e-03
109,5.353013053536415e-03
110,5.173847544938326e-03
111,4.999455064535141e-03
112,4.831327591091394e-03
113,4.670778289437294e-03
114,4.518984351307154e-03
115,4.376940429210663e-03
116,4.245460499078035e-03
117,4.125188104808331e-03
118,4.016591701656580e-03
119,3.919966053217649e-03
120,3.835432464256883e-03
121,3.762950422242284e-03
122,3.702324815094471e-03
123,3.653205698356032e-03
124,3.615112276747823e-03
125,3.587443148717284e-03
126,3.569472115486860e-03
127,3.560385666787624e-03
128,3.559271106496453e-03
129,3.565168939530849e-03
130,3.577040741220117e-03
131,3.593813162297010e-03
132,3.614398650825024e-03
133,3.637682879343629e-03
134,3.662564791738987e-03
135,3.687951015308499e-03
136,3.712776815518737e-03
137,3.736027749255300e-03
138,3.756722901016474e-03
139,3.773952834308147e-03
140,3.786875167861581e-03
141,3.794712480157614e-03
