Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999998637937535e-01,-0.000001,-0.000000
0.732422,9.999998152896772e-01,-0.000002,-0.000887
1.464844,9.999999039116438e-01,-0.000001,-0.001774
2.197266,9.999997862058286e-01,-0.000002,-0.002662
2.929688,9.999997490303569e-01,-0.000002,-0.003549
3.662109,9.999998296159394e-01,-0.000001,-0.004436
4.394531,9.999998196213552e-01,-0.000002,-0.005323
5.126953,9.999997899573988e-01,-0.000002,-0.006210
5.859375,9.999999039676337e-01,-0.000001,-0.007097
6.591797,9.999997957184124e-01,-0.000002,-0.007983
7.324219,9.999998655792630e-01,-0.000001,-0.008870
8.056641,9.999997873291550e-01,-0.000002,-0.009757
8.789062,9.999998750621560e-01,-0.000001,-0.010643
9.521484,9.999998773935460e-01,-0.000001,-0.011529
10.253906,9.999998650679839e-01,-0.000001,-0.012415
10.986328,9.999998532135613e-01,-0.000001,-0.013301
11.718750,9.999998848601128e-01,-0.000001,-0.014187
12.451172,9.999998153252658e-01,-0.000002,-0.015072
13.183594,9.999997961804639e-01,-0.000002,-0.015957
13.916016,9.999997972507998e-01,-0.000002,-0.016842
14.648438,9.999998678323612e-01,-0.000001,-0.017726
15.380859,9.999997207064775e-01,-0.000002,-0.018609
16.113281,9.999998357463501e-01,-0.000001,-0.019493
16.845703,9.999997841570740e-01,-0.000002,-0.020375
17.578125,9.999998786889954e-01,-0.000001,-0.021257
18.310547,9.999997364295763e-01,-0.000002,-0.022138
19.042969,9.999998075458865e-01,-0.000002,-0.023019
19.775391,9.999998825988368e-01,-0.000001,-0.023898
20.507812,9.999998487205377e-01,-0.000001,-0.024777
21.240234,9.999997765975633e-01,-0.000002,-0.025654
21.972656,9.999997648351384e-01,-0.000002,-0.026530
22.705078,9.999998144166772e-01,-0.000002,-0.027405
23.437500,9.999999236247153e-01,-0.000001,-0.028278
24.169922,9.999998771098904e-01,-0.000001,-0.029150
24.902344,9.999997953164425e-01,-0.000002,-0.030020
25.634766,9.999997406589317e-01,-0.000002,-0.030888
26.367188,9.999998865258474e-01,-0.000001,-0.031754
27.099609,9.999998011647522e-01,-0.000002,-0.032617
27.832031,9.999998222614918e-01,-0.000002,-0.033478
28.564453,9.999997659687176e-01,-0.000002,-0.034336
29.296875,9.999998062161590e-01,-0.000002,-0.035191
30.029297,9.999998045112042e-01,-0.000002,-0.036043
30.761719,9.999998283585926e-01,-0.000001,-0.036891
31.494141,9.999998056720425e-01,-0.000002,-0.037735
32.226562,9.999998950971630e-01,-0.000001,-0.038575
32.958984,9.999999087820577e-01,-0.000001,-0.039411
33.691406,9.999998363635370e-01,-0.000001,-0.040241
34.423828,9.999999285020515e-01,-0.000001,-0.041066
35.156250,9.999998776007740e-01,-0.000001,-0.041884
35.888672,9.999998013056407e-01,-0.000002,-0.042696
36.621094,9.999999228885618e-01,-0.000001,-0.043502
37.353516,9.999998365657752e-01,-0.000001,-0.044299
38.085938,9.999999009497041e-01,-0.000001,-0.045088
38.818359,9.999997568163420e-01,-0.000002,-0.045868
39.550781,9.999997894356708e-01,-0.000002,-0.046639
40.283203,9.999998740174997e-01,-0.000001,-0.047398
41.015625,9.999998312948586e-01,-0.000001,-0.048146
41.748047,9.999997492832459e-01,-0.000002,-0.048882
42.480469,9.999997712611500e-01,-0.000002,-0.049604
43.212891,9.999997942661760e-01,-0.000002,-0.050311
43.945312,9.999998558818683e-01,-0.000001,-0.051002
44.677734,9.999997664083279e-01,-0.000002,-0.051676
45.410156,9.999999294691729e-01,-0.000001,-0.052330
46.142578,9.999998463201730e-01,-0.000001,-0.052964
46.875000,9.999998630021986e-01,-0.000001,-0.053575
47.607422,9.999998027528757e-01,-0.000002,-0.054162
48.339844,9.999999082741001e-01,-0.000001,-0.054722
49.072266,9.999998426366365e-01,-0.000001,-0.055252
49.804688,9.999998314861148e-01,-0.000001,-0.055751
50.537109,9.999997738472991e-01,-0.000002,-0.056214
51.269531,9.999998239263963e-01,-0.000002,-0.056639
52.001953,9.999997784117469e-01,-0.000002,-0.057022
52.734375,9.999998232909491e-01,-0.000002,-0.057359
53.466797,9.999998584784507e-01,-0.000001,-0.057644
54.199219,9.999998449564840e-01,-0.000001,-0.057874
54.931641,9.999998401455911e-01,-0.000001,-0.058041
55.664062,9.999999225181027e-01,-0.000001,-0.058139
56.396484,9.999998984498806e-01,-0.000001,-0.058160
57.128906,9.999998802044342e-01,-0.000001,-0.058096
57.861328,9.999998504793591e-01,-0.000001,-0.057937
58.593750,9.999998998857038e-01,-0.000001,-0.057670
59.326172,9.999998233177769e-01,-0.000002,-0.057282
60.058594,9.999998710629155e-01,-0.000001,-0.056757
60.791016,9.999998085178684e-01,-0.000002,-0.056076
61.523438,9.999998281318744e-01,-0.000001,-0.055215
62.255859,9.999997309688078e-01,-0.000002,-0.054146
62.988281,9.999997463942770e-01,-0.000002,-0.052835
63.720703,9.999996646627406e-01,-0.000003,-0.051238
64.453125,9.999995543526903e-01,-0.000004,-0.049296
65.185547,9.999993976915932e-01,-0.000005,-0.046934
65.917969,9.999991847896600e-01,-0.000007,-0.044043
66.650391,9.999988289165217e-01,-0.000010,-0.040465
67.382812,9.999982233258103e-01,-0.000015,-0.035937
68.115234,9.999966588802379e-01,-0.000029,-0.029952
68.847656,1.000104957304695e+00,0.000912,-0.020905
69.580078,1.006625088938669e+00,0.057355,-0.007248
70.312500,1.019075578876525e+00,0.164128,0.000929
71.044922,1.031675210013657e+00,0.270860,0.005811
71.777344,1.044429771442199e+00,0.377585,0.008817
72.509766,1.057341598882539e+00,0.484306,0.010421
73.242188,1.070412893747421e+00,0.591027,0.010868
73.974609,1.083645587960313e+00,0.697745,0.010307
74.707031,1.097041820340154e+00,0.804464,0.008832
75.439453,1.110603411508928e+00,0.911180,0.006509
