Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999624839742037e-01,-0.000326,-0.000000
2.989723,9.999623535983929e-01,-0.000327,-0.003621
5.979446,9.999622381339017e-01,-0.000328,-0.007242
8.969168,9.999619398304117e-01,-0.000331,-0.010861
11.958891,9.999614873665671e-01,-0.000335,-0.014477
14.948614,9.999608639701927e-01,-0.000340,-0.018088
17.938337,9.999601405082599e-01,-0.000346,-0.021691
20.928060,9.999592566966964e-01,-0.000354,-0.025280
23.917783,9.999582409663496e-01,-0.000363,-0.028850
26.907505,9.999568672253495e-01,-0.000375,-0.032391
29.897228,9.999552434678997e-01,-0.000389,-0.035889
32.886951,9.999534277412954e-01,-0.000405,-0.039328
35.876674,9.999510990014417e-01,-0.000425,-0.042682
38.866397,9.999482688546873e-01,-0.000449,-0.045918
41.856120,9.999448503969717e-01,-0.000479,-0.048987
44.845842,9.999406993542376e-01,-0.000515,-0.051824
47.835565,9.999353440612274e-01,-0.000562,-0.054334
50.825288,9.999283243385814e-01,-0.000623,-0.056378
53.815011,9.999190113515329e-01,-0.000703,-0.057747
56.804734,9.999058212613856e-01,-0.000818,-0.058114
59.794457,9.998856757830830e-01,-0.000993,-0.056925
62.784179,9.998516360434395e-01,-0.001289,-0.053154
65.773902,9.997858131672902e-01,-0.001861,-0.044476
68.763625,1.000170514179198e+00,0.001481,-0.021270
71.753348,1.044306839900816e+00,0.376562,0.008566
74.743071,1.097799967408392e+00,0.810464,0.008584
77.732794,1.154177240849285e+00,1.245450,-0.005998
80.722516,1.213464587794483e+00,1.680542,-0.033339
83.712239,1.275704817349414e+00,2.115004,-0.074885
86.701962,1.336083328053659e+00,2.516671,-0.142213
89.691685,1.350752284174049e+00,2.611514,-0.207708
92.681408,1.382695636930480e+00,2.814532,-0.269054
95.671130,1.414107975113142e+00,3.009651,-0.353692
98.660853,1.412455389233796e+00,2.999495,-0.454687
101.650576,1.388244787252763e+00,2.849321,-0.561997
104.640299,1.327372510863499e+00,2.459856,-0.682258
107.630022,1.221792350423000e+00,1.739948,-0.798696
110.619745,1.080091082885113e+00,0.669208,-0.888561
113.609467,9.518548065090329e-01,-0.428586,-0.944844
116.599190,8.298270778133400e-01,-1.620248,-0.986488
119.588913,7.129323541917972e-01,-2.939034,-0.999713
122.578636,6.085898362188894e-01,-4.313506,-0.975347
125.568359,5.337837418956511e-01,-5.452693,-0.908159
128.558082,4.806185799780510e-01,-6.363989,-0.840489
131.547804,4.341731465911685e-01,-7.246741,-0.764943
134.537527,3.966589336644376e-01,-8.031655,-0.673528
137.527250,3.677184315021725e-01,-8.689692,-0.563934
140.516973,3.516582159781509e-01,-9.077585,-0.445168
143.506696,3.429701045989412e-01,-9.294875,-0.335976
146.496419,3.378910335105605e-01,-9.424467,-0.228794
149.486141,3.374617529832319e-01,-9.435509,-0.122455
152.475864,3.418408507342186e-01,-9.323521,-0.014387
155.465587,3.561349198103573e-01,-8.967709,0.086761
158.455310,3.743291797254492e-01,-8.534926,0.158927
161.445033,3.912811097924668e-01,-8.150222,0.221277
164.434756,4.102751588783112e-01,-7.738496,0.279558
167.424478,4.304451797474497e-01,-7.321643,0.329137
170.414201,4.534154058103705e-01,-6.870075,0.382004
173.403924,4.870188064201512e-01,-6.249085,0.426578
176.393647,5.271618893995917e-01,-5.561120,0.439741
179.383370,5.611901352136823e-01,-5.017799,0.433380
182.373092,5.873186841085666e-01,-4.622524,0.417879
185.362815,6.048559858328496e-01,-4.366960,0.402354
188.352538,6.162444672576936e-01,-4.204939,0.397671
191.342261,6.292660068156291e-01,-4.023315,0.400417
194.331984,6.462624602371521e-01,-3.791821,0.405330
197.321707,6.664928970321298e-01,-3.524089,0.404405
200.311429,6.869136280101620e-01,-3.261957,0.398931
203.301152,7.072618290662503e-01,-3.008396,0.383204
206.290875,7.190535864109595e-01,-2.864775,0.361243
209.280598,7.223158262800358e-01,-2.825457,0.346265
212.270321,7.290704128178284e-01,-2.744611,0.337073
215.260044,7.314334020884963e-01,-2.716504,0.322605
218.249766,7.285209592897161e-01,-2.751159,0.313186
221.239489,7.219133895086441e-01,-2.830298,0.312478
224.229212,7.188716322486267e-01,-2.866973,0.322868
227.218935,7.230609780171871e-01,-2.816502,0.337770
230.208658,7.345429537843355e-01,-2.679656,0.347789
233.198381,7.475098882312595e-01,-2.527661,0.349906
236.188103,7.618617533447403e-01,-2.362477,0.347269
239.177826,7.752884710088205e-01,-2.210733,0.332296
242.167549,7.779891649139735e-01,-2.180529,0.310712
245.157272,7.701622550190499e-01,-2.268355,0.293057
248.146995,7.550138099352423e-01,-2.440902,0.285997
251.136718,7.392658556559241e-01,-2.623987,0.292425
254.126440,7.263180711827099e-01,-2.777463,0.311690
257.116163,7.227726671311672e-01,-2.819966,0.339937
260.105886,7.294710553861657e-01,-2.739839,0.367426
263.095609,7.437123322481018e-01,-2.571900,0.386323
266.085332,7.581207793855155e-01,-2.405232,0.393682
269.075055,7.702485229554750e-01,-2.267383,0.396322
272.064777,7.796859964438579e-01,-2.161605,0.395232
275.054500,7.847697944584973e-01,-2.105154,0.392174
278.044223,7.858094095135756e-01,-2.093656,0.391454
281.033946,7.846248831531444e-01,-2.106758,0.395028
284.023669,7.826841098476337e-01,-2.128270,0.401763
287.013391,7.795908636338941e-01,-2.162665,0.413635
290.003114,7.778103022740269e-01,-2.182526,0.432728
292.992837,7.820657915735348e-01,-2.135134,0.457769
295.982560,7.935579847553906e-01,-2.008427,0.481526
298.972283,8.068204843641420e-01,-1.864462,0.502507
301.962006,8.258879441273453e-01,-1.661577,0.524766
304.951728,8.515974202480388e-01,-1.395313,0.541299
307.941451,8.801767681261816e-01,-1.108602,0.548980
310.931174,9.081009229089666e-01,-0.837318,0.551071
313.920897,9.357261809045425e-01,-0.577024,0.548294
316.910620,9.614076864215217e-01,-0.341848,0.541560
319.900343,9.850683982447505e-01,-0.130672,0.531329
322.890065,1.003464883750978e+00,0.030044,0.518071
325.879788,1.014169947427483e+00,0.122215,0.506876
328.869511,1.022629318584311e+00,0.194365,0.502979
331.859234,1.034457831907327e+00,0.294256,0.503926
334.848957,1.049081298877213e+00,0.416183,0.507150
337.838680,1.070493904109886e+00,0.591684,0.513558
340.828402,1.101081915773552e+00,0.836393,0.515446
343.818125,1.136017357194780e+00,1.107699,0.511204
346.807848,1.173555055622258e+00,1.390069,0.499307
349.797571,1.207954850416200e+00,1.641014,0.481521
352.787294,1.241860172533019e+00,1.881454,0.458446
355.777017,1.267715641667857e+00,2.060437,0.431117
358.766739,1.289515557427472e+00,2.208532,0.403291
361.756462,1.306791923739211e+00,2.324129,0.372630
364.746185,1.315264432533674e+00,2.380262,0.340028
367.735908,1.313026000548145e+00,2.365467,0.310455
370.725631,1.307244582598655e+00,2.327137,0.287136
373.715353,1.300250608906321e+00,2.280541,0.267571
376.705076,1.294460502850399e+00,2.241776,0.251894
379.694799,1.292787833723260e+00,2.230545,0.237338
382.684522,1.289635413689840e+00,2.209339,0.220247
385.674245,1.283225230095769e+00,2.166058,0.205717
388.663968,1.278018478709355e+00,2.130743,0.191995
391.653690,1.269693658172540e+00,2.073979,0.180150
394.643413,1.267171505322150e+00,2.056708,0.172775
397.633136,1.267892011884227e+00,2.061645,0.160893
400.622859,1.267010201609476e+00,2.055602,0.146604
403.612582,1.262997107463812e+00,2.028047,0.130903
406.602305,1.255727968468961e+00,1.977911,0.116388
409.592027,1.248304523849849e+00,1.926411,0.101653
412.581750,1.235350948384006e+00,1.835807,0.086834
415.571473,1.221187712916130e+00,1.735649,0.076735
418.561196,1.208499246290316e+00,1.644928,0.068400
421.550919,1.197825982458737e+00,1.567875,0.061309
424.540642,1.188217949708923e+00,1.497922,0.052462
427.530364,1.174768042208902e+00,1.399042,0.040064
430.520087,1.154212887674334e+00,1.245718,0.032455
433.509810,1.135709207338754e+00,1.105343,0.030139
436.499533,1.117021492004745e+00,0.961231,0.028556
439.489256,1.096839197131438e+00,0.802859,0.032349
442.478979,1.080393529646287e+00,0.671639,0.043035
445.468701,1.072820199690525e+00,0.610539,0.055290
448.458424,1.069506536899012e+00,0.583669,0.064890
451.448147,1.067675791843295e+00,0.568788,0.072462
454.437870,1.064952402185503e+00,0.546604,0.080032
457.427593,1.066766606546242e+00,0.561388,0.089396
460.417315,1.072948437971810e+00,0.611577,0.094463
463.407038,1.077390122770610e+00,0.647460,0.095789
466.396761,1.078828733935810e+00,0.659050,0.096850
469.386484,1.081484815300351e+00,0.680409,0.099795
472.376207,1.086719527581325e+00,0.722349,0.100540
475.365930,1.090782423869747e+00,0.754763,0.098566
478.355652,1.092462568278223e+00,0.768131,0.095501
481.345375,1.091716452389474e+00,0.762197,0.094875
484.335098,1.093802630261062e+00,0.778779,0.095955
487.324821,1.097936637088920e+00,0.811546,0.094973
