Index,Coefficient
0,9.617003797757206e-07
1,9.480244216319988e-07
2,9.329583008366171e-07
3,9.173759281111415e-07
4,9.010847747958906e-07
5,8.842237662065600e-07
6,8.670141937727749e-07
7,8.494811254422530e-07
8,8.321139830513857e-07
9,8.150805683726503e-07
10,7.974288678269659e-07
11,7.807275892446341e-07
12,7.644770789738686e-07
13,7.488075652872794e-07
14,7.341643026848033e-07
15,7.202545475593070e-07
16,7.074904715409502e-07
17,6.957561708986759e-07
18,6.851958573861339e-07
19,6.757973096682690e-07
20,6.679103989881696e-07
21,6.611022058677918e-07
22,6.559018856933108e-07
23,6.519134672089422e-07
24,6.492526267720677e-07
25,6.479141347881523e-07
26,6.476234375440981e-07
27,6.487549057965225e-07
28,6.508502110591508e-07
29,6.540095682794345e-07
30,6.580595481864293e-07
31,6.630417601627414e-07
32,6.686402116429235e-07
33,6.749176009179791e-07
34,6.816691779931716e-07
35,6.887595986881934e-07
36,6.961873850741540e-07
37,7.035055773485510e-07
38,7.110493243089877e-07
39,7.182285344242700e-07
40,7.253973990373197e-07
41,7.311667218345974e-07
42,7.380700139947294e-07
43,7.434251756421872e-07
44,7.481754664695472e-07
45,7.521638281104970e-07
46,7.552978331659688e-07
47,7.574267328891438e-07
48,7.583499836982810e-07
49,7.582573289255379e-07
50,7.570122875222296e-07
51,7.545036169176456e-07
52,7.510809041377797e-07
53,7.462571716132516e-07
54,7.403198765132402e-07
55,7.330488642764976e-07
56,7.247802500387479e-07
57,7.144455480556644e-07
58,7.043390155558882e-07
59,6.925753837094817e-07
60,6.796078650950221e-07
61,6.656530331383692e-07
62,6.506964496111323e-07
63,6.349554269036162e-07
64,6.183138339110883e-07
65,6.007711021993600e-07
66,5.827127438351454e-07
67,5.639565756609954e-07
68,5.446670456876745e-07
69,5.248332968221803e-07
70,5.046724140811421e-07
71,4.841424470214406e-07
72,4.633875221315975e-07
73,4.438729206412972e-07
74,4.213532918129204e-07
75,4.003772744454182e-07
76,3.794554004343809e-07
77,3.586364414331911e-07
78,3.379496433808526e-07
79,3.176845382313331e-07
80,2.978229645123065e-07
81,2.782478247809195e-07
82,2.592502141851583e-07
83,2.406983128366846e-07
84,2.230938775937830e-07
85,2.058805392834984e-07
86,1.897105477155492e-07
87,1.742198634246961e-07
88,1.596182102048260e-07
89,1.460022360788571e-07
90,1.330132732846323e-07
91,1.212295188679491e-07
92,1.104081590597161e-07
93,1.007555070486887e-07
94,9.174405590783863e-08
95,8.416254360099629e-08
96,7.747117791723213e-08
97,7.190301687387546e-08
98,6.716714295862403e-08
99,6.344838965333111e-08
100,6.088643544899242e-08
101,5.911674705316727e-08
102,5.816399095692759e-08
103,5.806143832387534e-08
104,5.875099873264844e-08
105,5.982901996048895e-08
106,6.183892509170619e-08
107,6.409002395457719e-08
108,6.679770336859292e-08
109,6.975253796781544e-08
110,7.259613710175472e-08
111,7.565473936210765e-08
112,7.865234152859557e-08
113,8.125413586412833e-08
114,8.342923507598243e-08
115,8.517270089214435e-08
116,8.629848480268265e-08
117,8.671114670733004e-08
118,8.606662049714942e-08
119,8.432214571030272e-08
120,8.174404797500756e-08
121,7.765137866044824e-08
122,7.241687427494981e-08
123,6.568948407448261e-08
124,5.759991594800340e-08
125,4.798863173505197e-08
126,3.678214355318232e-08
127,2.397415777011247e-08
128,9.485270346942798e-09
129,-6.329251345249531e-09
130,-2.418138755899690e-08
131,-4.329238478817388e-08
132,-6.391530149585378e-08
133,-8.582114929822637e-08
134,-1.092525252488485e-07
135,-1.337186574801308e-07
136,-1.592507175018909e-07
137,-1.856967202229498e-07
138,-2.129149692109422e-07
139,-2.407851127372851e-07
140,-2.691072324978450e-07
141,-2.976048278924281e-07
142,-3.264060524088563e-07
143,-3.550013047970424e-07
144,-3.833720256807283e-07
145,-4.109157032416988e-07
146,-4.383561531540181e-07
147,-4.646838931421371e-07
148,-4.900661565443443e-07
149,-5.143254497852467e-07
150,-5.370668532123091e-07
151,-5.585407052421942e-07
152,-5.783012397841958e-07
153,-5.959992108728329e-07
154,-6.128528866611305e-07
155,-6.274387374105572e-07
156,-6.401778591680340e-07
157,-6.509632157758460e-07
158,-6.597570632038696e-07
159,-6.667744969490741e-07
160,-6.719263296872668e-07
161,-6.754769401595695e-07
162,-6.769921014893043e-07
163,-6.770764571228938e-07
164,-6.756902166671352e-07
165,-6.732151405230979e-07
166,-6.689651286251319e-07
167,-6.640762535425893e-07
168,-6.582026799151208e-07
169,-6.524215905301389e-07
170,-6.446366001000570e-07
171,-6.375145744641486e-07
172,-6.303085910985828e-07
173,-6.230416715879983e-07
174,-6.163173225104401e-07
175,-6.099947995608090e-07
176,-6.044624001333432e-07
177,-5.995049150442355e-07
178,-5.958909241599031e-07
179,-5.931445343776431e-07
180,-5.920282433180546e-07
181,-5.920090302424796e-07
182,-5.936396973993396e-07
183,-5.965188165646396e-07
184,-6.013646611791046e-07
185,-6.075165401853155e-07
186,-6.155669325380586e-07
187,-6.248663453334302e-07
188,-6.361086093420454e-07
189,-6.485762469310430e-07
190,-6.624536013077886e-07
191,-6.774068310733128e-07
192,-6.938786327737034e-07
193,-7.112871003300825e-07
194,-7.294807460311858e-07
195,-7.481627903871413e-07
196,-7.677200528632966e-07
197,-7.872591254454164e-07
198,-8.071610864135437e-07
199,-8.268750661954982e-07
200,-8.463849781037425e-07
201,-8.633339234620507e-07
202,-8.837405971462431e-07
203,-9.011485531118524e-07
204,-9.179851758744917e-07
205,-9.336213793176285e-07
206,-9.476925129092706e-07
207,-9.601612873666454e-07
208,-9.716330851006205e-07
209,-9.814903023652732e-07
210,-9.891709851217456e-07
211,-9.952108257493819e-07
212,-9.999473604693776e-07
213,-1.002794078885927e-06
214,-1.003788725029153e-06
215,-1.002978251563036e-06
216,-1.000522956928762e-06
217,-9.967988034986774e-07
218,-9.911560709952028e-07
219,-9.841187420533970e-07
220,-9.762242143551703e-07
221,-9.672139640315436e-07
222,-9.569765779815498e-07
223,-9.456916245653701e-07
224,-9.340963060822105e-07
225,-9.221432719641598e-07
226,-9.097449265027535e-07
227,-8.968219731286808e-07
228,-8.843024374982633e-07
229,-8.722418556317280e-07
230,-8.600452474638587e-07
231,-8.481315489916597e-07
232,-8.372800266442937e-07
233,-8.269844329333864e-07
234,-8.178740245057270e-07
235,-8.091626568784704e-07
236,-8.020587074497598e-07
237,-7.955626983857655e-07
238,-7.905740631031222e-07
239,-7.862333859520731e-07
240,-7.830914228179608e-07
241,-7.814038553988212e-07
242,-7.805608674971154e-07
243,-7.805868449395348e-07
244,-7.817035339030554e-07
245,-7.840012017368281e-07
246,-7.867133149375150e-07
247,-7.898470357758924e-07
248,-7.938529051898513e-07
249,-7.983833825164766e-07
250,-8.028064826248738e-07
251,-8.076078756857896e-07
252,-8.121642736114154e-07
253,-8.167757528099173e-07
254,-8.208890562855231e-07
255,-8.246158245128754e-07
256,-8.277685310531524e-07
257,-8.299796263600001e-07
258,-8.317791184708767e-07
259,-8.324447549057368e-07
260,-8.320071742673463e-07
261,-8.304177754325792e-07
262,-8.275944196611817e-07
263,-8.238861823883781e-07
264,-8.185272690752754e-07
265,-8.122920007735956e-07
266,-8.037561087803624e-07
267,-7.948314078021212e-07
268,-7.840810667403275e-07
269,-7.721911288172123e-07
270,-7.589317760903214e-07
271,-7.450690304722229e-07
272,-7.295925001926662e-07
273,-7.131790198400267e-07
274,-6.959780876059085e-07
275,-6.781846195735852e-07
276,-6.593988359782088e-07
277,-6.399445737770293e-07
278,-6.203439397722832e-07
279,-6.005319050927937e-07
280,-5.803189537800790e-07
281,-5.601501698038192e-07
282,-5.394535378400178e-07
283,-5.195777248445665e-07
284,-4.995601443624764e-07
285,-4.798603754352371e-07
286,-4.607245500665158e-07
287,-4.423766597483336e-07
288,-4.243561022576614e-07
289,-4.068951113822550e-07
290,-3.901377851889265e-07
291,-3.745265360066696e-07
292,-3.594003032958426e-07
293,-3.450303722729586e-07
294,-3.315286960514641e-07
295,-3.192056965417578e-07
296,-3.073245977702754e-07
