Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
0.000000,-0.000002,-0.000001,0.000001
0.732422,-0.000002,-0.000001,0.000001
1.464844,-0.000001,-0.000001,0.000001
2.197266,-0.000002,-0.000001,0.000001
2.929688,-0.000001,-0.000001,0.000001
3.662109,-0.000002,-0.000001,0.000001
4.394531,-0.000002,-0.000001,0.000001
5.126953,-0.000002,-0.000001,0.000001
5.859375,-0.000002,-0.000001,0.000001
6.591797,-0.000002,-0.000001,0.000002
7.324219,-0.000001,-0.000000,0.000001
8.056641,-0.000002,-0.000000,0.000002
8.789062,-0.000001,0.000000,0.000002
9.521484,-0.000002,0.000000,0.000002
10.253906,-0.000002,0.000001,0.000002
10.986328,-0.000002,0.000001,0.000002
11.718750,-0.000002,0.000001,0.000003
12.451172,-0.000002,0.000001,0.000003
13.183594,-0.000002,0.000001,0.000003
13.916016,-0.000002,0.000002,0.000003
14.648438,-0.000002,0.000002,0.000004
15.380859,-0.000002,0.000002,0.000004
16.113281,-0.000002,0.000002,0.000004
16.845703,-0.000002,0.000003,0.000005
17.578125,-0.000002,0.000003,0.000005
18.310547,-0.000002,0.000004,0.000005
19.042969,-0.000002,0.000004,0.000005
19.775391,-0.000002,0.000004,0.000006
20.507812,-0.000002,0.000005,0.000007
21.240234,-0.000002,0.000005,0.000007
21.972656,-0.000002,0.000006,0.000008
22.705078,-0.000002,0.000006,0.000008
23.437500,-0.000002,0.000007,0.000008
24.169922,-0.000002,0.000007,0.000009
24.902344,-0.000002,0.000008,0.000010
25.634766,-0.000002,0.000008,0.000010
26.367188,-0.000002,0.000009,0.000011
27.099609,-0.000002,0.000009,0.000012
27.832031,-0.000002,0.000010,0.000012
28.564453,-0.000002,0.000011,0.000013
29.296875,-0.000002,0.000011,0.000014
30.029297,-0.000002,0.000012,0.000014
30.761719,-0.000002,0.000013,0.000015
31.494141,-0.000002,0.000013,0.000016
32.226562,-0.000002,0.000014,0.000017
32.958984,-0.000002,0.000015,0.000017
33.691406,-0.000002,0.000016,0.000018
34.423828,-0.000002,0.000017,0.000019
35.156250,-0.000002,0.000018,0.000020
35.888672,-0.000002,0.000019,0.000021
36.621094,-0.000002,0.000020,0.000022
37.353516,-0.000003,0.000021,0.000024
38.085938,-0.000002,0.000022,0.000024
38.818359,-0.000002,0.000023,0.000025
39.550781,-0.000002,0.000024,0.000026
40.283203,-0.000003,0.000025,0.000028
41.015625,-0.000002,0.000026,0.000029
