Index,Coefficient
0,9.239670038223267e-01
1,-5.480913911014795e-03
2,-5.456133745610714e-03
3,-5.426050163805485e-03
4,-5.391140468418598e-03
5,-5.352038890123367e-03
6,-5.309532862156630e-03
7,-5.264551378786564e-03
8,-5.218130536377430e-03
9,-5.171423312276602e-03
10,-5.125642288476229e-03
11,-5.082075949758291e-03
12,-5.042022559791803e-03
13,-5.006799940019846e-03
14,-4.977706354111433e-03
15,-4.955978598445654e-03
16,-4.942799918353558e-03
17,-4.939244128763676e-03
18,-4.946263041347265e-03
19,-4.964677616953850e-03
20,-4.995117429643869e-03
21,-5.038050469011068e-03
22,-5.093734245747328e-03
23,-5.162206944078207e-03
24,-5.243288353085518e-03
25,-5.336556583642960e-03
26,-5.441354122012854e-03
27,-5.556781310588121e-03
28,-5.681706126779318e-03
29,-5.814750213176012e-03
30,-5.954327993094921e-03
31,-6.098634563386440e-03
32,-6.245666183531284e-03
33,-6.393247749656439e-03
34,-6.539055146276951e-03
35,-6.680616177618504e-03
36,-6.815373431891203e-03
37,-6.940684281289577e-03
38,-7.053860928863287e-03
39,-7.152206264436245e-03
40,-7.233037613332272e-03
41,-7.293724920600653e-03
42,-7.331725675612688e-03
43,-7.344612386077642e-03
44,-7.330108899623156e-03
45,-7.286111824214458e-03
46,-7.210729178041220e-03
47,-7.102309726178646e-03
48,-6.959456950426102e-03
49,-6.781051866710186e-03
50,-6.566281430423260e-03
51,-6.314658094197512e-03
52,-6.025999318808317e-03
53,-5.700480658560991e-03
54,-5.338610615581274e-03
55,-4.941244143992662e-03
56,-4.509571474045515e-03
57,-4.045119974762201e-03
58,-3.549745772033930e-03
59,-3.025604179129004e-03
60,-2.475145272910595e-03
61,-1.901087933219969e-03
62,-1.306406105868518e-03
63,-6.942806649021804e-04
64,-6.808705802541226e-05
65,5.686403019353747e-04
66,1.212236005812883e-03
67,1.858961186371744e-03
68,2.505005570128560e-03
69,3.146552946418524e-03
70,3.779798280447721e-03
71,4.400994163006544e-03
72,5.006491206586361e-03
73,5.592751782387495e-03
74,6.156404037028551e-03
75,6.694265641272068e-03
76,7.203377317637205e-03
77,7.681010290980339e-03
78,8.124721236526966e-03
79,8.532345294952393e-03
80,8.902030996978283e-03
81,9.232248179614544e-03
82,9.521787986159325e-03
83,9.769795462489128e-03
84,9.975750930607319e-03
85,1.013947371393442e-02
86,1.026111748069525e-02
87,1.034118421375751e-02
88,1.038047391921282e-02
89,1.038010139018297e-02
90,1.034147292375565e-02
91,1.026626024395227e-02
92,1.015638466924429e-02
93,1.001398265361786e-02
94,9.841396473348141e-03
95,9.641129523515701e-03
96,9.415831416845322e-03
97,9.168259799480438e-03
98,8.901251479983330e-03
99,8.617696352303028e-03
100,8.320500142872334e-03
101,8.012565784156322e-03
102,7.696756627410650e-03
103,7.375873159617186e-03
104,7.052619010210037e-03
105,6.729598157107830e-03
106,6.409270223230124e-03
107,6.093941628932953e-03
108,5.785749759525061e-03
109,5.486646201461554e-03
110,5.198383238166571e-03
111,4.922504071146250e-03
112,4.660343751311302e-03
113,4.413019400089979e-03
114,4.181423690170050e-03
115,3.966236021369696e-03
116,3.767928574234247e-03
117,3.586760256439447e-03
118,3.422789508476853e-03
119,3.275891765952110e-03
120,3.145768307149410e-03
121,3.031958127394319e-03
122,2.933850279077888e-03
123,2.850702265277505e-03
124,2.781667979434133e-03
125,2.725795377045870e-03
126,2.682062331587076e-03
127,2.649381756782532e-03
128,2.626625588163733e-03
129,2.612646436318755e-03
130,2.606281777843833e-03
131,2.606383990496397e-03
132,2.611821983009577e-03
133,2.621504710987210e-03
134,2.634388860315084e-03
135,2.649493282660842e-03
136,2.665903884917498e-03
137,2.682779449969530e-03
138,2.699366305023432e-03
139,2.714999252930284e-03
140,2.729098778218031e-03
141,2.741176635026932e-03
142,2.750834682956338e-03
143,2.757766516879201e-03
144,2.761747920885682e-03
145,2.762638265267015e-03
146,2.760367235168815e-03
147,2.754937857389450e-03
148,2.746412996202707e-03
149,2.734908368438482e-03
150,2.720581134781241e-03
151,2.703632693737745e-03
152,2.684280043467879e-03
153,2.662769053131342e-03
154,2.639345824718475e-03
155,2.614264143630862e-03
156,2.587769413366914e-03
157,2.560085384175181e-03
158,2.531427890062332e-03
159,2.501975279301405e-03
160,2.471881452947855e-03
161,2.441259566694498e-03
162,2.410192042589188e-03
163,2.378713805228472e-03
164,2.346822759136558e-03
165,2.314478624612093e-03
166,2.281600842252374e-03
167,2.248069271445274e-03
168,2.213733503594995e-03
169,2.178410533815622e-03
170,2.141896635293961e-03
171,2.103965729475021e-03
172,2.064375905320048e-03
173,2.022882224991918e-03
174,1.979231834411621e-03
175,1.933180959895253e-03
176,1.884498167783022e-03
177,1.832964480854571e-03
178,1.778392703272402e-03
179,1.720619155094028e-03
180,1.659516594372690e-03
181,1.594998990185559e-03
182,1.527023734524846e-03
183,1.455595367588103e-03
184,1.380765461362898e-03
185,1.302639255300164e-03
186,1.221377053298056e-03
187,1.137184211984277e-03
188,1.050322200171649e-03
189,9.611020213924348e-04
190,8.698751917108893e-04
191,7.770428783260286e-04
192,6.830370402894914e-04
193,5.883298581466079e-04
194,4.934187163598835e-04
195,3.988170356024057e-04
196,3.050612576771528e-04
197,2.126872714143246e-04
198,1.222361606778577e-04
199,3.424225724302232e-05
200,-5.077848254586570e-05
201,-1.323275355389342e-04
202,-2.099379489663988e-04
203,-2.831745659932494e-04
204,-3.516434226185083e-04
205,-4.150001914240420e-04
206,-4.729477223008871e-04
207,-5.252492846921086e-04
208,-5.717211752198637e-04
209,-6.122465711086988e-04
210,-6.467674975283444e-04
211,-6.752914050593972e-04
212,-6.978880264796317e-04
213,-7.146957213990390e-04
214,-7.259032572619617e-04
215,-7.317660492844880e-04
216,-7.325915503315628e-04
217,-7.287319167517126e-04
218,-7.205902365967631e-04
219,-7.086066179908812e-04
220,-6.932565593160689e-04
221,-6.750354659743607e-04
222,-6.544627249240875e-04
223,-6.320691900327802e-04
224,-6.083927582949400e-04
225,-5.839647492393851e-04
226,-5.593105452135205e-04
227,-5.349372513592243e-04
228,-5.113262450322509e-04
229,-4.889378906227648e-04
230,-4.681897698901594e-04
231,-4.494626191444695e-04
232,-4.330927622504532e-04
233,-4.193675413262099e-04
234,-4.085256077814847e-04
235,-4.007468523923308e-04
236,-3.961627953685820e-04
237,-3.948496305383742e-04
238,-3.968218807131052e-04
239,-4.020509368274361e-04
240,-4.104506515432149e-04
241,-4.218857502564788e-04
242,-4.361798637546599e-04
243,-4.531152371782809e-04
244,-4.724378231912851e-04
245,-4.938594647683203e-04
246,-5.170686054043472e-04
247,-5.417393986135721e-04
248,-5.675294669345021e-04
249,-5.940871778875589e-04
250,-6.210631108842790e-04
251,-6.481166346929967e-04
252,-6.749110762029886e-04
253,-7.011377601884305e-04
254,-7.265043677762151e-04
255,-7.507459959015250e-04
256,-7.736370898783207e-04
257,-7.949803839437664e-04
258,-8.146234904415905e-04
259,-8.324524969793856e-04
260,-8.483991841785610e-04
261,-8.624411420896649e-04
262,-8.745992090553045e-04
263,-8.849358418956399e-04
264,-8.935624500736594e-04
265,-9.006251348182559e-04
266,-9.063099860213697e-04
267,-9.108426165767014e-04
268,-9.144723881036043e-04
269,-9.174772421829402e-04
270,-9.201577631756663e-04
271,-9.228269918821752e-04
272,-9.258100762963295e-04
273,-9.294380433857441e-04
274,-9.340370306745172e-04
275,-9.399263653904200e-04
276,-9.474125690758228e-04
277,-9.567828965373337e-04
278,-9.682996314950287e-04
279,-9.821966523304582e-04
280,-9.986709337681532e-04
281,-1.017884933389723e-03
282,-1.039957161992788e-03
283,-1.064961426891387e-03
284,-1.092926831915975e-03
285,-1.123832305893302e-03
286,-1.157609862275422e-03
287,-1.194143551401794e-03
288,-1.233265851624310e-03
289,-1.274764887057245e-03
290,-1.318387337960303e-03
291,-1.363835297524929e-03
292,-1.410776516422629e-03
293,-1.458845683373511e-03
294,-1.507645589299500e-03
295,-1.556757953949273e-03
296,-1.605748897418380e-03
297,-1.654171617701650e-03
298,-1.701572909951210e-03
299,-1.747500966303051e-03
300,-1.791512360796332e-03
301,-1.833178568631411e-03
302,-1.872081658802927e-03
303,-1.907838624902070e-03
304,-1.940096146427095e-03
305,-1.968526747077703e-03
306,-1.992856618016958e-03
307,-2.012846991419792e-03
308,-2.028309507295489e-03
309,-2.039107261225581e-03
310,-2.045153407379985e-03
311,-2.046416513621807e-03
312,-2.042917767539620e-03
313,-2.034734468907118e-03
314,-2.021993510425091e-03
315,-2.004876732826233e-03
316,-1.983611611649394e-03
317,-1.958473119884729e-03
318,-1.929778489284217e-03
319,-1.897880225442350e-03
320,-1.863164361566305e-03
321,-1.826046733185649e-03
322,-1.786959124729037e-03
323,-1.746354973874986e-03
324,-1.704695750959218e-03
325,-1.662441878579557e-03
326,-1.620055874809623e-03
327,-1.577991177327931e-03
328,-1.536679686978459e-03
329,-1.496537704952061e-03
330,-1.457953010685742e-03
331,-1.421281369403005e-03
332,-1.386842457577586e-03
333,-1.354915555566549e-03
334,-1.325734192505479e-03
335,-1.299484400078654e-03
336,-1.276307273656130e-03
337,-1.256288029253483e-03
338,-1.239463570527732e-03
339,-1.225816900841892e-03
340,-1.215281081385911e-03
341,-1.207742141559720e-03
342,-1.203034189529717e-03
343,-1.200948376208544e-03
344,-1.201234641484916e-03
345,-1.203606720082462e-03
346,-1.207743538543582e-03
347,-1.213296898640692e-03
348,-1.219895202666521e-03
349,-1.227145665325224e-03
350,-1.234651543200016e-03
351,-1.242003869265318e-03
352,-1.248796121217310e-03
353,-1.254627364687622e-03
354,-1.259109121747315e-03
355,-1.261865836568177e-03
356,-1.262549078091979e-03
357,-1.260837307199836e-03
358,-1.256437390111387e-03
359,-1.249096589162946e-03
360,-1.238597091287374e-03
361,-1.224765786901116e-03
362,-1.207474269904196e-03
363,-1.186639536172152e-03
364,-1.162226311862469e-03
365,-1.134244957938790e-03
366,-1.102757523767650e-03
367,-1.067868317477405e-03
368,-1.029727980494499e-03
369,-9.885323233902454e-04
370,-9.445092873647809e-04
371,-8.979326812550426e-04
372,-8.491043699905276e-04
373,-7.983524119481444e-04
374,-7.460360648110509e-04
375,-6.925261113792658e-04
376,-6.382121355272830e-04
377,-5.834906478412449e-04
378,-5.287637468427420e-04
379,-4.744289035443217e-04
380,-4.208798636682332e-04
381,-3.684988478198647e-04
382,-3.176454047206789e-04
383,-2.686653751879930e-04
384,-2.218768640886992e-04
385,-1.775608689058572e-04
386,-1.359787711407989e-04
387,-9.734941704664379e-05
388,-6.185096572153270e-05
389,-2.962638609460555e-05
390,-7.761510119053128e-07
391,2.464375393174123e-05
392,4.661628554458730e-05
393,6.516664143418893e-05
394,8.036252256715670e-05
395,9.230901923729107e-05
396,1.011488420772366e-04
397,1.070596044883132e-04
398,1.102521200664341e-04
399,1.109624790842645e-04
400,1.094535255106166e-04
401,1.060115173459053e-04
402,1.009335974231362e-04
403,9.453397069592029e-05
