Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999998025226187e-01,-0.000002,-0.000000
0.732422,9.999997914407397e-01,-0.000002,-0.001889
1.464844,9.999998333949779e-01,-0.000001,-0.003779
2.197266,9.999997638137716e-01,-0.000002,-0.005669
2.929688,9.999998293083082e-01,-0.000001,-0.007560
3.662109,9.999998012344088e-01,-0.000002,-0.009451
4.394531,9.999997837341427e-01,-0.000002,-0.011344
5.126953,9.999997809953234e-01,-0.000002,-0.013238
5.859375,9.999997621331838e-01,-0.000002,-0.015133
6.591797,9.999997590958635e-01,-0.000002,-0.017030
7.324219,9.999998302839523e-01,-0.000001,-0.018929
8.056641,9.999998163582283e-01,-0.000002,-0.020830
8.789062,9.999998407741221e-01,-0.000001,-0.022733
9.521484,9.999997824283438e-01,-0.000002,-0.024639
10.253906,9.999998050150807e-01,-0.000002,-0.026547
10.986328,9.999997955211051e-01,-0.000002,-0.028459
11.718750,9.999997891462352e-01,-0.000002,-0.030374
12.451172,9.999997846018504e-01,-0.000002,-0.032292
13.183594,9.999998048596586e-01,-0.000002,-0.034213
13.916016,9.999997974710554e-01,-0.000002,-0.036139
14.648438,9.999997927003125e-01,-0.000002,-0.038068
15.380859,9.999997502417476e-01,-0.000002,-0.040002
16.113281,9.999997816182552e-01,-0.000002,-0.041940
16.845703,9.999997620359091e-01,-0.000002,-0.043884
17.578125,9.999997713214296e-01,-0.000002,-0.045832
18.310547,9.999997835663148e-01,-0.000002,-0.047785
19.042969,9.999998266744388e-01,-0.000002,-0.049743
19.775391,9.999997890415878e-01,-0.000002,-0.051708
20.507812,9.999997894219339e-01,-0.000002,-0.053678
21.240234,9.999997811373067e-01,-0.000002,-0.055655
21.972656,9.999997506780008e-01,-0.000002,-0.057637
22.705078,9.999997449677140e-01,-0.000002,-0.059627
23.437500,9.999997908369805e-01,-0.000002,-0.061623
24.169922,9.999997727315438e-01,-0.000002,-0.063627
24.902344,9.999997703292259e-01,-0.000002,-0.065637
25.634766,9.999997520319378e-01,-0.000002,-0.067656
26.367188,9.999997765095080e-01,-0.000002,-0.069682
27.099609,9.999997544234732e-01,-0.000002,-0.071717
27.832031,9.999997506767360e-01,-0.000002,-0.073760
28.564453,9.999997400091298e-01,-0.000002,-0.075812
29.296875,9.999997229305130e-01,-0.000002,-0.077873
30.029297,9.999997511301640e-01,-0.000002,-0.079943
30.761719,9.999997791061571e-01,-0.000002,-0.082022
31.494141,9.999997388080107e-01,-0.000002,-0.084112
32.226562,9.999997270625577e-01,-0.000002,-0.086211
32.958984,9.999997150186904e-01,-0.000002,-0.088321
33.691406,9.999997581845004e-01,-0.000002,-0.090442
34.423828,9.999997142407240e-01,-0.000002,-0.092574
35.156250,9.999997436900373e-01,-0.000002,-0.094717
35.888672,9.999997821705890e-01,-0.000002,-0.096872
36.621094,9.999997156049005e-01,-0.000002,-0.099038
37.353516,9.999996731616125e-01,-0.000003,-0.101217
38.085938,9.999997701264605e-01,-0.000002,-0.103409
38.818359,9.999997172679426e-01,-0.000002,-0.105614
39.550781,9.999997573410548e-01,-0.000002,-0.107832
40.283203,9.999996828884082e-01,-0.000003,-0.110063
41.015625,9.999997135202123e-01,-0.000002,-0.112309
41.748047,9.999996689594384e-01,-0.000003,-0.114569
42.480469,9.999996823208994e-01,-0.000003,-0.116844
43.212891,9.999996958568365e-01,-0.000003,-0.119134
43.945312,9.999997098674368e-01,-0.000003,-0.121439
44.677734,9.999996484323744e-01,-0.000003,-0.123761
45.410156,9.999996512238348e-01,-0.000003,-0.126098
46.142578,9.999996691539902e-01,-0.000003,-0.128452
46.875000,9.999997032905945e-01,-0.000003,-0.130823
47.607422,9.999996876513697e-01,-0.000003,-0.133212
48.339844,9.999996941010988e-01,-0.000003,-0.135619
49.072266,9.999996408396921e-01,-0.000003,-0.138044
49.804688,9.999996633536393e-01,-0.000003,-0.140488
50.537109,9.999996673007411e-01,-0.000003,-0.142951
51.269531,9.999996592354493e-01,-0.000003,-0.145434
52.001953,9.999996219343154e-01,-0.000003,-0.147936
52.734375,9.999995865655471e-01,-0.000004,-0.150460
53.466797,9.999996066756651e-01,-0.000003,-0.153004
54.199219,9.999996499412638e-01,-0.000003,-0.155570
54.931641,9.999995903198002e-01,-0.000004,-0.158158
55.664062,9.999996079085280e-01,-0.000003,-0.160769
56.396484,9.999995755777648e-01,-0.000004,-0.163403
57.128906,9.999995706550289e-01,-0.000004,-0.166060
57.861328,9.999995219654106e-01,-0.000004,-0.168741
58.593750,9.999995439412592e-01,-0.000004,-0.171447
59.326172,9.999995704183351e-01,-0.000004,-0.174178
60.058594,9.999995978673624e-01,-0.000003,-0.176935
60.791016,9.999995616303785e-01,-0.000004,-0.179717
61.523438,9.999995965865324e-01,-0.000004,-0.182527
62.255859,9.999995371679123e-01,-0.000004,-0.185364
62.988281,9.999994968064790e-01,-0.000004,-0.188228
63.720703,9.999994878343128e-01,-0.000004,-0.191121
64.453125,9.999994789809198e-01,-0.000005,-0.194043
65.185547,9.999994636313050e-01,-0.000005,-0.196994
65.917969,9.999994705284931e-01,-0.000005,-0.199974
66.650391,9.999994506627682e-01,-0.000005,-0.202986
67.382812,9.999994492534293e-01,-0.000005,-0.206028
68.115234,9.999994545062176e-01,-0.000005,-0.209101
68.847656,9.999994271698918e-01,-0.000005,-0.212206
69.580078,9.999993927561684e-01,-0.000005,-0.215343
70.312500,9.999994189204962e-01,-0.000005,-0.218512
71.044922,9.999994231372441e-01,-0.000005,-0.221713
71.777344,9.999994300199689e-01,-0.000005,-0.224948
72.509766,9.999993898209030e-01,-0.000005,-0.228215
73.242188,9.999993750970471e-01,-0.000005,-0.231515
73.974609,9.999993448654957e-01,-0.000006,-0.234848
74.707031,9.999993472531287e-01,-0.000006,-0.238213
75.439453,9.999992411998211e-01,-0.000007,-0.241610
76.171875,9.999992392375097e-01,-0.000007,-0.245037
76.904297,9.999992383204470e-01,-0.000007,-0.248495
77.636719,9.999992622073840e-01,-0.000006,-0.251980
78.369141,9.999992184721925e-01,-0.000007,-0.255491
79.101562,9.999992298627263e-01,-0.000007,-0.259026
79.833984,9.999992362311664e-01,-0.000007,-0.262580
80.566406,9.999992130915912e-01,-0.000007,-0.266150
81.298828,9.999992073370089e-01,-0.000007,-0.269729
82.031250,9.999992341502993e-01,-0.000007,-0.273309
82.763672,9.999992524526156e-01,-0.000006,-0.276880
83.496094,9.999992867878164e-01,-0.000006,-0.280427
84.228516,9.999992683426036e-01,-0.000006,-0.283932
84.960938,9.999993406944969e-01,-0.000006,-0.287367
85.693359,9.999993858624590e-01,-0.000005,-0.290692
86.425781,9.999994409687337e-01,-0.000005,-0.293842
87.158203,9.999995466379960e-01,-0.000004,-0.296706
87.890625,9.999997763817993e-01,-0.000002,-0.299042
88.623047,1.000404868561171e+00,0.003516,-0.299874
89.355469,1.003905463208278e+00,0.033856,-0.300363
90.087891,1.008490815509556e+00,0.073439,-0.303012
90.820312,1.013097163487550e+00,0.113022,-0.306784
91.552734,1.017724575076016e+00,0.152605,-0.311334
92.285156,1.022373086407113e+00,0.192188,-0.316530
93.017578,1.027042836397799e+00,0.231771,-0.322304
93.750000,1.031734038834054e+00,0.271355,-0.328619
94.482422,1.036446505624635e+00,0.310938,-0.335453
95.214844,1.041180464137788e+00,0.350520,-0.342798
95.947266,1.045935995766719e+00,0.390102,-0.350652
96.679688,1.050713266281529e+00,0.429684,-0.359020
97.412109,1.055512270504087e+00,0.469266,-0.367913
98.144531,1.060333104686938e+00,0.508846,-0.377347
98.876953,1.065175900098942e+00,0.548427,-0.387341
99.609375,1.070040752449930e+00,0.588006,-0.397923
100.341797,1.074927745564894e+00,0.627585,-0.409123
101.074219,1.079836846721153e+00,0.667163,-0.420979
101.806641,1.084768324991563e+00,0.706740,-0.433537
102.539062,1.089722075463991e+00,0.746315,-0.446852
103.271484,1.094698213534684e+00,0.785888,-0.460989
