Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999998967350034e-01,-0.000001,-0.000000
2.989723,9.999999131774496e-01,-0.000001,-0.007717
5.979446,9.999999100149879e-01,-0.000001,-0.015447
8.969168,1.000000033982230e+00,0.000000,-0.023206
11.958891,1.000000104556777e+00,0.000001,-0.031009
14.948614,1.000000220749487e+00,0.000002,-0.038869
17.938337,1.000000382885756e+00,0.000003,-0.046802
20.928060,1.000000571134759e+00,0.000005,-0.054823
23.917783,1.000000805361600e+00,0.000007,-0.062950
26.907505,1.000001063382514e+00,0.000009,-0.071198
29.897228,1.000001365308865e+00,0.000012,-0.079587
32.886951,1.000001705015460e+00,0.000015,-0.088133
35.876674,1.000002163032065e+00,0.000019,-0.096859
38.866397,1.000002659586295e+00,0.000023,-0.105784
41.856120,1.000003170925799e+00,0.000028,-0.114931
44.845842,1.000003826931184e+00,0.000033,-0.124326
47.835565,1.000004648989637e+00,0.000040,-0.133993
50.825288,1.000005539673352e+00,0.000048,-0.143961
53.815011,1.000006572815823e+00,0.000057,-0.154261
56.804734,1.000007805967685e+00,0.000068,-0.164924
59.794457,1.000009362948295e+00,0.000081,-0.175985
62.784179,1.000011174951995e+00,0.000097,-0.187480
65.773902,1.000013438544923e+00,0.000117,-0.199444
68.763625,1.000016328239298e+00,0.000142,-0.211912
71.753348,1.000020123680327e+00,0.000175,-0.224913
74.743071,1.000025152353936e+00,0.000218,-0.238461
77.732794,1.000032436307175e+00,0.000282,-0.252532
80.722516,1.000043940597547e+00,0.000382,-0.267022
83.712239,1.000064998502385e+00,0.000565,-0.281607
86.701962,1.000110441279614e+00,0.000959,-0.295200
89.691685,1.005764566413349e+00,0.049927,-0.301595
92.681408,1.024824534477328e+00,0.212990,-0.319713
95.671130,1.044113179714791e+00,0.374952,-0.347789
98.660853,1.063744218173560e+00,0.536744,-0.384535
101.650576,1.083741915872086e+00,0.698517,-0.431070
104.640299,1.104120252688052e+00,0.860328,-0.490299
107.630022,1.124869734666738e+00,1.022045,-0.568906
110.619745,1.143167637654102e+00,1.162198,-0.693648
113.609467,1.045996818192527e+00,0.390607,-0.841715
116.599190,9.299804169980118e-01,-0.630524,-0.934534
119.588913,8.180330233915124e-01,-1.744583,-0.991718
122.578636,7.152043140707351e-01,-2.911397,-1.023676
125.568359,6.313588140454891e-01,-3.994475,-1.022316
128.558082,5.605272146506227e-01,-5.028066,-1.020466
131.547804,4.902772988466152e-01,-6.191164,-0.995628
134.537527,4.351015284817296e-01,-7.228188,-0.935937
137.527250,3.962736103842555e-01,-8.040097,-0.863702
140.516973,3.667679823517880e-01,-8.712172,-0.792865
143.506696,3.398333950294834e-01,-9.374679,-0.723001
146.496419,3.147072518885620e-01,-10.041865,-0.638072
149.486141,2.962635077954967e-01,-10.566437,-0.532073
152.475864,2.868190178335472e-01,-10.847841,-0.414432
155.465587,2.879528583043743e-01,-10.813572,-0.309514
158.455310,2.899589117023649e-01,-10.753271,-0.231152
