Index,Coefficient
0,1.086873453459702e-06
1,1.092681259251549e-06
2,1.125367703025404e-06
3,1.137232288783707e-06
4,1.145430928772839e-06
5,1.196938114844670e-06
6,1.274749706681177e-06
7,1.338005972684186e-06
8,1.395504568790784e-06
9,1.432017370461836e-06
10,1.456937866350927e-06
11,1.518295789537660e-06
12,1.585974246154365e-06
13,1.637580112401338e-06
14,1.682557012827601e-06
15,1.686311179582844e-06
16,1.672188204793201e-06
17,1.664791284383682e-06
18,1.648315219426877e-06
19,1.652519244998985e-06
20,1.643989889998920e-06
21,1.582743266226316e-06
22,1.538888568575203e-06
23,1.517714736110065e-06
24,1.481259573665739e-06
25,1.451064235880040e-06
26,1.429465896762849e-06
27,1.456210156902671e-06
28,1.546815383335343e-06
29,1.599765255377861e-06
30,1.606282012289739e-06
31,1.642158963477414e-06
32,1.671869654273905e-06
33,1.655368350839126e-06
34,1.626919129193993e-06
35,1.612753749213880e-06
36,1.637934019527165e-06
37,1.675863586569903e-06
38,1.661414785303350e-06
39,1.647960743866861e-06
40,1.678549097050563e-06
41,1.668481559136126e-06
42,1.601637563908298e-06
43,1.551582954562036e-06
44,1.538900505693164e-06
45,1.519083298262558e-06
46,1.457746407140803e-06
47,1.424527226845385e-06
48,1.470516053814208e-06
49,1.513465122116031e-06
50,1.530991312392871e-06
51,1.551957325318654e-06
52,1.549913008602744e-06
53,1.547046281302755e-06
54,1.555397602714947e-06
55,1.514130644864053e-06
56,1.456557924939261e-06
57,1.431990199307620e-06
58,1.413127620253363e-06
59,1.396581410517683e-06
60,1.408706907568558e-06
61,1.426060634912574e-06
62,1.403006649525196e-06
63,1.379557488689898e-06
64,1.348048499494325e-06
65,1.324658114754129e-06
66,1.328218104390544e-06
67,1.324401978308742e-06
68,1.301568204326031e-06
69,1.294723347200488e-06
70,1.317860778726754e-06
71,1.342898485745536e-06
72,1.328301209468918e-06
73,1.288712837776984e-06
74,1.273699808734818e-06
75,1.290672116738278e-06
76,1.312826952926116e-06
77,1.323628907812235e-06
78,1.319410671385413e-06
79,1.301309339396539e-06
80,1.271759401788586e-06
81,1.249977344741637e-06
82,1.247972704732092e-06
83,1.255494225915754e-06
84,1.265148284801398e-06
85,1.287527425120061e-06
86,1.306772674070089e-06
87,1.300428607464710e-06
88,1.255578808923019e-06
89,1.226141876031761e-06
