Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
0.000000,0.000000,-0.000690,-0.000690
0.732422,0.000001,-0.000690,-0.000691
1.464844,-0.000000,-0.000691,-0.000691
2.197266,0.000000,-0.000692,-0.000692
2.929688,0.000000,-0.000692,-0.000692
3.662109,0.000001,-0.000694,-0.000694
4.394531,-0.000000,-0.000695,-0.000695
5.126953,0.000000,-0.000697,-0.000697
5.859375,-0.000000,-0.000699,-0.000698
6.591797,-0.000000,-0.000701,-0.000701
7.324219,-0.000000,-0.000703,-0.000703
8.056641,0.000001,-0.000706,-0.000706
8.789062,0.000000,-0.000708,-0.000708
9.521484,0.000000,-0.000712,-0.000712
10.253906,-0.000001,-0.000716,-0.000715
10.986328,-0.000000,-0.000720,-0.000719
11.718750,-0.000000,-0.000723,-0.000723
12.451172,-0.000000,-0.000728,-0.000728
13.183594,0.000001,-0.000733,-0.000734
13.916016,0.000000,-0.000739,-0.000739
14.648438,-0.000001,-0.000744,-0.000743
15.380859,-0.000001,-0.000750,-0.000749
16.113281,-0.000000,-0.000757,-0.000756
16.845703,-0.000000,-0.000763,-0.000763
17.578125,-0.000000,-0.000770,-0.000769
18.310547,0.000000,-0.000778,-0.000779
19.042969,0.000000,-0.000787,-0.000787
19.775391,0.000000,-0.000796,-0.000796
20.507812,-0.000000,-0.000804,-0.000804
21.240234,0.000001,-0.000816,-0.000817
21.972656,-0.000000,-0.000827,-0.000827
22.705078,0.000000,-0.000839,-0.000839
23.437500,-0.000000,-0.000851,-0.000851
24.169922,-0.000000,-0.000866,-0.000866
24.902344,-0.000001,-0.000881,-0.000880
25.634766,-0.000000,-0.000897,-0.000897
26.367188,-0.000000,-0.000912,-0.000912
27.099609,-0.000000,-0.000933,-0.000933
27.832031,-0.000001,-0.000954,-0.000954
28.564453,-0.000001,-0.000976,-0.000975
29.296875,-0.000001,-0.000997,-0.000997
30.029297,-0.000001,-0.001027,-0.001026
30.761719,-0.000001,-0.001059,-0.001058
31.494141,-0.000001,-0.001090,-0.001089
32.226562,-0.000001,-0.001121,-0.001121
32.958984,-0.000001,-0.001169,-0.001168
33.691406,-0.000001,-0.001220,-0.001220
34.423828,-0.000000,-0.001271,-0.001271
35.156250,-0.000001,-0.001323,-0.001322
35.888672,-0.000001,-0.001418,-0.001417
36.621094,-0.000001,-0.001524,-0.001523
37.353516,-0.000000,-0.001629,-0.001629
38.085938,-0.000001,-0.001735,-0.001735
38.818359,-0.000000,-0.002105,-0.002105
39.550781,-0.000000,-0.002542,-0.002542
40.283203,-0.000001,-0.002979,-0.002979
41.015625,-0.000000,-0.003416,-0.003416
41.748047,0.000000,0.018070,0.018070
42.480469,0.010489,0.045601,0.035113
43.212891,0.052249,0.073133,0.020884
43.945312,0.098151,0.100665,0.002514
44.677734,0.144051,0.142166,-0.001885
45.410156,0.189951,0.187879,-0.002072
46.142578,0.235849,0.233591,-0.002257
46.875000,0.281745,0.279304,-0.002441
47.607422,0.327639,0.324545,-0.003094
48.339844,0.373528,0.369631,-0.003897
49.072266,0.419412,0.414718,-0.004694
49.804688,0.465285,0.459804,-0.005481
50.537109,0.511141,0.487540,-0.023601
51.269531,0.556954,0.509100,-0.047854
52.001953,0.602652,0.530660,-0.071992
52.734375,0.627436,0.552220,-0.075216
53.466797,0.391435,0.331408,-0.060027
54.199219,0.017912,0.017309,-0.000603
54.931641,-0.314679,-0.296790,0.017889
55.664062,-0.613186,-0.610890,0.002297
56.396484,-0.889935,-0.877428,0.012507
57.128906,-1.150062,-1.124222,0.025840
57.861328,-1.394739,-1.371016,0.023724
58.593750,-1.624197,-1.617809,0.006387
59.326172,-1.835632,-1.826810,0.008822
60.058594,-2.030499,-2.018927,0.011573
60.791016,-2.215784,-2.211043,0.004741
61.523438,-2.402392,-2.403159,-0.000768
62.255859,-2.592732,-2.575228,0.017504
62.988281,-2.781162,-2.737677,0.043485
63.720703,-2.945673,-2.900126,0.045546
64.453125,-3.078223,-3.062576,0.015647
65.185547,-3.178169,-3.138090,0.040079
65.917969,-3.235134,-3.168883,0.066251
66.650391,-3.252554,-3.199676,0.052878
67.382812,-3.247338,-3.230469,0.016869
68.115234,-3.230029,-3.226327,0.003702
68.847656,-3.210482,-3.202948,0.007534
69.580078,-3.189534,-3.179569,0.009965
70.312500,-3.162454,-3.156190,0.006265
71.044922,-3.116811,-3.093723,0.023087
71.777344,-3.042942,-3.008246,0.034697
72.509766,-2.948427,-2.922768,0.025659
73.242188,-2.847572,-2.837290,0.010281
73.974609,-2.738385,-2.733799,0.004586
74.707031,-2.624973,-2.618982,0.005991
75.439453,-2.509089,-2.504166,0.004923
76.171875,-2.391488,-2.389350,0.002138
76.904297,-2.273981,-2.269146,0.004835
77.636719,-2.155695,-2.145329,0.010367
78.369141,-2.033650,-2.021512,0.012139
79.101562,-1.904472,-1.897694,0.006778
79.833984,-1.762817,-1.752052,0.010765
80.566406,-1.607477,-1.590805,0.016673
81.298828,-1.442216,-1.429558,0.012658
