Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,1.000000039748755e+00,0.000000,-0.000000
0.732422,1.000000076720742e+00,0.000001,-0.000811
1.464844,9.999999749095705e-01,-0.000000,-0.001623
2.197266,1.000000045620233e+00,0.000000,-0.002435
2.929688,1.000000003721654e+00,0.000000,-0.003248
3.662109,1.000000073279303e+00,0.000001,-0.004064
4.394531,9.999999761694347e-01,-0.000000,-0.004881
5.126953,1.000000004524419e+00,0.000000,-0.005700
5.859375,9.999999451494154e-01,-0.000000,-0.006522
6.591797,9.999999644865170e-01,-0.000000,-0.007348
7.324219,9.999999924135924e-01,-0.000000,-0.008177
8.056641,1.000000058746965e+00,0.000001,-0.009011
8.789062,1.000000001833671e+00,0.000000,-0.009849
9.521484,1.000000008221112e+00,0.000000,-0.010691
10.253906,9.999999269395707e-01,-0.000001,-0.011540
10.986328,9.999999944012056e-01,-0.000000,-0.012394
11.718750,9.999999544510244e-01,-0.000000,-0.013255
12.451172,9.999999734741524e-01,-0.000000,-0.014122
13.183594,1.000000057769201e+00,0.000001,-0.014997
13.916016,1.000000046162176e+00,0.000000,-0.015880
14.648438,9.999998931124511e-01,-0.000001,-0.016772
15.380859,9.999999167246559e-01,-0.000001,-0.017672
16.113281,9.999999581836978e-01,-0.000000,-0.018582
16.845703,9.999999691464809e-01,-0.000000,-0.019502
17.578125,9.999999717539247e-01,-0.000000,-0.020434
18.310547,1.000000049417912e+00,0.000000,-0.021376
19.042969,1.000000047726403e+00,0.000000,-0.022331
19.775391,1.000000029106218e+00,0.000000,-0.023298
20.507812,9.999999932690922e-01,-0.000000,-0.024279
21.240234,1.000000094604023e+00,0.000001,-0.025275
21.972656,9.999999583385287e-01,-0.000000,-0.026285
22.705078,1.000000000230226e+00,0.000000,-0.027311
23.437500,9.999999929905881e-01,-0.000000,-0.028354
24.169922,9.999999945837564e-01,-0.000000,-0.029414
24.902344,9.999999114854951e-01,-0.000001,-0.030492
25.634766,9.999999856192867e-01,-0.000000,-0.031589
26.367188,9.999999560316174e-01,-0.000000,-0.032706
27.099609,9.999999635964366e-01,-0.000000,-0.033844
27.832031,9.999999045948019e-01,-0.000001,-0.035004
28.564453,9.999999279523435e-01,-0.000001,-0.036186
29.296875,9.999999216014407e-01,-0.000001,-0.037391
30.029297,9.999999044559860e-01,-0.000001,-0.038620
30.761719,9.999998816025505e-01,-0.000001,-0.039873
31.494141,9.999999238240213e-01,-0.000001,-0.041152
32.226562,9.999999110269470e-01,-0.000001,-0.042455
32.958984,9.999999087574341e-01,-0.000001,-0.043784
33.691406,9.999999335139380e-01,-0.000001,-0.045136
34.423828,9.999999859315444e-01,-0.000000,-0.046511
35.156250,9.999999259712158e-01,-0.000001,-0.047905
35.888672,9.999999188420836e-01,-0.000001,-0.049316
36.621094,9.999999142087250e-01,-0.000001,-0.050735
37.353516,9.999999428109578e-01,-0.000000,-0.052154
38.085938,9.999999407673533e-01,-0.000001,-0.053557
