Index,Coefficient
0,1.198229551315308e+00
1,-1.123236566781998e-01
2,1.532087475061417e-01
3,-2.290776232257485e-03
4,-5.189695954322815e-02
5,-3.688105195760727e-02
6,-8.457517623901367e-02
7,-3.335266187787056e-02
8,3.746991045773029e-03
9,-2.191576547920704e-02
10,-1.017769332975149e-02
11,-9.455689229071140e-03
12,-1.101292856037617e-02
13,3.086189972236753e-03
14,-1.297861523926258e-02
15,-2.098008245229721e-02
16,-1.660756953060627e-02
17,-2.517405152320862e-02
18,-1.884466409683228e-02
19,-1.196656469255686e-02
20,-1.479741651564837e-02
21,-1.021531503647566e-02
22,-1.021723542362452e-02
23,-9.880715049803257e-03
24,-7.347767706960440e-03
25,-1.203449722379446e-02
26,-6.640311796218157e-03
27,3.806361462920904e-03
28,4.870594944804907e-03
29,7.284995634108782e-03
30,9.642348624765873e-03
31,1.052345614880323e-02
32,1.468083541840315e-02
33,1.394461933523417e-02
34,1.037961337715387e-02
35,1.086908578872681e-02
36,1.091934833675623e-02
37,9.766040369868279e-03
38,9.580328129231930e-03
39,9.485055692493916e-03
40,7.525041233748198e-03
41,3.630008315667510e-03
42,1.986747840419412e-03
43,1.863184035755694e-03
44,-4.376195138320327e-04
45,-2.493884880095720e-03
46,-3.307616803795099e-03
47,-4.197200760245323e-03
48,-4.703767597675323e-03
49,-5.592156201601028e-03
50,-5.856757983565331e-03
51,-4.304034635424614e-03
52,-3.859388874843717e-03
53,-5.346745718270540e-03
54,-6.335328798741102e-03
55,-5.968799348920584e-03
56,-4.901562351733446e-03
57,-4.266659729182720e-03
58,-4.319814033806324e-03
59,-4.351311828941107e-03
60,-4.270254634320736e-03
61,-3.932805731892586e-03
62,-3.490848001092672e-03
63,-3.462739288806915e-03
64,-3.228836460039020e-03
65,-2.649225527420640e-03
66,-2.292061224579811e-03
67,-1.757255056872964e-03
68,-1.065083313733339e-03
69,-7.268863846547902e-04
70,-7.244770531542599e-04
71,-9.046330233104527e-04
72,-6.121824844740331e-04
73,2.533965744078159e-04
74,8.849700680002570e-04
75,1.502786530181766e-03
76,2.390452893450856e-03
77,3.052411368116736e-03
78,3.564083017408848e-03
79,4.117139149457216e-03
80,4.758108872920275e-03
81,5.646897014230490e-03
82,6.423496641218662e-03
83,6.827725097537041e-03
84,7.105324883013964e-03
85,7.194281090050936e-03
86,7.012620568275452e-03
87,6.967936642467976e-03
88,7.290302775800228e-03
89,7.764380890876055e-03
90,8.161301724612713e-03
91,8.285149931907654e-03
92,8.223057724535465e-03
93,8.089431561529636e-03
94,7.435697596520185e-03
95,6.370575632900000e-03
96,5.568274762481451e-03
97,5.018083378672600e-03
98,4.612828139215708e-03
99,4.125321283936501e-03
100,3.420782042667270e-03
101,3.053219756111503e-03
102,2.685243263840675e-03
103,1.837494783103466e-03
104,1.033653854392469e-03
105,3.738338418770581e-04
106,9.753779886523262e-05
107,7.932470180094242e-05
108,-4.678402328863740e-04
109,-8.819240028969944e-04
110,-9.985241340473294e-04
111,-1.521232654340565e-03
112,-1.823103055357933e-03
113,-1.917384797707200e-03
114,-2.077140379697084e-03
115,-1.934160129167140e-03
116,-1.939092879183590e-03
117,-1.886384678073227e-03
118,-1.619366114027798e-03
119,-1.615403336472809e-03
120,-1.282339915633202e-03
121,-1.042340882122517e-03
122,-1.277457922697067e-03
123,-9.910245425999165e-04
124,-8.936673402786255e-04
125,-1.050578895956278e-03
126,-4.269279888831079e-04
127,-2.367076667724177e-04
128,-7.284452440217137e-04
129,-7.732596714049578e-04
130,-6.783916614949703e-04
131,-5.388680729083717e-04
132,-3.053314867429435e-04
133,-2.613399119582027e-04
134,-1.830031542340294e-04
135,-8.808772690827027e-05
136,1.278637773793889e-05
137,6.014475366100669e-05
138,-1.139241503551602e-04
139,-1.825311919674277e-04
140,-2.611752424854785e-04
141,-3.753365308512002e-04
142,-2.563745947554708e-04
143,-3.165715606883168e-04
144,-3.883410536218435e-04
145,-3.101118782069534e-04
146,-4.669387417379767e-04
147,-3.745671419892460e-04
148,-2.439085510559380e-04
149,-5.362478550523520e-04
150,-3.809853515122086e-04
151,-4.034545781905763e-05
152,-1.754320255713537e-04
153,-1.267271436518058e-04
154,2.734692770900438e-06
155,-1.200189726660028e-04
156,-5.187547139939852e-05
157,1.130546297645196e-04
158,9.853509982349351e-05
159,-8.122136932797730e-05
160,-2.900664694607258e-04
161,-1.665274467086419e-04
162,2.039505925495178e-04
163,3.745682770386338e-04
164,3.695479244925082e-04
165,4.912422737106681e-04
166,6.769885658286512e-04
167,6.264230469241738e-04
168,5.167364142835140e-04
169,6.024891044944525e-04
170,6.938597653061152e-04
171,8.402683888562024e-04
172,1.085978117771447e-03
173,1.222224324010313e-03
174,1.413941266946495e-03
175,1.687952899374068e-03
176,1.880581839941442e-03
177,2.059118589386344e-03
178,2.020372543483973e-03
179,1.793802017346025e-03
180,1.759091508574784e-03
181,1.756730838678777e-03
182,1.653963932767510e-03
183,1.585023710504174e-03
184,1.453763572499156e-03
185,1.237352262251079e-03
186,9.702015668153763e-04
187,7.769499206915498e-04
188,8.249422535300255e-04
189,8.155123796314001e-04
190,5.522043793462217e-04
191,3.685608098749071e-04
192,4.896812606602907e-04
193,6.252398598007858e-04
194,3.142099885735661e-04
195,-1.093534156098031e-04
196,-4.545561387203634e-05
197,1.506620610598475e-04
198,1.488028210587800e-04
199,1.050595019478351e-04
200,4.310631629778072e-05
201,1.084586256183684e-04
202,1.722713350318372e-04
203,4.927822374156676e-05
204,6.182515789987519e-05
205,4.778574293595739e-05
206,-1.848164829425514e-04
207,-2.598424616735429e-04
208,-2.997950068674982e-04
209,-4.230177437420934e-04
210,-3.840071731247008e-04
211,-3.212791343685240e-04
212,-3.346135490573943e-04
213,-3.874407266266644e-04
214,-4.680605197791010e-04
215,-4.974386538378894e-04
216,-6.350344046950340e-04
217,-8.102754945866764e-04
218,-8.026949362829328e-04
219,-8.621003944426775e-04
220,-1.002966193482280e-03
221,-1.074212486855686e-03
222,-1.233424176461995e-03
223,-1.354373409412801e-03
224,-1.336089451797307e-03
225,-1.334796077571809e-03
226,-1.220945268869400e-03
227,-1.045488286763430e-03
228,-1.078246510587633e-03
229,-1.129190670326352e-03
230,-1.054602325893939e-03
231,-1.035087159834802e-03
232,-9.846275206655264e-04
233,-8.323627989739180e-04
234,-7.181263063102961e-04
235,-5.481954431161284e-04
236,-3.840185818262398e-04
237,-4.678109544329345e-04
238,-6.255407352000475e-04
239,-6.801347481086850e-04
240,-6.041656015440822e-04
241,-3.987165691796690e-04
242,-4.011153650935739e-04
243,-5.997720290906727e-04
244,-5.485822912305593e-04
245,-3.134203725494444e-04
246,-1.526780979475006e-04
247,-1.823706406867132e-04
248,-4.038715851493180e-04
249,-5.142922746017575e-04
250,-4.922901280224323e-04
251,-5.246292566880584e-04
252,-4.884123336523771e-04
253,-4.120508092455566e-04
254,-3.770929470192641e-04
255,-3.081415488850325e-04
256,-3.093674895353615e-04
257,-4.348142829257995e-04
258,-5.412740865722299e-04
259,-4.802544717676938e-04
260,-3.374448860995471e-04
261,-3.739769745152444e-04
262,-4.166219150647521e-04
263,-2.728105173446238e-04
264,-2.843489346560091e-04
265,-4.501987714320421e-04
266,-4.335673875175416e-04
267,-3.743546840269119e-04
268,-4.653411742765456e-04
269,-5.385419935919344e-04
270,-4.933408927172422e-04
271,-4.620389372576028e-04
272,-4.814972344320267e-04
273,-4.653226060327142e-04
274,-4.429631226230413e-04
275,-4.172888002358377e-04
276,-3.622930089477450e-04
277,-3.675489861052483e-04
278,-3.718526277225465e-04
279,-2.424719132250175e-04
280,-1.065617761923932e-04
281,-1.096950727514923e-04
282,-1.072590239346027e-04
283,4.247595279593952e-05
284,1.283907913602889e-04
285,4.397681914269924e-05
286,4.641948908101767e-05
287,1.676597603363916e-04
288,2.248329983558506e-04
289,1.873705768957734e-04
290,1.501850492786616e-04
291,2.422738907625899e-04
292,3.058547445107251e-04
293,2.165740588679910e-04
294,2.565006143413484e-04
295,3.366610908415169e-04
296,2.213473344454542e-04
297,1.507858833065256e-04
298,1.189267495647073e-04
299,4.378760058898479e-05
300,1.333987456746399e-04
301,2.111171925207600e-04
302,8.646898641018197e-05
303,-8.909699681680650e-05
304,-3.163409419357777e-04
305,-4.800328460987657e-04
306,-4.265999014023691e-04
307,-4.030645650345832e-04
308,-4.859249456785619e-04
309,-5.335213500075042e-04
310,-6.299731321632862e-04
311,-6.801940617151558e-04
312,-5.642680334858596e-04
313,-5.273612914606929e-04
314,-5.429114680737257e-04
315,-4.636361845768988e-04
316,-5.041795666329563e-04
317,-6.028111092746258e-04
318,-5.866082501597703e-04
319,-5.835152696818113e-04
320,-5.349537823349237e-04
321,-4.719726275652647e-04
322,-5.005167331546545e-04
323,-3.876599948853254e-04
324,-2.569903444964439e-04
325,-3.196563338860869e-04
326,-3.193126176483929e-04
327,-2.969270281028003e-04
328,-3.295837668702006e-04
329,-2.482353011146188e-04
330,-2.466979203745723e-04
331,-3.416606050450355e-04
332,-2.989062631968409e-04
333,-2.137561095878482e-04
334,-8.170059300027788e-05
335,4.778377842740156e-05
336,-1.427423558197916e-05
337,-3.206416067769169e-06
338,1.188124006148428e-04
339,4.624536450137384e-05
340,6.473942903539864e-06
341,8.129798516165465e-05
342,-1.034747947414871e-05
343,-7.957479829201475e-05
344,-4.025418820674531e-05
345,-9.175141167361289e-05
346,-9.723754919832572e-05
347,-9.198342013405636e-05
348,-2.122888545272872e-04
349,-2.393691684119403e-04
350,-2.273716090712696e-04
351,-3.182929358445108e-04
352,-3.427450719755143e-04
353,-3.303775156382471e-04
354,-3.357022942509502e-04
355,-3.246967098675668e-04
356,-3.836680552922189e-04
357,-3.954256535507739e-04
358,-3.498526348266751e-04
359,-4.178915696684271e-04
360,-4.161875403951854e-04
361,-3.272902977187186e-04
362,-3.629511047620326e-04
363,-3.572231798898429e-04
364,-2.772488805931062e-04
365,-3.295612696092576e-04
366,-4.101633385289460e-04
367,-4.057084152009338e-04
368,-3.792881907429546e-04
369,-3.399374545551836e-04
370,-3.463700122665614e-04
371,-4.300494038034230e-04
372,-4.443255602382123e-04
373,-3.876204718835652e-04
374,-4.293595557101071e-04
375,-4.770046216435730e-04
376,-3.865704347845167e-04
377,-3.311015316285193e-04
378,-3.978915046900511e-04
379,-4.241238057147712e-04
380,-3.480197046883404e-04
381,-2.624626213219017e-04
382,-2.500082482583821e-04
383,-2.082631544908509e-04
384,-5.004133345209993e-05
385,-8.214097761083394e-06
386,-1.360195456072688e-04
387,-1.231080823345110e-04
388,2.978158408950549e-05
389,9.808871982386336e-05
390,1.075241525541060e-04
391,1.227231841767207e-04
392,1.448545517632738e-04
393,2.062030107481405e-04
394,2.526850439608097e-04
395,2.576384576968849e-04
396,3.101552138105035e-04
397,3.753765195142478e-04
398,3.816956304945052e-04
399,4.187107260804623e-04
400,4.944202373735607e-04
401,5.051189800724387e-04
402,4.892463330179453e-04
403,5.170493386685848e-04
404,5.436713108792901e-04
405,5.385520635172725e-04
406,5.268448148854077e-04
407,5.035529029555619e-04
408,4.896700847893953e-04
409,5.391811137087643e-04
410,5.638813599944115e-04
411,5.318457260727882e-04
412,6.051234668120742e-04
413,6.901146261952817e-04
414,6.368192262016237e-04
415,6.278031505644321e-04
416,6.672290619462729e-04
417,6.463825120590627e-04
418,6.703378167003393e-04
419,6.699235527776182e-04
420,5.876493523828685e-04
421,5.458898376673460e-04
422,5.381751107051969e-04
423,6.144759245216846e-04
424,7.164403796195984e-04
425,6.559594767168164e-04
426,6.551229162141681e-04
427,7.883913349360228e-04
428,7.496675825677812e-04
429,6.925154011696577e-04
430,8.416541386395693e-04
431,9.728219592943788e-04
432,9.854246163740754e-04
433,9.526974172331393e-04
434,9.441035217605531e-04
435,1.058573834598064e-03
436,1.163973589427769e-03
437,1.179062412120402e-03
438,1.301290700212121e-03
439,1.423983834683895e-03
440,1.375614432618022e-03
441,1.395919825881720e-03
442,1.500210375525057e-03
443,1.497811521403491e-03
444,1.511325128376484e-03
445,1.563659170642495e-03
446,1.564355799928308e-03
447,1.600370509549975e-03
448,1.639274414628744e-03
449,1.633234205655754e-03
450,1.634651678614318e-03
451,1.619665999896824e-03
452,1.628708327189088e-03
453,1.634712680242956e-03
454,1.571568078361452e-03
455,1.588346436619759e-03
456,1.618132344447076e-03
457,1.476282253861427e-03
458,1.366235897876322e-03
459,1.415606937371194e-03
460,1.499052625149488e-03
461,1.581927528604865e-03
462,1.607993850484490e-03
463,1.560076605528593e-03
464,1.535018207505345e-03
465,1.522497739642859e-03
466,1.531178597360849e-03
467,1.613310421817005e-03
468,1.660038717091084e-03
469,1.641115755774081e-03
470,1.688381540589035e-03
471,1.772683230228722e-03
472,1.816294970922172e-03
473,1.874135574325919e-03
474,1.928560086525977e-03
475,1.941612572409213e-03
476,1.960635650902987e-03
477,1.976130763068795e-03
478,1.977501437067986e-03
479,1.973458565771580e-03
480,1.976801548153162e-03
481,2.068560803309083e-03
482,2.153401728719473e-03
483,2.066814340651035e-03
484,1.967019867151976e-03
485,1.991381635889411e-03
486,2.029776806011796e-03
487,2.024773973971605e-03
488,1.971944468095899e-03
489,1.902533113025129e-03
490,1.878226175904274e-03
491,1.865801517851651e-03
492,1.874819165095687e-03
493,1.931261154823005e-03
494,1.931066042743623e-03
495,1.855462789535522e-03
496,1.806721906177700e-03
497,1.794186769984663e-03
498,1.766409259289503e-03
499,1.730107236653566e-03
500,1.729867886751890e-03
501,1.757493359036744e-03
502,1.752448966726661e-03
503,1.702147885225713e-03
504,1.648078206926584e-03
505,1.625619595870376e-03
506,1.643179683014750e-03
507,1.654441817663610e-03
508,1.595462905243039e-03
509,1.511935028247535e-03
510,1.501400140114129e-03
511,1.508751418441534e-03
512,1.446410664357245e-03
513,1.398413674905896e-03
514,1.415683189406991e-03
515,1.409282907843590e-03
516,1.378848217427731e-03
517,1.387903466820717e-03
518,1.387012889608741e-03
519,1.337441848590970e-03
520,1.311393920332193e-03
521,1.301162294112146e-03
522,1.233220333233476e-03
523,1.191468560136855e-03
524,1.240691286511719e-03
525,1.263750949874520e-03
526,1.217709039337933e-03
527,1.163835870102048e-03
528,1.136047765612602e-03
529,1.150424475781620e-03
530,1.141309738159180e-03
531,1.076031941920519e-03
532,1.024835859425366e-03
533,9.548056987114251e-04
534,8.613998652435839e-04
535,8.536562672816217e-04
536,8.805646793916821e-04
537,8.451868197880685e-04
538,8.061571279540658e-04
539,8.177852723747492e-04
540,8.248858503066003e-04
541,7.413297425955534e-04
542,6.331691984087229e-04
543,6.377327954396605e-04
544,6.671086302958429e-04
545,6.156462477520108e-04
546,5.672233528457582e-04
547,5.339944036677480e-04
548,4.779391456395388e-04
