Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999205775052343e-01,-0.000690,-0.000000
2.940996,9.999203176201170e-01,-0.000692,-0.003272
5.881993,9.999195577909958e-01,-0.000699,-0.006571
8.822989,9.999184641814878e-01,-0.000708,-0.009922
11.763985,9.999167011639687e-01,-0.000724,-0.013355
14.704981,9.999143464236823e-01,-0.000744,-0.016902
17.645978,9.999113209127944e-01,-0.000770,-0.020597
20.586974,9.999072876546177e-01,-0.000805,-0.024480
23.527970,9.999018978445027e-01,-0.000852,-0.028597
26.468966,9.998947286392390e-01,-0.000914,-0.033000
29.409963,9.998847926503672e-01,-0.001001,-0.037746
32.350959,9.998702958197752e-01,-0.001127,-0.042884
35.291955,9.998466514994830e-01,-0.001332,-0.048422
38.232951,9.997978230827651e-01,-0.001756,-0.054169
41.173948,9.995959209906888e-01,-0.003510,-0.058722
44.114944,1.012399822096508e+00,0.107041,-0.058732
47.055940,1.034022127576274e+00,0.290597,-0.080023
49.996936,1.055800680378171e+00,0.471639,-0.123553
52.937933,1.066376571953068e+00,0.558212,-0.231661
55.878929,9.222491117826813e-01,-0.703035,-0.299864
58.819925,8.228088977935015e-01,-1.694020,-0.276454
61.760922,7.528828492074823e-01,-2.465452,-0.224573
64.701918,6.984127051892892e-01,-3.117757,-0.133185
67.642914,6.885410012263310e-01,-3.241404,-0.023201
70.583910,6.960231680361021e-01,-3.147526,0.066428
73.524907,7.240777805617454e-01,-2.804296,0.150695
76.465903,7.635494257639246e-01,-2.343257,0.211125
79.406899,8.085300412131919e-01,-1.846077,0.262062
82.347895,8.711039627677870e-01,-1.198600,0.301419
85.288892,9.431043070058810e-01,-0.508805,0.317777
88.229888,1.019978189373367e+00,0.171818,0.324651
91.170884,1.117395530845126e+00,0.964139,0.318432
94.111880,1.235386273989100e+00,1.836055,0.280147
97.052877,1.343014138485746e+00,2.561612,0.207299
99.993873,1.433323185691413e+00,3.126883,0.116270
102.934869,1.489702307585961e+00,3.461990,0.002437
105.875865,1.495345938765531e+00,3.494834,-0.121263
108.816862,1.442415837971266e+00,3.181810,-0.243166
111.757858,1.349094680041255e+00,2.600849,-0.335328
114.698854,1.249986284040263e+00,1.938105,-0.411748
117.639850,1.138563639032994e+00,1.127146,-0.469613
120.580847,1.027264944901738e+00,0.233649,-0.502694
123.521843,9.209036522759141e-01,-0.715716,-0.504721
126.462839,8.439058906406890e-01,-1.474120,-0.480492
129.403836,7.807295240293574e-01,-2.149988,-0.455517
132.344832,7.203012562629478e-01,-2.849717,-0.415685
135.285828,6.717107338990028e-01,-3.456354,-0.356935
138.226824,6.386661712470506e-01,-3.894522,-0.282681
141.167821,6.204166231308186e-01,-4.146331,-0.206063
144.108817,6.110865572421111e-01,-4.277945,-0.133286
147.049813,6.074454955096645e-01,-4.329854,-0.057991
149.990809,6.154599547782695e-01,-4.216004,0.017298
152.931806,6.333234800291773e-01,-3.967488,0.088085
155.872802,6.652814406289610e-01,-3.539892,0.141588
158.813798,6.963504788352771e-01,-3.143442,0.176680
161.754794,7.314751641801915e-01,-2.716008,0.206386
164.695791,7.723508913676591e-01,-2.243707,0.224420
167.636787,8.138399808178409e-01,-1.789220,0.227155
170.577783,8.543102885827094e-01,-1.367687,0.224356
173.518779,8.998873912920975e-01,-0.916237,0.208211
176.459776,9.349865064802186e-01,-0.583893,0.172766
179.400772,9.545671688352081e-01,-0.403870,0.139729
182.341768,9.689795047720987e-01,-0.273708,0.106829
185.282765,9.765822859214013e-01,-0.205823,0.070820
188.223761,9.707443740094593e-01,-0.257902,0.039520
191.164757,9.644969337246752e-01,-0.313983,0.016923
194.105753,9.599890100527365e-01,-0.354675,-0.007779
197.046750,9.473494743859514e-01,-0.469796,-0.035526
199.987746,9.249093652911141e-01,-0.678016,-0.058063
202.928742,9.007290451491208e-01,-0.908117,-0.071141
205.869738,8.757850381792255e-01,-1.152050,-0.078321
208.810735,8.486195760490901e-01,-1.425739,-0.078140
211.751731,8.267709700979841e-01,-1.652296,-0.064088
214.692727,8.151133883880969e-01,-1.775639,-0.048640
217.633723,8.088040271312128e-01,-1.843134,-0.039103
220.574720,7.996057473192455e-01,-1.942482,-0.035301
223.515716,7.866684484919936e-01,-2.084165,-0.031154
226.456712,7.682369584508741e-01,-2.290096,-0.020585
229.397708,7.518401380249851e-01,-2.477490,0.001309
232.338705,7.404904991276052e-01,-2.609610,0.031920
235.279701,7.387604468138488e-01,-2.629927,0.069045
238.220697,7.493932555904147e-01,-2.505804,0.100381
241.161694,7.641739767115830e-01,-2.336155,0.118228
244.102690,7.773355898007591e-01,-2.187829,0.126529
247.043686,7.867105662211407e-01,-2.083700,0.127712
249.984682,7.897184346952459e-01,-2.050554,0.128268
252.925679,7.875322538970321e-01,-2.074633,0.131204
255.866675,7.835932592371955e-01,-2.118186,0.144691
258.807671,7.842414517176195e-01,-2.111004,0.165237
261.748667,7.938857194074456e-01,-2.004840,0.189844
264.689664,8.142978120455518e-01,-1.784335,0.207195
267.630660,8.388928346343610e-01,-1.525870,0.209487
270.571656,8.564197262493906e-01,-1.346267,0.198916
273.512652,8.643382722300499e-01,-1.266325,0.189491
276.453649,8.713045026842900e-01,-1.196601,0.183882
279.394645,8.772089298968414e-01,-1.137939,0.178218
282.335641,8.843575342009505e-01,-1.067442,0.172642
285.276637,8.884625124426109e-01,-1.027218,0.162902
288.217634,8.885459328001541e-01,-1.026402,0.154649
291.158630,8.865878190539253e-01,-1.045565,0.150759
294.099626,8.879654173621431e-01,-1.032079,0.148895
297.040623,8.901588766668126e-01,-1.010649,0.141636
299.981619,8.873108143938199e-01,-1.038485,0.133347
302.922615,8.783806760658306e-01,-1.126345,0.126274
305.863611,8.661464273919929e-01,-1.248174,0.128194
308.804608,8.569859585976758e-01,-1.340526,0.140079
311.745604,8.563003554207466e-01,-1.347478,0.157102
314.686600,8.656446182633694e-01,-1.253207,0.171979
317.627596,8.814373810295265e-01,-1.096171,0.175956
320.568593,8.950198155064903e-01,-0.963347,0.168094
323.509589,9.016391682520544e-01,-0.899345,0.154129
326.450585,9.009279220103680e-01,-0.906199,0.139618
329.391581,8.956471021361084e-01,-0.957261,0.126854
332.332578,8.860420104733768e-01,-1.050914,0.113453
335.273574,8.661272901236041e-01,-1.248366,0.105483
338.214570,8.446845347580654e-01,-1.466109,0.110840
341.155566,8.274932680639899e-01,-1.644711,0.127937
344.096563,8.180056978489221e-01,-1.744873,0.150463
347.037559,8.143405699150047e-01,-1.783879,0.174581
349.978555,8.173155752934136e-01,-1.752204,0.200482
352.919551,8.291250190986426e-01,-1.627600,0.221246
355.860548,8.427941787618446e-01,-1.485569,0.233838
358.801544,8.576615642673096e-01,-1.333681,0.241175
361.742540,8.721817673712874e-01,-1.187860,0.242097
364.683537,8.842177488216010e-01,-1.068815,0.238172
367.624533,8.924726004758420e-01,-0.988102,0.231098
370.565529,8.970859878757002e-01,-0.943319,0.222317
373.506525,8.957695069041161e-01,-0.956075,0.212161
376.447522,8.868296818867093e-01,-1.043196,0.205909
379.388518,8.754518639973146e-01,-1.155355,0.211680
382.329514,8.708035806811288e-01,-1.201596,0.223766
385.270510,8.712897201188352e-01,-1.196748,0.237773
388.211507,8.772141927094498e-01,-1.137887,0.247475
391.152503,8.816851990976613e-01,-1.093729,0.252105
394.093499,8.840309834370955e-01,-1.070650,0.257051
397.034495,8.842678898812943e-01,-1.068323,0.262913
399.975492,8.846167520877909e-01,-1.064897,0.274559
402.916488,8.898652434269488e-01,-1.013515,0.288804
405.857484,8.990944768865941e-01,-0.923893,0.302379
408.798480,9.136464918238533e-01,-0.784436,0.313212
411.739477,9.296405917377897e-01,-0.633698,0.317621
414.680473,9.438914584518574e-01,-0.501559,0.318934
417.621469,9.574399913987425e-01,-0.377769,0.318925
420.562466,9.727500463728805e-01,-0.239975,0.316432
423.503462,9.831502639081569e-01,-0.147602,0.310314
426.444458,9.933233422741110e-01,-0.058187,0.306575
429.385454,1.002888153775342e+00,0.025050,0.299969
432.326451,1.010535403063585e+00,0.091031,0.295236
435.267447,1.020393542396542e+00,0.175354,0.288679
438.208443,1.027294787141794e+00,0.233902,0.277246
441.149439,1.026687576259106e+00,0.228766,0.265718
444.090436,1.020790996190206e+00,0.178737,0.259947
447.031432,1.016155668077402e+00,0.139205,0.260464
449.972428,1.014889934180789e+00,0.128379,0.264353
452.913424,1.016186093106062e+00,0.139465,0.268518
455.854421,1.018344474871934e+00,0.157894,0.274897
458.795417,1.026399354544535e+00,0.226327,0.281849
461.736413,1.036918189545335e+00,0.314890,0.284675
464.677409,1.045356376024841e+00,0.385287,0.285264
467.618406,1.054172018364518e+00,0.458230,0.289270
470.559402,1.069403015589480e+00,0.582828,0.293681
473.500398,1.088451334228088e+00,0.736180,0.292321
476.441395,1.108128929751560e+00,0.891806,0.286545
479.382391,1.126198941184764e+00,1.032302,0.274714
482.323387,1.139936420415846e+00,1.137613,0.260245
485.264383,1.149031970140396e+00,1.206642,0.243492
488.205380,1.153232540142576e+00,1.238338,0.228785
491.146376,1.155273108810446e+00,1.253693,0.214133
494.087372,1.153941775603351e+00,1.243678,0.200820
497.028368,1.149660740474050e+00,1.211394,0.191984
499.969365,1.150568145053464e+00,1.218247,0.185067
502.910361,1.151252285810518e+00,1.223410,0.176018
505.851357,1.150883655955728e+00,1.220628,0.165216
508.792353,1.147025293042511e+00,1.191460,0.155323
511.733350,1.140622694806033e+00,1.142840,0.146799
