Index,Coefficient
0,-4.640930910682073e-06
1,-4.648386038752506e-06
2,-4.660416834667558e-06
3,-4.698558313975809e-06
4,-4.701069883594755e-06
5,-4.691697540692985e-06
6,-4.702433670900064e-06
7,-4.712901954917470e-06
8,-4.704480943473754e-06
9,-4.676570824813098e-06
10,-4.631454430636950e-06
11,-4.555724899546476e-06
12,-4.476751655602129e-06
13,-4.419211109052412e-06
14,-4.361282663012389e-06
15,-4.317039838497294e-06
16,-4.275869741832139e-06
17,-4.201163847028511e-06
18,-4.149623691773741e-06
19,-4.126770363654941e-06
20,-4.094230462214909e-06
21,-4.101290869584773e-06
22,-4.099709258298390e-06
23,-4.027067461720435e-06
24,-3.945524440496229e-06
25,-3.862233825202566e-06
26,-3.797183126152959e-06
27,-3.798309990088455e-06
28,-3.805662572631263e-06
29,-3.832476977549959e-06
30,-3.892763743351679e-06
31,-3.894983365171356e-06
32,-3.901234777003992e-06
33,-3.955376541853184e-06
34,-3.972289505327353e-06
35,-3.969889348809374e-06
36,-3.952791303163394e-06
37,-3.903193373844260e-06
38,-3.893098437401932e-06
39,-3.875066795444582e-06
40,-3.807057282756432e-06
41,-3.777483016165206e-06
42,-3.773213165914058e-06
43,-3.772486707021017e-06
44,-3.782884050451685e-06
45,-3.756166506718728e-06
46,-3.739340854735929e-06
47,-3.748428298422368e-06
48,-3.704771870616241e-06
49,-3.664795485747163e-06
50,-3.652613486337941e-06
51,-3.619277094912832e-06
52,-3.627143541962141e-06
53,-3.654770807770547e-06
54,-3.629704451668658e-06
55,-3.630026867540437e-06
56,-3.668452563942992e-06
57,-3.677878112284816e-06
58,-3.664021278382279e-06
59,-3.634930862972396e-06
60,-3.593678457036731e-06
61,-3.562058054740191e-06
62,-3.534564257279271e-06
63,-3.495105829642853e-06
64,-3.468336444711895e-06
65,-3.488975380605552e-06
66,-3.466847147137742e-06
67,-3.391951850062469e-06
68,-3.344585138620459e-06
69,-3.328359753140830e-06
70,-3.298666797491023e-06
71,-3.299308218629449e-06
72,-3.306710368633503e-06
73,-3.271274181315675e-06
74,-3.233215466025285e-06
75,-3.172351171087939e-06
76,-3.096220325460308e-06
77,-3.089385018029134e-06
78,-3.101451511611231e-06
79,-3.111165824520867e-06
80,-3.157553237542743e-06
81,-3.173492359564989e-06
82,-3.159541847708169e-06
83,-3.172536480633426e-06
84,-3.170004674757365e-06
85,-3.166044280078495e-06
86,-3.162812390655745e-06
87,-3.095436341027380e-06
88,-3.018746838279185e-06
89,-2.964766508739558e-06
90,-2.881121417885879e-06
91,-2.814191930156085e-06
92,-2.797744627969223e-06
93,-2.776410383376060e-06
94,-2.736547685344703e-06
95,-2.688893800950609e-06
96,-2.633547865116270e-06
97,-2.579495685495203e-06
98,-2.532075313865789e-06
99,-2.508570787540521e-06
100,-2.513076651666779e-06
101,-2.505899828975089e-06
102,-2.455140929669142e-06
103,-2.384670779065345e-06
104,-2.323847411389579e-06
105,-2.270032609885675e-06
106,-2.231829512311378e-06
107,-2.216618668171577e-06
108,-2.199674781877548e-06
109,-2.203994426963618e-06
110,-2.243322342110332e-06
111,-2.258141194033669e-06
112,-2.261449708385044e-06
113,-2.292550561833195e-06
114,-2.311868456672528e-06
115,-2.324374236195581e-06
116,-2.328634764126036e-06
117,-2.283695266669383e-06
118,-2.233841314591700e-06
119,-2.202439873144613e-06
120,-2.161246584364562e-06
121,-2.143154688383220e-06
122,-2.143526216968894e-06
123,-2.143327492376557e-06
124,-2.173439042962855e-06
125,-2.186537813031464e-06
126,-2.161169049941236e-06
127,-2.169591198253329e-06
128,-2.180781621063943e-06
129,-2.158880761271575e-06
130,-2.150480440832325e-06
131,-2.151416083506774e-06
132,-2.146706265193643e-06
133,-2.153735749743646e-06
134,-2.151620947188349e-06
135,-2.136128614438348e-06
