Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
0.000000,-0.000001,-0.002156,-0.002155
0.732422,-0.000001,-0.002158,-0.002157
1.464844,-0.000001,-0.002160,-0.002159
2.197266,-0.000002,-0.002162,-0.002160
2.929688,-0.000001,-0.002164,-0.002163
3.662109,-0.000001,-0.002170,-0.002169
4.394531,-0.000002,-0.002176,-0.002175
5.126953,-0.000001,-0.002183,-0.002182
5.859375,-0.000001,-0.002189,-0.002188
6.591797,-0.000002,-0.002199,-0.002198
7.324219,-0.000001,-0.002210,-0.002209
8.056641,-0.000001,-0.002220,-0.002219
8.789062,-0.000001,-0.002231,-0.002230
9.521484,-0.000001,-0.002247,-0.002246
10.253906,-0.000001,-0.002263,-0.002262
10.986328,-0.000001,-0.002279,-0.002278
11.718750,-0.000001,-0.002295,-0.002294
12.451172,-0.000001,-0.002317,-0.002316
13.183594,-0.000001,-0.002340,-0.002338
13.916016,-0.000002,-0.002362,-0.002360
14.648438,-0.000002,-0.002385,-0.002383
15.380859,-0.000002,-0.002414,-0.002413
16.113281,-0.000001,-0.002445,-0.002444
16.845703,-0.000001,-0.002475,-0.002474
17.578125,-0.000001,-0.002506,-0.002504
18.310547,-0.000002,-0.002546,-0.002544
19.042969,-0.000002,-0.002588,-0.002586
19.775391,-0.000002,-0.002630,-0.002628
20.507812,-0.000002,-0.002672,-0.002669
21.240234,-0.000002,-0.002729,-0.002727
21.972656,-0.000002,-0.002787,-0.002786
22.705078,-0.000003,-0.002846,-0.002843
23.437500,-0.000003,-0.002905,-0.002902
24.169922,-0.000003,-0.002988,-0.002984
24.902344,-0.000004,-0.003074,-0.003070
25.634766,-0.000005,-0.003160,-0.003156
26.367188,-0.000005,-0.003247,-0.003241
27.099609,-0.000005,-0.003377,-0.003372
27.832031,-0.000006,-0.003515,-0.003509
28.564453,-0.000007,-0.003653,-0.003646
29.296875,-0.000008,-0.003790,-0.003782
30.029297,-0.000010,-0.004028,-0.004018
30.761719,-0.000011,-0.004283,-0.004272
31.494141,-0.000014,-0.004539,-0.004525
32.226562,-0.000017,-0.004794,-0.004778
32.958984,-0.000022,-0.005354,-0.005333
33.691406,-0.000028,-0.005976,-0.005949
34.423828,-0.000037,-0.006599,-0.006562
35.156250,-0.000049,-0.007221,-0.007172
35.888672,-0.000070,-0.008587,-0.008517
36.621094,-0.000105,-0.010123,-0.010018
37.353516,-0.000173,-0.011659,-0.011487
38.085938,-0.000339,-0.013195,-0.012856
38.818359,0.034059,0.223240,0.189180
