Index,Coefficient
0,1.226548314094543e+00
1,-1.184541583061218e-01
2,1.308086663484573e-01
3,2.305883355438709e-02
4,-5.658145248889923e-02
5,-3.340803086757660e-02
6,-4.905901849269867e-02
7,-3.475759550929070e-02
8,-1.051361113786697e-02
9,-2.139747329056263e-02
10,-1.071674097329378e-02
11,-1.386947347782552e-03
12,-7.818254642188549e-03
13,1.543254009447992e-03
14,-1.453488483093679e-03
15,-1.650287583470345e-02
16,-1.795215345919132e-02
17,-1.883999630808830e-02
18,-1.604253798723221e-02
19,-8.236791938543320e-03
20,-7.111954968422651e-03
21,-4.663473460823298e-03
22,-2.840697998180985e-03
23,-4.278712440282106e-03
24,-3.578166943043470e-03
25,-5.700316280126572e-03
26,-1.593941240571439e-03
27,8.662253618240356e-03
28,6.986172869801521e-03
29,5.019630771130323e-03
30,1.058813557028770e-02
31,1.088235806673765e-02
32,1.155417226254940e-02
33,1.222862116992474e-02
34,7.846890017390251e-03
35,9.962625801563263e-03
36,1.310480386018753e-02
37,9.216699749231339e-03
38,8.699021302163601e-03
39,9.014787152409554e-03
40,5.033126566559076e-03
41,3.005272243171930e-03
42,2.163657220080495e-03
43,6.903918110765517e-04
44,-9.925697231665254e-04
45,-3.372675739228725e-03
46,-2.931695664301515e-03
47,-1.483139349147677e-03
48,-2.582343993708491e-03
49,-2.672350499778986e-03
50,-1.301093958318233e-03
51,-9.353801578981802e-05
52,2.823144022841007e-04
53,-1.889219973236322e-03
54,-3.443821333348751e-03
55,-2.762485994026065e-03
56,-2.725293161347508e-03
57,-2.473853062838316e-03
58,-2.818859415128827e-03
59,-4.897948820143938e-03
60,-5.258030723780394e-03
61,-4.529141355305910e-03
62,-4.403356462717056e-03
63,-3.658885601907969e-03
64,-3.563047386705875e-03
65,-3.828119486570358e-03
66,-3.406935604289174e-03
67,-3.699687076732516e-03
68,-3.510745475068688e-03
69,-2.530408091843128e-03
70,-2.353554591536522e-03
71,-1.872971770353615e-03
72,-1.287730061449111e-03
73,-1.049365848302841e-03
74,6.980411126278341e-05
75,9.436387335881591e-04
76,1.451745280064642e-03
77,2.527707722038031e-03
78,2.875794889405370e-03
79,3.028868464753032e-03
80,3.816285636276007e-03
81,4.236772190779448e-03
82,4.780754446983337e-03
83,5.486398935317993e-03
84,5.871421657502651e-03
85,6.464578211307526e-03
86,6.568174809217453e-03
87,6.245303899049759e-03
88,6.415198557078838e-03
89,6.431919988244772e-03
90,6.378712598234415e-03
91,6.414080038666725e-03
92,6.090509705245495e-03
93,6.093274336308241e-03
94,5.958481226116419e-03
95,5.070000886917114e-03
96,4.498492460697889e-03
97,4.115053452551365e-03
98,3.593609668314457e-03
99,3.243223764002323e-03
100,2.571411896497011e-03
101,2.070331946015358e-03
102,2.103799488395452e-03
103,1.825039158575237e-03
104,1.475451863370836e-03
105,1.240588258951902e-03
106,9.474141406826675e-04
107,9.830631315708160e-04
108,9.159389883279800e-04
109,6.560501060448587e-04
110,5.829392466694117e-04
111,2.658163139130920e-04
112,-2.023280103458092e-05
113,-6.102660336182453e-05
114,-2.011536416830495e-04
115,-1.222185383085161e-04
116,-1.461629435652867e-04
117,-2.543771115597337e-04
118,1.727576309349388e-04
119,2.848548465408385e-04
120,1.760022714734077e-04
121,5.376551416702569e-04
122,4.517654306255281e-04
123,2.427000872557983e-04
124,3.347450401633978e-04
125,4.191099378658691e-06
126,3.613167791627347e-05
127,2.259269967908040e-04
128,-3.601209609769285e-04
129,-5.128406337462366e-04
130,-3.480355371721089e-04
131,-5.611746455542743e-04
132,-3.031555097550154e-04
133,-2.111658832291141e-04
134,-4.808665835298598e-04
135,-1.893545850180089e-04
136,-2.396290510660037e-04
137,-5.677033914253116e-04
138,-3.239506622776389e-04
139,-3.740664978977293e-04
140,-6.153706344775856e-04
141,-6.272339960560203e-04
142,-9.608902619220316e-04
143,-1.167428097687662e-03
144,-1.105813891626894e-03
145,-1.179755199700594e-03
146,-1.146038412116468e-03
147,-1.332728657871485e-03
148,-1.808375469408929e-03
149,-2.036975929513574e-03
150,-2.078097779303789e-03
151,-1.918441848829389e-03
152,-1.868754392489791e-03
153,-2.175038680434227e-03
154,-2.164297970011830e-03
155,-2.066850662231445e-03
156,-2.120197983458638e-03
157,-1.715358230285347e-03
158,-1.456613303162158e-03
159,-1.611612853594124e-03
160,-1.510861446149647e-03
161,-1.453562290407717e-03
162,-1.346811652183533e-03
163,-1.058971858583391e-03
164,-1.247491338290274e-03
165,-1.405620481818914e-03
166,-1.246335683390498e-03
167,-1.446778303943574e-03
168,-1.647042226977646e-03
169,-1.653580111451447e-03
170,-1.759357401169837e-03
171,-1.683008274994791e-03
172,-1.530997571535408e-03
173,-1.356932916678488e-03
174,-1.092673628591001e-03
175,-1.130375661887228e-03
176,-1.107743708416820e-03
177,-8.135859388858080e-04
178,-8.010312449187040e-04
179,-7.984231342561543e-04
180,-6.908117211423814e-04
181,-8.078705286607146e-04
182,-8.278039167635143e-04
183,-8.566624601371586e-04
184,-1.040179748088121e-03
185,-9.947343496605754e-04
186,-9.683378157205880e-04
187,-9.972550906240940e-04
188,-8.043121779337525e-04
189,-8.126067114062607e-04
190,-1.017927774228156e-03
191,-1.039662049151957e-03
192,-9.381675627082586e-04
193,-7.286174804903567e-04
194,-6.314193597063422e-04
195,-7.265917956829071e-04
196,-6.466060294769704e-04
197,-5.647887010127306e-04
198,-6.292499601840973e-04
199,-5.934696528129280e-04
200,-5.937201203778386e-04
201,-6.240370566956699e-04
202,-6.231171428225935e-04
203,-7.837588782422245e-04
204,-8.802064112387598e-04
205,-8.604497415944934e-04
206,-9.451477089896798e-04
207,-9.484681650064886e-04
208,-9.687125566415489e-04
209,-1.115633524022996e-03
210,-1.020425348542631e-03
211,-8.044612477533519e-04
212,-7.598544470965862e-04
213,-7.336398120969534e-04
214,-6.642959779128432e-04
215,-5.707560339942575e-04
216,-5.116023239679635e-04
217,-5.391084705479443e-04
218,-4.813256382476538e-04
219,-4.019521584268659e-04
220,-4.522406961768866e-04
221,-5.087126628495753e-04
222,-5.978276603855193e-04
223,-7.423745119012892e-04
224,-8.486927254125476e-04
225,-9.429015917703509e-04
226,-9.677814086899161e-04
227,-1.027702004648745e-03
228,-1.248805783689022e-03
229,-1.362651702947915e-03
230,-1.408917596563697e-03
231,-1.529695116914809e-03
232,-1.430661417543888e-03
233,-1.260028337128460e-03
234,-1.285777310840786e-03
235,-1.234566676430404e-03
236,-1.152395387180150e-03
237,-1.210595946758986e-03
238,-1.197714824229479e-03
239,-1.071583479642868e-03
240,-8.302517235279083e-04
241,-5.160423461347818e-04
242,-4.253783845342696e-04
243,-4.935085889883339e-04
244,-5.143155576661229e-04
245,-5.194579716771841e-04
246,-3.651026054285467e-04
247,-1.838446041801944e-04
248,-3.563308855518699e-04
249,-5.967547185719013e-04
250,-6.284737028181553e-04
251,-7.445465889759362e-04
252,-9.039909346029162e-04
253,-8.742260979488492e-04
254,-8.491752087138593e-04
255,-9.259353973902762e-04
256,-9.367052116431296e-04
257,-9.206130634993315e-04
258,-9.986083023250103e-04
259,-1.088596414774656e-03
260,-1.112931990064681e-03
261,-1.081843627616763e-03
262,-9.109620004892349e-04
263,-6.743721314705908e-04
264,-7.022509234957397e-04
265,-8.947793976403773e-04
266,-8.187052444554865e-04
267,-6.051737582311034e-04
268,-5.712932324968278e-04
269,-5.457984516397119e-04
270,-4.001879424322397e-04
271,-2.637589350342751e-04
272,-1.742552121868357e-04
273,-1.517751952633262e-04
274,-1.819819299271330e-04
275,-2.062053827103227e-04
276,-2.808081335388124e-04
277,-3.556630981620401e-04
278,-3.012008382938802e-04
279,-1.974795741261914e-04
280,-1.518160570412874e-04
281,-1.829398679547012e-04
282,-2.262405614601448e-04
283,-1.284566387766972e-04
284,3.120143446722068e-05
285,9.442626469535753e-05
286,1.983737602131441e-04
287,3.686729469336569e-04
288,4.264839808456600e-04
289,4.267155891284347e-04
290,5.120870773680508e-04
291,6.231087609194219e-04
292,6.156162125989795e-04
293,5.638976581394672e-04
294,6.758220260962844e-04
295,7.826761575415730e-04
296,6.869126809760928e-04
297,6.409127963706851e-04
298,6.821650313213468e-04
299,6.629996350966394e-04
300,7.364874472841620e-04
301,7.723431335762143e-04
302,5.424920236691833e-04
303,2.892538323067129e-04
304,1.194851793115959e-04
305,5.792279353045160e-06
306,5.658832742483355e-05
307,9.576840238878503e-05
308,1.702466033748351e-05
309,-3.470418960205279e-05
310,-1.332277170149609e-04
311,-2.350121358176693e-04
312,-1.754544646246359e-04
313,-7.924527017166838e-05
314,1.140603399107931e-05
315,1.192880226881243e-04
316,1.368101075058803e-04
317,1.497812045272440e-04
318,2.233751292806119e-04
319,2.716433373279870e-04
320,3.500482416711748e-04
321,4.529922443907708e-04
322,5.162277957424521e-04
323,6.040781736373901e-04
324,6.831448408775032e-04
325,7.187590235844254e-04
326,7.991689490154386e-04
327,9.100073948502541e-04
328,9.741098619997501e-04
329,9.389314218424261e-04
330,8.328594849444926e-04
331,7.798449951224029e-04
332,7.388439262285829e-04
333,6.795341032557189e-04
334,7.537350174970925e-04
335,8.078587707132101e-04
336,6.550214020535350e-04
337,5.657087313011289e-04
338,5.597015260718763e-04
339,3.725899732671678e-04
340,2.016355720115826e-04
341,1.740985753713176e-04
342,4.069283022545278e-05
343,-1.016731039271690e-04
344,-9.693079482531175e-05
345,-1.246692263521254e-04
346,-1.554298360133544e-04
347,-9.916936687659472e-05
348,-9.371548367198557e-05
349,-1.123345937230624e-04
350,-1.057259942172095e-04
351,-1.269017666345462e-04
352,-9.523834160063416e-05
353,-4.580110908136703e-05
354,-2.178337308578193e-05
355,7.083841774147004e-05
356,6.930973904673010e-05
357,-2.408446925983299e-05
358,6.217780901351944e-05
359,1.119619555538520e-04
360,-6.075883447920205e-06
361,1.893273838504683e-05
362,8.593586244387552e-05
363,4.996448114980012e-05
364,7.772271783323959e-05
365,8.042310946621001e-05
366,4.260718196746893e-05
367,7.037568138912320e-05
368,3.360446135047823e-05
369,4.605262802215293e-06
370,1.250181139766937e-05
371,-1.361893664579839e-04
372,-2.209859230788425e-04
373,-1.525951956864446e-04
374,-2.335158205823973e-04
375,-2.984044549521059e-04
376,-1.742886961437762e-04
377,-1.523306564195082e-04
378,-2.562061126809567e-04
379,-2.746867830865085e-04
380,-1.838940370362252e-04
381,-9.175380546366796e-05
382,-1.203231295221485e-04
383,-1.335310080321506e-04
384,1.547333158669062e-05
385,7.400957110803574e-05
386,-2.959259472845588e-05
387,-3.316720267321216e-06
388,1.497073681093752e-04
389,2.351568837184459e-04
390,2.686370571609586e-04
391,2.986037579830736e-04
392,3.310272586531937e-04
393,4.043727822136134e-04
394,4.705515457317233e-04
395,4.794318519998342e-04
396,5.370846483856440e-04
397,6.268707802519202e-04
398,6.071772659197450e-04
399,6.239919457584620e-04
400,7.401866023428738e-04
