Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999998655578120e-01,-0.000001,-0.000000
0.732422,9.999998398899335e-01,-0.000001,0.001074
1.464844,9.999998678712126e-01,-0.000001,0.002150
2.197266,9.999997885644151e-01,-0.000002,0.003228
2.929688,9.999998683806046e-01,-0.000001,0.004311
3.662109,9.999998421367882e-01,-0.000001,0.005398
4.394531,9.999998237759902e-01,-0.000002,0.006493
5.126953,9.999998963020341e-01,-0.000001,0.007595
5.859375,9.999998781022437e-01,-0.000001,0.008708
6.591797,9.999998154944526e-01,-0.000002,0.009831
7.324219,9.999999157950074e-01,-0.000001,0.010967
8.056641,9.999998507913105e-01,-0.000001,0.012118
8.789062,9.999999193203744e-01,-0.000001,0.013285
9.521484,9.999999077015955e-01,-0.000001,0.014469
10.253906,9.999998891056016e-01,-0.000001,0.015674
10.986328,9.999998692209248e-01,-0.000001,0.016901
11.718750,9.999998679694569e-01,-0.000001,0.018152
12.451172,9.999998631597898e-01,-0.000001,0.019430
13.183594,9.999998364550284e-01,-0.000001,0.020736
13.916016,9.999997421471162e-01,-0.000002,0.022075
14.648438,9.999998192269223e-01,-0.000002,0.023449
15.380859,9.999998146462504e-01,-0.000002,0.024861
16.113281,9.999998675624218e-01,-0.000001,0.026314
16.845703,9.999998614410193e-01,-0.000001,0.027812
17.578125,9.999998441964434e-01,-0.000001,0.029361
18.310547,9.999997376293763e-01,-0.000002,0.030964
19.042969,9.999997418049871e-01,-0.000002,0.032626
19.775391,9.999997729579218e-01,-0.000002,0.034354
20.507812,9.999997191295326e-01,-0.000002,0.036154
21.240234,9.999997427920982e-01,-0.000002,0.038032
21.972656,9.999998228063076e-01,-0.000002,0.039998
22.705078,9.999996654328843e-01,-0.000003,0.042060
23.437500,9.999996379161710e-01,-0.000003,0.044228
24.169922,9.999996136542798e-01,-0.000003,0.046514
24.902344,9.999995715124080e-01,-0.000004,0.048933
25.634766,9.999994522555238e-01,-0.000005,0.051499
26.367188,9.999994023854556e-01,-0.000005,0.054230
27.099609,9.999993805635716e-01,-0.000005,0.057148
27.832031,9.999992618108857e-01,-0.000006,0.060278
28.564453,9.999991756549974e-01,-0.000007,0.063649
29.296875,9.999990778934259e-01,-0.000008,0.067297
30.029297,9.999988338680319e-01,-0.000010,0.071263
30.761719,9.999986809899328e-01,-0.000011,0.075602
31.494141,9.999983998619967e-01,-0.000014,0.080376
32.226562,9.999980685390734e-01,-0.000017,0.085669
32.958984,9.999975214289026e-01,-0.000022,0.091584
33.691406,9.999968210232011e-01,-0.000028,0.098259
34.423828,9.999957857853556e-01,-0.000037,0.105879
35.156250,9.999943510068086e-01,-0.000049,0.114705
35.888672,9.999919157241840e-01,-0.000070,0.125116
36.621094,9.999878923537853e-01,-0.000105,0.137714
37.353516,9.999801390899621e-01,-0.000173,0.153557
38.085938,9.999609926129703e-01,-0.000339,0.174944
38.818359,1.003928918141359e+00,0.034059,0.211421
39.550781,1.038613259051113e+00,0.329077,0.250792
40.283203,1.084551331603888e+00,0.705002,0.269871
41.015625,1.132493928449901e+00,1.080718,0.278699
41.748047,1.182546606241447e+00,1.456365,0.280301
42.480469,1.234805705052864e+00,1.831973,0.275736
43.212891,1.289369174221214e+00,2.207546,0.265405
43.945312,1.346337658995296e+00,2.583080,0.249326
44.677734,1.405815043548223e+00,2.958564,0.227213
45.410156,1.467907732078241e+00,3.333975,0.198429
46.142578,1.532721439523654e+00,3.709265,0.161828
46.875000,1.600352246004440e+00,4.084312,0.115336
47.607422,1.670845441054572e+00,4.458726,0.054612
48.339844,1.739290060957041e+00,4.807440,-0.035312
49.072266,1.710731646875157e+00,4.663638,-0.158351
49.804688,1.611032544104880e+00,4.142086,-0.235648
50.537109,1.519839347695040e+00,3.635954,-0.286308
51.269531,1.436251407216248e+00,3.144609,-0.322036
52.001953,1.359745191922172e+00,2.669151,-0.346250
52.734375,1.291613675945483e+00,2.222653,-0.360666
53.466797,1.232779091550059e+00,1.817705,-0.368281
54.199219,1.181267265446228e+00,1.446963,-0.371866
54.931641,1.135224021772496e+00,1.101631,-0.372245
55.664062,1.093468004561055e+00,0.776122,-0.370053
56.396484,1.055189260204506e+00,0.466607,-0.365159
57.128906,1.020373515997083e+00,0.175184,-0.357756
57.861328,9.887133417193364e-01,-0.098592,-0.348174
58.593750,9.601412525449960e-01,-0.353297,-0.336497
59.326172,9.349403370205296e-01,-0.584322,-0.323496
60.058594,9.123803742221788e-01,-0.796481,-0.310382
60.791016,8.911178123660628e-01,-1.001298,-0.297823
61.523438,8.695325179879082e-01,-1.214283,-0.284924
62.255859,8.473786502477502e-01,-1.438450,-0.269871
62.988281,8.254460346682788e-01,-1.666226,-0.250577
63.720703,8.060679166487895e-01,-1.872567,-0.226711
64.453125,7.898525914117711e-01,-2.049079,-0.199937
65.185547,7.767496962441744e-01,-2.194378,-0.170531
65.917969,7.680140354241017e-01,-2.292617,-0.139267
66.650391,7.634521259690068e-01,-2.344364,-0.109168
67.382812,7.615568778247758e-01,-2.365953,-0.081371
68.115234,7.611879953710825e-01,-2.370161,-0.056190
68.847656,7.611880988829990e-01,-2.370160,-0.032849
69.580078,7.614274445241767e-01,-2.367429,-0.010146
70.312500,7.621343562456858e-01,-2.359369,0.012660
71.044922,7.641186651441694e-01,-2.336784,0.036020
71.777344,7.681390216515036e-01,-2.291203,0.058782
72.509766,7.735647043853584e-01,-2.230067,0.079447
73.242188,7.792101028362504e-01,-2.166909,0.098630
73.974609,7.854554599901625e-01,-2.097569,0.116884
