Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.997518248306010e-01,-0.002156,-0.000000
2.940996,9.997508610109326e-01,-0.002164,0.004371
5.881993,9.997480282355226e-01,-0.002189,0.008831
8.822989,9.997431077753745e-01,-0.002232,0.013475
11.763985,9.997356985212934e-01,-0.002296,0.018416
14.704981,9.997253115283083e-01,-0.002386,0.023797
17.645978,9.997112569634217e-01,-0.002508,0.029810
20.586974,9.996919152559443e-01,-0.002676,0.036729
23.527970,9.996647985129504e-01,-0.002912,0.044966
26.468966,9.996249137384592e-01,-0.003259,0.055196
29.409963,9.995612573555129e-01,-0.003812,0.068604
32.350959,9.994431908724527e-01,-0.004838,0.087557
35.291955,9.991557649845930e-01,-0.007336,0.117846
38.232951,9.984465885096571e-01,-0.013503,0.184389
41.173948,1.144966435908650e+00,1.175855,0.281639
44.114944,1.361682500359804e+00,2.681517,0.247203
47.055940,1.622192257499120e+00,4.202046,0.106591
49.996936,1.594905704475517e+00,4.054700,-0.254341
52.937933,1.277240297111264e+00,2.125452,-0.365722
55.878929,1.083406004778438e+00,0.695825,-0.370746
58.819925,9.530358582748439e-01,-0.417815,-0.334222
61.760922,8.630532740383594e-01,-1.279248,-0.281949
64.701918,7.853659686417656e-01,-2.098558,-0.191530
67.642914,7.616256334616244e-01,-2.365169,-0.073395
70.583910,7.628349028494383e-01,-2.351389,0.020231
73.524907,7.817270709939680e-01,-2.138897,0.104747
76.465903,8.081465938104885e-01,-1.850197,0.172302
79.406899,8.435079698074581e-01,-1.478216,0.237967
82.347895,8.979868787903558e-01,-0.934600,0.289471
85.288892,9.552042326279411e-01,-0.398075,0.320070
88.229888,1.016629158698273e+00,0.143251,0.358294
91.170884,1.115506902772048e+00,0.949445,0.387283
94.111880,1.246882740322844e+00,1.916512,0.375137
97.052877,1.364621137206805e+00,2.700242,0.326544
99.993873,1.474492261656826e+00,3.372850,0.265348
102.934869,1.570555740065087e+00,3.921067,0.182239
105.875865,1.629403059020738e+00,4.240571,0.078754
108.816862,1.625814541403711e+00,4.221420,-0.028399
111.757858,1.576919950417852e+00,3.956193,-0.112017
114.698854,1.520839405311341e+00,3.641667,-0.182201
117.639850,1.450299937237353e+00,3.229157,-0.241962
120.580847,1.378748233870852e+00,2.789699,-0.287575
123.521843,1.299723909275746e+00,2.277022,-0.328268
126.462839,1.223003521208241e+00,1.748554,-0.354431
129.403836,1.140402725796877e+00,1.141165,-0.376574
132.344832,1.047921308099093e+00,0.406573,-0.370241
135.285828,9.832714255821990e-01,-0.146532,-0.331802
138.226824,9.492422554120216e-01,-0.452459,-0.293322
141.167821,9.237944599372934e-01,-0.688493,-0.265868
144.108817,8.932891837307405e-01,-0.980158,-0.240373
147.049813,8.597205875313175e-01,-1.312853,-0.201284
149.990809,8.377512866569740e-01,-1.537698,-0.142222
152.931806,8.392122627236602e-01,-1.522564,-0.072026
155.872802,8.706724014184986e-01,-1.202904,-0.017671
158.813798,9.062150375870673e-01,-0.855375,0.005088
161.754794,9.363506834486667e-01,-0.571229,0.016560
164.695791,9.648878318639028e-01,-0.310463,0.019284
167.636787,9.849625923091176e-01,-0.131605,0.014429
170.577783,9.991282311786940e-01,-0.007575,0.015299
173.518779,1.023394758390443e+00,0.200864,0.019951
176.459776,1.053205717983245e+00,0.450264,0.007340
179.400772,1.074695807760750e+00,0.625711,-0.008698
182.341768,1.097070467988332e+00,0.804690,-0.031203
185.282765,1.113081243094651e+00,0.930537,-0.066841
188.223761,1.110795185172869e+00,0.912680,-0.105923
191.164757,1.092137799804149e+00,0.765549,-0.144366
194.105753,1.059760611230464e+00,0.504155,-0.170229
197.046750,1.026766870063606e+00,0.229437,-0.184828
199.987746,9.935663117844274e-01,-0.056063,-0.185853
202.928742,9.722134224426576e-01,-0.244768,-0.180741
205.869738,9.564168747729309e-01,-0.387055,-0.178675
208.810735,9.377772659770393e-01,-0.558006,-0.177869
211.751731,9.231826576719809e-01,-0.694247,-0.173053
214.692727,9.082579707345888e-01,-0.835816,-0.174457
217.633723,8.861042917345062e-01,-1.050303,-0.174168
220.574720,8.619896740223717e-01,-1.289959,-0.166455
223.515716,8.395307192886973e-01,-1.519268,-0.150955
226.456712,8.199866429440419e-01,-1.723864,-0.130381
229.397708,8.038179247381152e-01,-1.896846,-0.103261
232.338705,7.936083424940555e-01,-2.007876,-0.071668
235.279701,7.911832759663778e-01,-2.034458,-0.037506
238.220697,7.977959225054233e-01,-1.962164,-0.007937
241.161694,8.080063030836482e-01,-1.851705,0.009756
244.102690,8.126625255710116e-01,-1.801795,0.021617
247.043686,8.154106851186524e-01,-1.772472,0.035199
249.984682,8.196300848982722e-01,-1.727642,0.048531
252.925679,8.211591595216621e-01,-1.711453,0.058871
255.866675,8.190485020777808e-01,-1.733808,0.074838
258.807671,8.213265401628320e-01,-1.709683,0.099757
261.748667,8.335899178558405e-01,-1.580951,0.125188
264.689664,8.520684498060642e-01,-1.390510,0.141505
267.630660,8.720949423307544e-01,-1.188725,0.152712
270.571656,8.947069288758610e-01,-0.966384,0.154046
273.512652,9.115885198756954e-01,-0.804023,0.147664
276.453649,9.226899146817414e-01,-0.698885,0.140509
279.394645,9.305162281165060e-01,-0.625521,0.133404
282.335641,9.355562439237730e-01,-0.578602,0.126124
285.276637,9.353228823510884e-01,-0.580769,0.120742
288.217634,9.333299365833465e-01,-0.599296,0.121800
291.158630,9.357742524286492e-01,-0.576578,0.128557
294.099626,9.457025966808927e-01,-0.484908,0.132631
297.040623,9.541815368763941e-01,-0.407380,0.127359
299.981619,9.569652161293752e-01,-0.382077,0.125612
302.922615,9.622212854359070e-01,-0.334501,0.124607
305.863611,9.689177520656546e-01,-0.274262,0.120675
308.804608,9.723169037380858e-01,-0.243843,0.113072
311.745604,9.702754923868206e-01,-0.262099,0.105384
314.686600,9.662392753012823e-01,-0.298306,0.102799
317.627596,9.619634420914920e-01,-0.336829,0.102088
320.568593,9.584567000293188e-01,-0.368550,0.104907
323.509589,9.578615470405673e-01,-0.373945,0.108380
326.450585,9.582810579098324e-01,-0.370142,0.111925
329.391581,9.619123883985563e-01,-0.337290,0.113760
332.332578,9.642136053670698e-01,-0.316535,0.109370
335.273574,9.577076850608754e-01,-0.375341,0.105769
338.214570,9.496379163186569e-01,-0.448839,0.109160
341.155566,9.442375425718774e-01,-0.498375,0.118407
344.096563,9.434156454624923e-01,-0.505939,0.128897
347.037559,9.457419521742928e-01,-0.484547,0.137900
349.978555,9.478358518843767e-01,-0.465337,0.147170
352.919551,9.546108091563464e-01,-0.403473,0.155802
355.860548,9.608444133027400e-01,-0.346939,0.161615
358.801544,9.683349224778772e-01,-0.279488,0.166958
361.742540,9.767857751157306e-01,-0.204013,0.170229
364.683537,9.842616066305998e-01,-0.137789,0.171022
367.624533,9.910197852285355e-01,-0.078353,0.172165
370.565529,9.987202287880473e-01,-0.011123,0.171779
373.506525,1.004957389050325e+00,0.042953,0.168735
376.447522,1.006965083028203e+00,0.060288,0.163491
379.388518,1.003786379931877e+00,0.032826,0.162795
382.329514,1.002033363306233e+00,0.017644,0.168240
