Index,Coefficient
0,-1.574766793055460e-05
1,-1.573617555550300e-05
2,-1.572462861076929e-05
3,-1.571307802805677e-05
4,-1.570135827932972e-05
5,-1.568968946230598e-05
6,-1.567797698953655e-05
7,-1.566618266224395e-05
8,-1.565443562867586e-05
9,-1.564257581776474e-05
10,-1.563072510180064e-05
11,-1.561890530865639e-05
12,-1.560687269375194e-05
13,-1.559487645863555e-05
14,-1.558282747282647e-05
15,-1.557091673021205e-05
16,-1.555873495817650e-05
17,-1.554658592795022e-05
18,-1.553444235469215e-05
19,-1.552221328893211e-05
20,-1.550999149912968e-05
21,-1.549776970932726e-05
22,-1.548551153973676e-05
23,-1.547313877381384e-05
24,-1.546079874970019e-05
25,-1.544841688883025e-05
26,-1.543598955322523e-05
27,-1.542355857964139e-05
28,-1.541105484648142e-05
29,-1.539850381959695e-05
30,-1.538602191430982e-05
31,-1.537329808343202e-05
32,-1.536082345410250e-05
33,-1.534812690806575e-05
34,-1.533558315713890e-05
35,-1.532285932626110e-05
36,-1.531014095235150e-05
37,-1.529739165562205e-05
38,-1.528464053990319e-05
39,-1.527175118098967e-05
40,-1.525900006527081e-05
41,-1.524617164250230e-05
42,-1.523330683994573e-05
43,-1.522038473922294e-05
44,-1.520747900940478e-05
45,-1.519452598586213e-05
46,-1.518159479019232e-05
47,-1.516876454843441e-05
48,-1.515558415121632e-05
49,-1.514251562184654e-05
50,-1.512949438620126e-05
51,-1.511652226326987e-05
52,-1.510326455900213e-05
53,-1.509015146439197e-05
54,-1.507704928371822e-05
55,-1.506372427684255e-05
56,-1.505071122664958e-05
57,-1.503744806541363e-05
58,-1.502428222011076e-05
59,-1.501104270573705e-05
60,-1.499777135904878e-05
61,-1.498446454206714e-05
62,-1.497118410043186e-05
63,-1.495577726018382e-05
64,-1.494467051088577e-05
65,-1.493130548624322e-05
66,-1.491789589636028e-05
67,-1.490455906605348e-05
68,-1.489107580709970e-05
69,-1.487773897679290e-05
70,-1.486421479057753e-05
71,-1.485078064433765e-05
72,-1.483741834817920e-05
73,-1.482403149566380e-05
74,-1.481050821894314e-05
75,-1.479694219597150e-05
76,-1.478345620853361e-05
77,-1.477002388128312e-05
78,-1.475640237913467e-05
79,-1.474279542890145e-05
80,-1.472931126045296e-05
81,-1.471574432798661e-05
82,-1.470219740440371e-05
83,-1.468864502385259e-05
84,-1.467500169383129e-05
85,-1.466144476580666e-05
86,-1.464778506488074e-05
87,-1.463419084757334e-05
88,-1.462058844481362e-05
89,-1.460694329580292e-05
90,-1.459325449104654e-05
91,-1.457967664464377e-05
92,-1.456601330573903e-05
93,-1.455238452763297e-05
94,-1.453866025258321e-05
95,-1.452503420296125e-05
96,-1.451130447094329e-05
97,-1.449760111427167e-05
98,-1.448385319235967e-05
99,-1.447012436983641e-05
100,-1.445643647457473e-05
101,-1.444282952434151e-05
102,-1.442903430870501e-05
103,-1.441542190150358e-05
104,-1.440163214283530e-05
105,-1.438799790776102e-05
106,-1.437425453332253e-05
107,-1.436054844816681e-05
108,-1.434672594768927e-05
109,-1.433305715181632e-05
110,-1.431925466022221e-05
111,-1.430558313586516e-05
112,-1.429180429113330e-05
