Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
0.000000,-0.000293,0.026273,0.026566
0.732422,-0.000299,0.028772,0.029071
1.464844,-0.000317,0.031272,0.031589
2.197266,-0.000351,0.033771,0.034122
2.929688,-0.000408,0.036270,0.036678
3.662109,-0.000497,0.049990,0.050487
4.394531,-0.000643,0.063886,0.064529
5.126953,-0.000895,0.077781,0.078676
5.859375,-0.001374,0.091677,0.093051
6.591797,-0.002471,0.698236,0.700707
7.324219,-0.006415,1.323680,1.330095
8.056641,0.389745,1.949124,1.559379
8.789062,2.401427,2.574568,0.173140
9.521484,4.590042,3.412338,-1.177704
10.253906,5.895613,4.260421,-1.635192
10.986328,5.994754,5.108504,-0.886250
11.718750,5.997335,5.956587,-0.040747
12.451172,5.998297,6.006308,0.008011
13.183594,5.998770,6.003476,0.004705
13.916016,5.999039,6.000643,0.001604
14.648438,5.999203,5.997811,-0.001392
15.380859,5.999308,5.997277,-0.002031
16.113281,5.999377,5.996935,-0.002442
16.845703,5.999418,5.996594,-0.002824
17.578125,5.999440,5.996252,-0.003187
18.310547,5.999442,5.994835,-0.004607
19.042969,5.999423,5.993307,-0.006116
19.775391,5.999377,5.991779,-0.007598
20.507812,5.999287,5.990252,-0.009035
21.240234,5.999107,5.880049,-0.119058
21.972656,5.998676,5.756676,-0.242000
22.705078,5.947281,5.633304,-0.313977
23.437500,5.524879,5.509931,-0.014948
24.169922,4.992745,5.082426,0.089681
24.902344,4.495405,4.612060,0.116655
25.634766,4.033952,4.141694,0.107741
26.367188,3.628492,3.671327,0.042835
27.099609,3.287623,3.397476,0.109853
27.832031,3.006679,3.155341,0.148662
28.564453,2.786053,2.913205,0.127151
29.296875,2.631384,2.671069,0.039685
30.029297,2.543600,2.641069,0.097469
30.761719,2.515970,2.649805,0.133835
31.494141,2.546651,2.658540,0.111889
32.226562,2.635811,2.667276,0.031464
32.958984,2.771566,2.812025,0.040459
33.691406,2.927990,2.984601,0.056611
34.423828,3.107456,3.157178,0.049722
35.156250,3.313121,3.329754,0.016633
35.888672,3.552499,3.584978,0.032479
36.621094,3.824693,3.858998,0.034305
37.353516,4.110625,4.133018,0.022393
38.085938,4.398839,4.407038,0.008199
38.818359,4.688809,4.673235,-0.015574
39.550781,4.979013,4.937468,-0.041546
40.283203,5.249256,5.201700,-0.047556
41.015625,5.476773,5.465933,-0.010840
41.748047,5.650958,5.613870,-0.037089
42.480469,5.784373,5.729735,-0.054638
43.212891,5.893934,5.845600,-0.048334
43.945312,5.976767,5.961466,-0.015301
44.677734,5.999268,5.991690,-0.007579
45.410156,5.999376,5.996100,-0.003275
46.142578,5.999408,6.000511,0.001103
46.875000,5.999412,6.004922,0.005510
47.607422,5.999389,5.993910,-0.005480
48.339844,5.999324,5.977837,-0.021486
49.072266,5.989161,5.961765,-0.027395
49.804688,5.946212,5.945693,-0.000520
50.537109,5.883152,5.872466,-0.010686
51.269531,5.802560,5.778897,-0.023663
52.001953,5.702165,5.685329,-0.016837
52.734375,5.589233,5.591760,0.002527
53.466797,5.466739,5.453750,-0.012990
54.199219,5.329690,5.298635,-0.031055
54.931641,5.172821,5.143519,-0.029302
55.664062,4.990898,4.988404,-0.002494
56.396484,4.787719,4.786580,-0.001139
57.128906,4.575155,4.565365,-0.009790
57.861328,4.353167,4.344149,-0.009018
58.593750,4.118544,4.122934,0.004390
59.326172,3.869752,3.848531,-0.021221
60.058594,3.601178,3.550366,-0.050812
60.791016,3.304313,3.252200,-0.052113
61.523438,2.965121,2.954035,-0.011086
62.255859,2.581313,2.582407,0.001094
62.988281,2.162471,2.175530,0.013059
63.720703,1.745275,1.768653,0.023377
64.453125,1.343433,1.361776,0.018342
65.185547,0.957123,0.991227,0.034104
65.917969,0.591200,0.639366,0.048166
66.650391,0.245212,0.287506,0.042294
67.382812,-0.088636,-0.064355,0.024281
68.115234,-0.416779,-0.404868,0.011911
68.847656,-0.748335,-0.739132,0.009203
69.580078,-1.083790,-1.073396,0.010395
70.312500,-1.423058,-1.407660,0.015399
71.044922,-1.762448,-1.735380,0.027068
71.777344,-2.091841,-2.059248,0.032593
72.509766,-2.413380,-2.383116,0.030264
73.242188,-2.731436,-2.706984,0.024452
73.974609,-3.043619,-3.016796,0.026824
74.707031,-3.349898,-3.317770,0.032128
75.439453,-3.650887,-3.618744,0.032143
76.171875,-3.945975,-3.919719,0.026256
76.904297,-4.234801,-4.203386,0.031415
77.636719,-4.516534,-4.475445,0.041089
78.369141,-4.787536,-4.747504,0.040032
79.101562,-5.049559,-5.019563,0.029996
79.833984,-5.305792,-5.275274,0.030518
80.566406,-5.557111,-5.519298,0.037813
81.298828,-5.804250,-5.763322,0.040927
82.031250,-6.041372,-6.007346,0.034026
82.763672,-6.259980,-6.225049,0.034931
83.496094,-6.460133,-6.422705,0.037428
84.228516,-6.651126,-6.620361,0.030766
84.960938,-6.845277,-6.818017,0.027260
85.693359,-7.040532,-7.001094,0.039438
86.425781,-7.228382,-7.172349,0.056033
87.158203,-7.400504,-7.343604,0.056899
87.890625,-7.555336,-7.514860,0.040476
88.623047,-7.691361,-7.647656,0.043705
89.355469,-7.806549,-7.747265,0.059284
90.087891,-7.904824,-7.846873,0.057951
90.820312,-7.986459,-7.946482,0.039977
91.552734,-8.049921,-8.004342,0.045580
92.285156,-8.089408,-8.023872,0.065536
93.017578,-8.105470,-8.043403,0.062067
93.750000,-8.101926,-8.062933,0.038993
94.482422,-8.087162,-8.064427,0.022735
95.214844,-8.069483,-8.048306,0.021177
95.947266,-8.053323,-8.032185,0.021138
96.679688,-8.038160,-8.016064,0.022096
97.412109,-8.017625,-7.990887,0.026737
98.144531,-7.990528,-7.956304,0.034224
98.876953,-7.957190,-7.921721,0.035469
99.609375,-7.913291,-7.887138,0.026153
100.341797,-7.861290,-7.843447,0.017843
101.074219,-7.808406,-7.789691,0.018715
101.806641,-7.755246,-7.735936,0.019310
102.539062,-7.699319,-7.682180,0.017139
103.271484,-7.642062,-7.628868,0.013194
104.003906,-7.586585,-7.576080,0.010505
104.736328,-7.534040,-7.523291,0.010750
105.468750,-7.483141,-7.470502,0.012639
106.201172,-7.432257,-7.424802,0.007455
106.933594,-7.382089,-7.387975,-0.005886
107.666016,-7.340194,-7.351148,-0.010954
108.398438,-7.313977,-7.314321,-0.000344
109.130859,-7.302329,-7.285865,0.016464
109.863281,-7.294651,-7.268565,0.026086
110.595703,-7.279824,-7.251265,0.028558
111.328125,-7.255313,-7.233966,0.021347
112.060547,-7.220081,-7.203910,0.016170
112.792969,-7.176757,-7.155746,0.021011
113.525391,-7.127638,-7.107582,0.020056
114.257812,-7.074290,-7.059418,0.014872
114.990234,-7.019132,-7.013559,0.005573
115.722656,-6.968558,-6.971189,-0.002631
116.455078,-6.925622,-6.928819,-0.003197
117.187500,-6.889408,-6.886449,0.002959
117.919922,-6.857448,-6.850332,0.007115
118.652344,-6.825120,-6.824315,0.000805
119.384766,-6.791092,-6.798298,-0.007206
120.117188,-6.768678,-6.772281,-0.003602
120.849609,-6.766879,-6.755892,0.010987
121.582031,-6.766881,-6.756116,0.010765
122.314453,-6.766881,-6.756340,0.010542
123.046875,-6.766881,-6.756564,0.010317
123.779297,-6.766882,-6.756768,0.010114
124.511719,-6.766882,-6.756936,0.009945
125.244141,-6.766883,-6.757104,0.009778
125.976562,-6.766883,-6.757273,0.009610
126.708984,-6.766883,-6.757427,0.009455
127.441406,-6.766883,-6.757555,0.009328
128.173828,-6.766883,-6.757682,0.009201
128.906250,-6.766883,-6.757810,0.009073
129.638672,-6.766883,-6.757932,0.008952
130.371094,-6.766883,-6.758041,0.008842
131.103516,-6.766883,-6.758151,0.008732
131.835938,-6.766882,-6.758260,0.008622
132.568359,-6.766883,-6.758367,0.008517
133.300781,-6.766883,-6.758465,0.008418
134.033203,-6.766883,-6.758564,0.008319
134.765625,-6.766882,-6.758662,0.008220
135.498047,-6.766883,-6.758758,0.008124
136.230469,-6.766882,-6.758849,0.008033
136.962891,-6.766882,-6.758939,0.007943
137.695312,-6.766882,-6.759030,0.007853
138.427734,-6.766882,-6.759118,0.007764
139.160156,-6.766882,-6.759202,0.007680
139.892578,-6.766883,-6.759286,0.007597
140.625000,-6.766882,-6.759369,0.007513
141.357422,-6.766882,-6.759451,0.007431
142.089844,-6.766882,-6.759529,0.007352
142.822266,-6.766882,-6.759607,0.007275
143.554688,-6.766882,-6.759685,0.007197
144.287109,-6.766882,-6.759761,0.007120
145.019531,-6.766881,-6.759834,0.007047
145.751953,-6.766882,-6.759907,0.006975
146.484375,-6.766881,-6.759980,0.006901
147.216797,-6.766882,-6.760052,0.006831
147.949219,-6.766882,-6.760120,0.006762
148.681641,-6.766882,-6.760188,0.006694
149.414062,-6.766881,-6.760255,0.006626
150.146484,-6.766881,-6.760323,0.006559
150.878906,-6.766882,-6.760386,0.006495
151.611328,-6.766882,-6.760450,0.006432
152.343750,-6.766881,-6.760514,0.006367
153.076172,-6.766882,-6.760577,0.006304
153.808594,-6.766881,-6.760637,0.006244
154.541016,-6.766881,-6.760697,0.006183
155.273438,-6.766881,-6.760757,0.006124
156.005859,-6.766881,-6.760817,0.006065
156.738281,-6.766881,-6.760873,0.006008
157.470703,-6.766882,-6.760929,0.005952
158.203125,-6.766880,-6.760986,0.005895
158.935547,-6.766881,-6.761042,0.005839
159.667969,-6.766881,-6.761095,0.005786
160.400391,-6.766881,-6.761148,0.005733
161.132812,-6.766881,-6.761202,0.005679
161.865234,-6.766881,-6.761254,0.005626
162.597656,-6.766881,-6.761305,0.005576
163.330078,-6.766881,-6.761355,0.005526
164.062500,-6.766881,-6.761405,0.005476
164.794922,-6.766881,-6.761455,0.005425
165.527344,-6.766880,-6.761503,0.005377
166.259766,-6.766880,-6.761550,0.005330
166.992188,-6.766880,-6.761598,0.005283
167.724609,-6.766881,-6.761645,0.005236
168.457031,-6.766880,-6.761690,0.005191
169.189453,-6.766881,-6.761735,0.005146
169.921875,-6.766880,-6.761780,0.005100
170.654297,-6.766881,-6.761824,0.005057
171.386719,-6.766880,-6.761867,0.005013
172.119141,-6.766881,-6.761909,0.004972
172.851562,-6.766880,-6.761952,0.004928
173.583984,-6.766880,-6.761994,0.004886
174.316406,-6.766880,-6.762035,0.004845
175.048828,-6.766881,-6.762075,0.004806
175.781250,-6.766881,-6.762116,0.004765
176.513672,-6.766881,-6.762156,0.004725
177.246094,-6.766880,-6.762194,0.004685
177.978516,-6.766880,-6.762232,0.004647
178.710938,-6.766880,-6.762271,0.004609
179.443359,-6.766880,-6.762309,0.004571
180.175781,-6.766880,-6.762345,0.004535
180.908203,-6.766881,-6.762382,0.004499
181.640625,-6.766880,-6.762418,0.004462
182.373047,-6.766880,-6.762454,0.004426
183.105469,-6.766880,-6.762489,0.004392
183.837891,-6.766880,-6.762523,0.004357
184.570312,-6.766880,-6.762558,0.004322
185.302734,-6.766880,-6.762592,0.004287
186.035156,-6.766880,-6.762625,0.004255
186.767578,-6.766880,-6.762658,0.004222
187.500000,-6.766880,-6.762691,0.004189
188.232422,-6.766880,-6.762724,0.004156
188.964844,-6.766879,-6.762755,0.004124
189.697266,-6.766879,-6.762786,0.004092
190.429688,-6.766879,-6.762818,0.004062
191.162109,-6.766879,-6.762849,0.004030
191.894531,-6.766879,-6.762879,0.004001
192.626953,-6.766880,-6.762909,0.003971
