Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999662628499182e-01,-0.000293,-0.000000
0.732422,9.999655816342176e-01,-0.000299,0.023318
1.464844,9.999634992958387e-01,-0.000317,0.047124
2.197266,9.999595745774814e-01,-0.000351,0.071948
2.929688,9.999530175803257e-01,-0.000408,0.098417
3.662109,9.999427356691761e-01,-0.000497,0.127336
4.394531,9.999259670527705e-01,-0.000643,0.159820
5.126953,9.998969460610543e-01,-0.000895,0.197548
5.859375,9.998417824848043e-01,-0.001374,0.243333
6.591797,9.997155095026036e-01,-0.002471,0.302654
7.324219,9.992617514658428e-01,-0.006415,0.390065
8.056641,1.045892970791083e+00,0.389745,0.565704
8.789062,1.318473382925998e+00,2.401427,0.685147
9.521484,1.696297804151330e+00,4.590042,0.644138
10.253906,1.971426786866432e+00,5.895613,0.460800
10.986328,1.994057594623657e+00,5.994754,0.322905
11.718750,1.994650145379614e+00,5.997335,0.240851
12.451172,1.994871219754976e+00,5.998297,0.178750
13.183594,1.994979900324906e+00,5.998770,0.127471
13.916016,1.995041577561363e+00,5.999039,0.082955
14.648438,1.995079224086849e+00,5.999203,0.042972
15.380859,1.995103431328499e+00,5.999308,0.006127
16.113281,1.995119201227161e+00,5.999377,-0.028539
16.845703,1.995128697751534e+00,5.999418,-0.061748
17.578125,1.995133591936487e+00,5.999440,-0.094094
18.310547,1.995134092549544e+00,5.999442,-0.126123
19.042969,1.995129802199332e+00,5.999423,-0.158396
19.775391,1.995119232894591e+00,5.999377,-0.191580
20.507812,1.995098437204385e+00,5.999287,-0.226592
21.240234,1.995057197558060e+00,5.999107,-0.264935
21.972656,1.994958266909303e+00,5.998676,-0.309811
22.705078,1.983188689091310e+00,5.947281,-0.374313
23.437500,1.889052223157439e+00,5.524879,-0.441226
24.169922,1.776794636713229e+00,4.992745,-0.474422
24.902344,1.677916158916508e+00,4.495405,-0.489979
25.634766,1.591100539369360e+00,4.033952,-0.492864
26.367188,1.518534306041011e+00,3.628492,-0.485131
27.099609,1.460095136628855e+00,3.287623,-0.470421
27.832031,1.413624104552935e+00,3.006679,-0.450664
28.564453,1.378169600364152e+00,2.786053,-0.426795
29.296875,1.353845845121113e+00,2.631384,-0.399972
30.029297,1.340232094030249e+00,2.543600,-0.372217
30.761719,1.335975474675374e+00,2.515970,-0.344681
31.494141,1.340702901144532e+00,2.546651,-0.318189
32.226562,1.354536060296789e+00,2.635811,-0.294055
32.958984,1.375872867212487e+00,2.771566,-0.274616
33.691406,1.400875416028678e+00,2.927990,-0.259172
34.423828,1.430121000836543e+00,3.107456,-0.246371
35.156250,1.464387704469418e+00,3.313121,-0.236133
35.888672,1.505306583371655e+00,3.552499,-0.229001
36.621094,1.553226068262470e+00,3.824693,-0.227008
37.353516,1.605207759397676e+00,4.110625,-0.231260
38.085938,1.659365065620536e+00,4.398839,-0.240852
38.818359,1.715696461907773e+00,4.688809,-0.255560
39.550781,1.773987944150687e+00,4.979013,-0.276233
40.283203,1.830049437425543e+00,5.249256,-0.304043
41.015625,1.878618778039210e+00,5.476773,-0.337475
