Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,1.003029357323119e+00,0.026273,-0.000000
2.940996,1.004188949359443e+00,0.036309,0.101907
5.881993,1.010660524933861e+00,0.092106,0.250856
8.822989,1.349512591211687e+00,2.603539,0.685415
11.763985,1.997322907399069e+00,6.008966,0.224375
14.704981,1.994709267402308e+00,5.997592,0.033967
17.645978,1.994394362400769e+00,5.996221,-0.100966
20.586974,1.992986420902214e+00,5.990087,-0.232646
23.527970,1.882498290524130e+00,5.494692,-0.445510
26.468966,1.514600933312203e+00,3.605964,-0.485899
29.409963,1.354204119717474e+00,2.633683,-0.398707
32.350959,1.359683962940246e+00,2.668760,-0.293416
35.291955,1.472605708198044e+00,3.361730,-0.236911
38.232951,1.671483068876275e+00,4.462040,-0.245358
41.173948,1.888654516475309e+00,5.523050,-0.346812
44.114944,1.992576578332665e+00,5.988300,-0.497292
47.055940,1.996643691161194e+00,6.006011,-0.636469
49.996936,1.981863329884560e+00,5.941474,-0.780884
52.937933,1.897963046650580e+00,5.565755,-0.930026
55.878929,1.766627228119044e+00,4.942898,-1.077252
58.819925,1.594891302534119e+00,4.054622,-1.211631
61.760922,1.389529630659882e+00,2.857356,-1.342482
64.701918,1.151272883290517e+00,1.223566,-1.414256
67.642914,9.784407325889954e-01,-0.189310,-1.433603
70.583910,8.383467610977291e-01,-1.531526,-1.440705
73.524907,7.217720317240833e-01,-2.831999,-1.421191
76.465903,6.280190441292816e-01,-4.040544,-1.381427
79.406899,5.537974770400427e-01,-5.132981,-1.322455
82.347895,4.947180772047067e-01,-6.112844,-1.247025
85.288892,4.515168588983824e-01,-6.906521,-1.160817
88.229888,4.171484906141374e-01,-7.594186,-1.057220
91.170884,3.983749522595710e-01,-7.994160,-0.942660
94.111880,3.947942758426125e-01,-8.072583,-0.833835
97.052877,3.977475562283218e-01,-8.007850,-0.751342
99.993873,4.041577047678978e-01,-7.868983,-0.678912
102.934869,4.143272626693236e-01,-7.653130,-0.624458
105.875865,4.245628992643502e-01,-7.441159,-0.586175
108.816862,4.318529611931753e-01,-7.293282,-0.562513
111.757858,4.353206201790525e-01,-7.223815,-0.530113
114.698854,4.451221906336014e-01,-7.030415,-0.502496
117.639850,4.539269291828297e-01,-6.860281,-0.491392
120.580847,4.594195607423224e-01,-6.755810,-0.488093
123.521843,4.593720483980815e-01,-6.756709,-0.481411
126.462839,4.593363057516223e-01,-6.757385,-0.471497
129.403836,4.593092330142704e-01,-6.757896,-0.460879
132.344832,4.592859653875310e-01,-6.758337,-0.450193
135.285828,4.592650535090206e-01,-6.758732,-0.439693
138.226824,4.592458462102779e-01,-6.759095,-0.429495
141.167821,4.592280793675802e-01,-6.759431,-0.419650
144.108817,4.592115599884016e-01,-6.759744,-0.410177
147.049813,4.591960971658421e-01,-6.760036,-0.401079
149.990809,4.591816815413558e-01,-6.760309,-0.392348
152.931806,4.591681102365818e-01,-6.760566,-0.383972
155.872802,4.591553858682096e-01,-6.760806,-0.375938
158.813798,4.591434083761469e-01,-6.761033,-0.368228
161.754794,4.591321002862389e-01,-6.761247,-0.360826
164.695791,4.591214307129383e-01,-6.761449,-0.353717
167.636787,4.591113451843559e-01,-6.761640,-0.346885
170.577783,4.591018159572597e-01,-6.761820,-0.340316
173.518779,4.590927756293882e-01,-6.761991,-0.333994
176.459776,4.590841919590313e-01,-6.762153,-0.327907
179.400772,4.590760793601822e-01,-6.762307,-0.322043
182.341768,4.590683640871863e-01,-6.762453,-0.316390
185.282765,4.590610385380172e-01,-6.762591,-0.310935
188.223761,4.590540672981784e-01,-6.762723,-0.305671
191.164757,4.590474131268593e-01,-6.762849,-0.300585
194.105753,4.590410704486149e-01,-6.762969,-0.295671
197.046750,4.590350451681676e-01,-6.763083,-0.290918
199.987746,4.590292459179464e-01,-6.763193,-0.286320
202.928742,4.590237319883353e-01,-6.763297,-0.281868
205.869738,4.590184788855636e-01,-6.763397,-0.277556
208.810735,4.590134072975383e-01,-6.763493,-0.273378
211.751731,4.590085632993996e-01,-6.763584,-0.269326
214.692727,4.590039410552192e-01,-6.763672,-0.265395
217.633723,4.589995237373244e-01,-6.763755,-0.261581
220.574720,4.589952658935476e-01,-6.763836,-0.257877
223.515716,4.589911524382686e-01,-6.763914,-0.254279
226.456712,4.589872505377072e-01,-6.763988,-0.250782
229.397708,4.589835270008800e-01,-6.764058,-0.247382
232.338705,4.589798947431019e-01,-6.764127,-0.244075
235.279701,4.589764076508926e-01,-6.764193,-0.240858
238.220697,4.589730551092441e-01,-6.764256,-0.237726
241.161694,4.589698107280220e-01,-6.764318,-0.234676
244.102690,4.589667100782463e-01,-6.764376,-0.231705
247.043686,4.589636981634881e-01,-6.764433,-0.228810
249.984682,4.589608125477893e-01,-6.764488,-0.225987
252.925679,4.589580303760435e-01,-6.764541,-0.223235
255.866675,4.589553595253514e-01,-6.764591,-0.220551
258.807671,4.589527482399083e-01,-6.764641,-0.217931
261.748667,4.589502374377890e-01,-6.764688,-0.215374
264.689664,4.589478295225486e-01,-6.764734,-0.212878
267.630660,4.589454860822258e-01,-6.764778,-0.210440
270.571656,4.589432262882325e-01,-6.764821,-0.208058
273.512652,4.589410208004905e-01,-6.764862,-0.205730
276.453649,4.589388986304063e-01,-6.764903,-0.203455
279.394645,4.589368948758338e-01,-6.764941,-0.201230
282.335641,4.589348994336594e-01,-6.764978,-0.199054
285.276637,4.589329674003288e-01,-6.765015,-0.196926
288.217634,4.589311125307692e-01,-6.765050,-0.194843
