Index,Coefficient
0,-6.448521503443772e-07
1,-6.505990768346237e-07
2,-6.376913006533869e-07
3,-6.476041676251043e-07
4,-6.344877760966483e-07
5,-5.914189387112856e-07
6,-5.818997124151792e-07
7,-5.989618898638582e-07
8,-5.868790253771294e-07
9,-5.601135626420728e-07
10,-5.412427412920806e-07
11,-5.130854674462171e-07
12,-4.999409384254250e-07
13,-4.762868002217147e-07
14,-4.543385330180172e-07
15,-4.565098947750812e-07
16,-4.322111522014893e-07
17,-4.407430083119834e-07
18,-4.405313518418552e-07
19,-3.870192699650943e-07
20,-3.603999516599288e-07
21,-3.427991828175436e-07
22,-3.275649476108811e-07
23,-2.915606671649584e-07
24,-2.375473826532470e-07
25,-1.888853802256563e-07
26,-1.369462694356116e-07
27,-1.109517668851367e-07
28,-4.655409924225751e-08
29,2.377298180533671e-08
30,4.914651086096455e-08
31,9.871461514876501e-08
32,1.198778534217126e-07
33,1.190440670484350e-07
34,1.337264592393694e-07
35,1.576277952608507e-07
36,2.077754714946423e-07
37,2.482877619058854e-07
38,2.739202784596273e-07
39,2.753882029082888e-07
40,2.874540143693594e-07
41,3.077528276662633e-07
42,2.904911866608018e-07
43,2.814398385453387e-07
44,2.708989939037565e-07
45,2.665784677446936e-07
46,2.665611020802316e-07
47,2.450197484904493e-07
48,2.515197365937638e-07
49,2.514364041417139e-07
50,2.442428694848786e-07
51,2.737438649091928e-07
52,3.167814668358915e-07
53,3.516689730531652e-07
54,3.683735769755003e-07
55,3.832747381693480e-07
56,3.914759929557476e-07
57,4.181558210802905e-07
58,4.625128440238768e-07
59,4.962155912835442e-07
60,5.549745765165426e-07
61,5.961591682535072e-07
62,6.148653142190597e-07
63,6.777433441129688e-07
64,6.966747605474666e-07
65,6.969158334868553e-07
66,7.263039378813119e-07
67,7.820469818398124e-07
68,8.113479452731553e-07
69,8.089928087429143e-07
70,8.049431698964327e-07
71,8.100065542748780e-07
72,8.197451393243682e-07
73,8.100535637822759e-07
74,8.341501143149799e-07
75,8.952305279308348e-07
76,9.079139999812469e-07
77,8.857870170686510e-07
78,8.873858519109490e-07
79,8.994821314445289e-07
80,8.767775057094696e-07
81,8.582338182350213e-07
82,8.634296477794123e-07
83,8.620496032563096e-07
84,8.787042133917566e-07
85,9.017820730150561e-07
86,9.155372140412510e-07
87,9.409383210368105e-07
88,9.530067472951487e-07
89,9.561990736983716e-07
90,9.775612852536142e-07
91,1.004518821901002e-06
92,9.940757763615693e-07
93,1.000347083390807e-06
94,1.031965211950592e-06
95,1.040078132064082e-06
96,1.087112650566269e-06
97,1.126391907746438e-06
98,1.124749815062387e-06
99,1.118831960411626e-06
100,1.091842818823352e-06
101,1.093999685508606e-06
102,1.129290808421501e-06
103,1.160001716016268e-06
104,1.190344960377843e-06
105,1.209969241244835e-06
106,1.202518433274236e-06
107,1.182623350359790e-06
108,1.199741859636561e-06
109,1.207094896926719e-06
110,1.194927335745888e-06
111,1.213648715747695e-06
112,1.225516939484805e-06
113,1.219475848301954e-06
114,1.211234462061839e-06
115,1.207757122756448e-06
116,1.223831077368231e-06
117,1.248955072696845e-06
118,1.285368284698052e-06
119,1.323708943345991e-06
120,1.371204575661977e-06
121,1.405706939294760e-06
122,1.437235937373771e-06
123,1.471035147915245e-06
124,1.467296101509419e-06
125,1.482623133597372e-06
126,1.524262188468128e-06
127,1.555730705149472e-06
128,1.594765535628540e-06
129,1.628510176487907e-06
130,1.672391931606398e-06
131,1.724354774523817e-06
132,1.745051349644200e-06
133,1.730061399030092e-06
134,1.727410335661261e-06
135,1.737910679366905e-06
136,1.735364890009805e-06
137,1.766680043147062e-06
138,1.809454147405631e-06
139,1.812204686757468e-06
140,1.794548438738275e-06
141,1.817701900108659e-06
142,1.881891876109876e-06
143,1.894268621072115e-06
144,1.904996679513715e-06
145,1.922644969454268e-06
146,1.898286427604035e-06
147,1.910097125801258e-06
148,1.947363216459053e-06
149,1.987417590498808e-06
150,2.000328322537825e-06
151,1.978619138753857e-06
152,1.986202278203564e-06
153,1.974491851797211e-06
154,1.950125351868337e-06
155,1.941128402904724e-06
156,1.935991122081759e-06
157,1.939489266078454e-06
158,1.917959025377058e-06
159,1.911560048029060e-06
160,1.928043275256641e-06
161,1.940074525919044e-06
162,1.962862370419316e-06
163,1.987517180168652e-06
164,2.013578523474280e-06
165,2.030677933362313e-06
166,2.042025471382658e-06
167,2.060471842924017e-06
168,2.117730673489859e-06
169,2.184029426643974e-06
170,2.203748863394139e-06
171,2.252982767458889e-06
172,2.287111783516593e-06
173,2.265727061967482e-06
174,2.275414317409741e-06
175,2.280589114889153e-06
176,2.283576350237126e-06
177,2.297872924827971e-06
178,2.296390448464081e-06
179,2.310040372321964e-06
180,2.339801540074404e-06
181,2.352039246034110e-06
182,2.329043809368159e-06
183,2.300665300936089e-06
184,2.296208776897402e-06
185,2.321673264304991e-06
186,2.348343286939780e-06
187,2.364540250709979e-06
188,2.404447286608047e-06
189,2.421218141535064e-06
190,2.431357415844104e-06
191,2.466902060405118e-06
192,2.485924142092699e-06
193,2.514154630262055e-06
