Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
0.000000,-0.000002,-0.003611,-0.003609
0.732422,-0.000002,-0.003614,-0.003612
1.464844,-0.000002,-0.003618,-0.003615
2.197266,-0.000002,-0.003621,-0.003618
2.929688,-0.000002,-0.003624,-0.003622
3.662109,-0.000002,-0.003633,-0.003631
4.394531,-0.000002,-0.003643,-0.003640
5.126953,-0.000002,-0.003652,-0.003650
5.859375,-0.000002,-0.003662,-0.003660
6.591797,-0.000002,-0.003678,-0.003676
7.324219,-0.000002,-0.003694,-0.003692
8.056641,-0.000002,-0.003710,-0.003708
8.789062,-0.000002,-0.003726,-0.003724
9.521484,-0.000002,-0.003750,-0.003747
10.253906,-0.000002,-0.003773,-0.003771
10.986328,-0.000002,-0.003797,-0.003795
11.718750,-0.000002,-0.003820,-0.003818
12.451172,-0.000002,-0.003851,-0.003850
13.183594,-0.000001,-0.003883,-0.003882
13.916016,-0.000002,-0.003915,-0.003913
14.648438,-0.000002,-0.003947,-0.003945
15.380859,-0.000002,-0.003988,-0.003986
16.113281,-0.000000,-0.004029,-0.004029
16.845703,-0.000001,-0.004070,-0.004070
17.578125,-0.000001,-0.004112,-0.004111
18.310547,-0.000001,-0.004164,-0.004163
19.042969,-0.000000,-0.004217,-0.004216
19.775391,-0.000000,-0.004269,-0.004269
20.507812,-0.000001,-0.004322,-0.004322
21.240234,0.000000,-0.004388,-0.004388
21.972656,0.000000,-0.004455,-0.004455
22.705078,-0.000000,-0.004522,-0.004521
23.437500,0.000000,-0.004589,-0.004589
24.169922,0.000000,-0.004671,-0.004671
24.902344,-0.000000,-0.004755,-0.004755
25.634766,-0.000000,-0.004840,-0.004840
26.367188,-0.000000,-0.004924,-0.004924
27.099609,-0.000000,-0.005029,-0.005029
27.832031,-0.000001,-0.005138,-0.005137
28.564453,-0.000002,-0.005246,-0.005244
29.296875,-0.000002,-0.005355,-0.005352
30.029297,-0.000004,-0.005516,-0.005512
30.761719,-0.000008,-0.005687,-0.005679
31.494141,-0.000011,-0.005858,-0.005847
32.226562,-0.000018,-0.006029,-0.006010
32.958984,-0.000029,-0.006938,-0.006909
33.691406,-0.000048,-0.007999,-0.007951
34.423828,-0.000081,-0.009059,-0.008978
35.156250,-0.000149,-0.010120,-0.009971
35.888672,-0.000317,0.147970,0.148287
36.621094,0.006209,0.342254,0.336045
37.353516,0.255093,0.536538,0.281445
38.085938,0.705893,0.730822,0.024929
38.818359,1.156099,1.131712,-0.024387
39.550781,1.606185,1.584487,-0.021698
40.283203,2.056213,2.037262,-0.018951
41.015625,2.506195,2.490037,-0.016158
41.748047,2.956133,2.939641,-0.016493
42.480469,3.406019,3.388370,-0.017649
43.212891,3.855830,3.837099,-0.018732
43.945312,4.305525,4.285827,-0.019697
44.677734,4.754997,4.602642,-0.152355
