Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999997865926816e-01,-0.000002,-0.000000
0.732422,9.999997618591320e-01,-0.000002,-0.002101
1.464844,9.999997569923881e-01,-0.000002,-0.004201
2.197266,9.999997401844519e-01,-0.000002,-0.006298
2.929688,9.999997429659657e-01,-0.000002,-0.008390
3.662109,9.999997579284934e-01,-0.000002,-0.010477
4.394531,9.999997134702912e-01,-0.000002,-0.012557
5.126953,9.999997644556577e-01,-0.000002,-0.014629
5.859375,9.999997892555021e-01,-0.000002,-0.016690
6.591797,9.999997721199020e-01,-0.000002,-0.018739
7.324219,9.999997631691042e-01,-0.000002,-0.020775
8.056641,9.999997316916559e-01,-0.000002,-0.022794
8.789062,9.999997519854681e-01,-0.000002,-0.024796
9.521484,9.999997561481606e-01,-0.000002,-0.026778
10.253906,9.999997913611893e-01,-0.000002,-0.028737
10.986328,9.999997686308598e-01,-0.000002,-0.030671
11.718750,9.999998079748897e-01,-0.000002,-0.032578
12.451172,9.999998057761171e-01,-0.000002,-0.034453
13.183594,9.999998956806423e-01,-0.000001,-0.036293
13.916016,9.999997757478992e-01,-0.000002,-0.038096
14.648438,9.999998074485857e-01,-0.000002,-0.039855
15.380859,9.999998165237849e-01,-0.000002,-0.041567
16.113281,9.999999527427463e-01,-0.000000,-0.043227
16.845703,9.999999286865222e-01,-0.000001,-0.044829
17.578125,9.999998581394016e-01,-0.000001,-0.046365
18.310547,9.999999149520333e-01,-0.000001,-0.047829
19.042969,9.999999675490083e-01,-0.000000,-0.049213
19.775391,9.999999705664593e-01,-0.000000,-0.050507
20.507812,9.999999212237037e-01,-0.000001,-0.051701
21.240234,1.000000018620972e+00,0.000000,-0.052782
21.972656,1.000000004215052e+00,0.000000,-0.053737
22.705078,9.999999424616265e-01,-0.000000,-0.054549
23.437500,1.000000028437756e+00,0.000000,-0.055200
24.169922,1.000000001622388e+00,0.000000,-0.055670
24.902344,9.999999862682138e-01,-0.000000,-0.055932
25.634766,9.999999739566914e-01,-0.000000,-0.055958
26.367188,9.999999520128311e-01,-0.000000,-0.055712
27.099609,9.999999767898142e-01,-0.000000,-0.055153
27.832031,9.999998867729628e-01,-0.000001,-0.054231
28.564453,9.999997989913976e-01,-0.000002,-0.052885
29.296875,9.999997357094458e-01,-0.000002,-0.051040
30.029297,9.999995039503441e-01,-0.000004,-0.048600
30.761719,9.999991356712675e-01,-0.000008,-0.045447
31.494141,9.999987155264127e-01,-0.000011,-0.041425
32.226562,9.999978914663551e-01,-0.000018,-0.036326
32.958984,9.999966886459811e-01,-0.000029,-0.029864
33.691406,9.999945163476893e-01,-0.000048,-0.021630
34.423828,9.999906304707601e-01,-0.000081,-0.010993
35.156250,9.999828588706345e-01,-0.000149,0.003106
35.888672,9.999634926210319e-01,-0.000317,0.022796
36.621094,1.000715111758489e+00,0.006209,0.055171
37.353516,1.029804147694328e+00,0.255093,0.105037
38.085938,1.084662511334325e+00,0.705893,0.130560
38.818359,1.142365104046523e+00,1.156099,0.141370
39.550781,1.203120889721595e+00,1.606185,0.143060
40.283203,1.267099268857709e+00,2.056213,0.137359
41.015625,1.334472886850589e+00,2.506195,0.124995
41.748047,1.405421724369034e+00,2.956133,0.106206
42.480469,1.480133708820148e+00,3.406019,0.080873
43.212891,1.558804021233139e+00,3.855830,0.048529
43.945312,1.641633599564426e+00,4.305525,0.008221
44.677734,1.728820363673330e+00,4.754997,-0.041890
45.410156,1.820520173459492e+00,5.203910,-0.105930
46.142578,1.900709119130092e+00,5.578313,-0.200797
46.875000,1.886195081375613e+00,5.511732,-0.300504
47.607422,1.848968552775980e+00,5.338590,-0.372331
48.339844,1.812674916317633e+00,5.166399,-0.433380
49.072266,1.777098572465249e+00,4.994230,-0.489747
49.804688,1.738424300705208e+00,4.803116,-0.543977
50.537109,1.694757111941301e+00,4.582149,-0.595561
51.269531,1.646590363567475e+00,4.331711,-0.643752
52.001953,1.595628519800350e+00,4.058636,-0.687837
52.734375,1.544131892828604e+00,3.773688,-0.727911
53.466797,1.493677806473381e+00,3.485139,-0.764707
54.199219,1.444631102200825e+00,3.195139,-0.799275
54.931641,1.396687081958221e+00,2.901982,-0.832544
55.664062,1.348322248952903e+00,2.595874,-0.865062
56.396484,1.298874168043064e+00,2.271342,-0.895842
57.128906,1.249256337296425e+00,1.933031,-0.924515
57.861328,1.199865344881995e+00,1.582650,-0.951151
58.593750,1.150909665108935e+00,1.220825,-0.975895
59.326172,1.102425731980941e+00,0.846987,-0.998753
60.058594,1.054500739447058e+00,0.460938,-1.019955
60.791016,1.006630664511267e+00,0.057403,-1.039850
61.523438,9.576520288142926e-01,-0.375845,-1.057681
62.255859,9.076906217004086e-01,-0.841243,-1.071554
62.988281,8.580041777687841e-01,-1.330212,-1.078971
