Index,Coefficient
0,9.838460087776184e-01
1,-2.487465739250183e-01
2,1.156939938664436e-01
3,-1.444662511348724e-01
4,1.249899796675891e-04
5,5.542258918285370e-02
6,-6.677357596345246e-04
7,5.480732768774033e-02
8,2.240645512938499e-02
9,5.876354407519102e-03
10,1.132425386458635e-02
11,-2.610969590023160e-03
12,-5.983680021017790e-03
13,-1.353006344288588e-02
14,-1.301946677267551e-02
15,-1.394124235957861e-02
16,-1.178604364395142e-02
17,-1.886970177292824e-02
18,-2.434759959578514e-02
19,-1.991790160536766e-02
20,-2.466765232384205e-02
21,-1.693294756114483e-02
22,-1.446713134646416e-02
23,-1.740854792296886e-02
24,-1.406597718596458e-02
25,-1.882334984838963e-02
26,-1.553301326930523e-02
27,-1.400104351341724e-02
28,-1.576130837202072e-02
29,-1.274964399635792e-02
30,-1.362460199743509e-02
31,-1.071006339043379e-02
32,-8.845018222928047e-03
33,-8.452434092760086e-03
34,-5.625293590128422e-03
35,-3.194996388629079e-03
36,-5.733760772272944e-04
37,4.815060819964856e-04
38,2.719184150919318e-03
39,4.492401145398617e-03
40,6.170823238790035e-03
41,7.798474747687578e-03
42,9.877104312181473e-03
43,1.320690754801035e-02
44,1.198354642838240e-02
45,1.248710788786411e-02
46,1.357725262641907e-02
47,1.321238465607166e-02
48,1.548330113291740e-02
49,1.446669641882181e-02
50,1.471231691539288e-02
51,1.570901833474636e-02
52,1.393359526991844e-02
53,1.290681120008230e-02
54,1.060052309185266e-02
55,9.791502729058266e-03
56,9.707856923341751e-03
57,8.908784948289394e-03
58,8.404576219618320e-03
59,6.987912114709616e-03
60,5.892889574170113e-03
61,4.229521844536066e-03
62,3.431155346333981e-03
63,2.297278493642807e-03
64,4.993546172045171e-04
65,-1.309773215325549e-04
66,-1.624714699573815e-03
67,-1.445586909539998e-03
68,-1.400253502652049e-03
69,-2.228940604254603e-03
70,-2.021282445639372e-03
71,-3.063722513616085e-03
72,-3.072898369282484e-03
73,-2.993033034726977e-03
74,-3.357319626957178e-03
75,-2.940918318927288e-03
76,-2.752651227638125e-03
77,-1.783983083441854e-03
78,-1.644206116907299e-03
79,-1.310815103352070e-03
80,-3.575186419766396e-04
81,1.199484831886366e-04
82,1.464304164983332e-03
83,2.254818100482225e-03
84,2.772301901131868e-03
85,3.175308462232351e-03
86,3.707802854478359e-03
87,4.651234019547701e-03
88,5.030275788158178e-03
89,6.065763067454100e-03
90,6.650345399975777e-03
91,7.076986599713564e-03
92,7.704623043537140e-03
93,7.973736152052879e-03
94,8.810212835669518e-03
95,8.333328180015087e-03
96,7.962130941450596e-03
97,8.248906582593918e-03
98,7.863534614443779e-03
99,8.098063990473747e-03
100,7.733954116702080e-03
101,7.439765147864819e-03
102,7.352273445576429e-03
103,6.499124225229025e-03
104,5.983742885291576e-03
105,5.278440658003092e-03
106,4.821489099413157e-03
107,4.448093939572573e-03
108,3.744566347450018e-03
109,3.160365624353290e-03
110,2.246201271191239e-03
111,1.566891674883664e-03
112,1.032642438076437e-03
113,4.953847965225577e-04
114,1.603464261279441e-05
115,-5.396049236878753e-04
116,-1.039726776070893e-03
117,-1.643764320760965e-03
118,-1.940450398251414e-03
