Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.995843364229977e-01,-0.003611,-0.000000
2.940996,9.995828585317309e-01,-0.003624,-0.008424
5.881993,9.995785076210957e-01,-0.003662,-0.016757
8.822989,9.995709784222827e-01,-0.003727,-0.024894
11.763985,9.995601333687616e-01,-0.003821,-0.032704
14.704981,9.995453900079188e-01,-0.003950,-0.040003
17.645978,9.995262834509508e-01,-0.004116,-0.046524
20.586974,9.995018390367830e-01,-0.004328,-0.051855
23.527970,9.994708947319376e-01,-0.004597,-0.055319
26.468966,9.994318990307145e-01,-0.004936,-0.055740
29.409963,9.993817911613789e-01,-0.005371,-0.050869
32.350959,9.993028327155106e-01,-0.006058,-0.035723
35.291955,9.988130109445860e-01,-0.010316,0.004791
38.232951,1.092674882539610e+00,0.769819,0.135936
41.173948,1.347086632269321e+00,2.587911,0.123378
44.114944,1.657630502501466e+00,4.389755,0.000426
47.055940,1.884137345451064e+00,5.502251,-0.316846
49.996936,1.730001828258965e+00,4.760931,-0.557062
52.937933,1.531275416554575e+00,3.701066,-0.737912
55.878929,1.334699918881005e+00,2.507673,-0.873779
58.819925,1.136437768290617e+00,1.110913,-0.982678
61.760922,9.419249716257249e-01,-0.519674,-1.062308
64.701918,7.570091910988064e-01,-2.417977,-1.072115
67.642914,6.289125313182070e-01,-4.028195,-1.024763
70.583910,5.306002277953074e-01,-5.504651,-0.945149
73.524907,4.656282347852900e-01,-6.639214,-0.824780
76.465903,4.242187661057912e-01,-7.448202,-0.697934
79.406899,3.964410203652082e-01,-8.036428,-0.556857
82.347895,3.868701507377585e-01,-8.248696,-0.410237
85.288892,3.899951242689346e-01,-8.178816,-0.279585
88.229888,4.014476181502073e-01,-7.927422,-0.157621
91.170884,4.247424661170194e-01,-7.437486,-0.053043
94.111880,4.581682678688106e-01,-6.779500,0.025269
97.052877,4.950141097274109e-01,-6.107648,0.072091
99.993873,5.345030258887862e-01,-5.440997,0.105707
102.934869,5.757325073494541e-01,-4.795585,0.112937
105.875865,6.113102706245278e-01,-4.274766,0.107057
108.816862,6.432663257828092e-01,-3.832184,0.090477
111.757858,6.691189078374794e-01,-3.489934,0.078056
114.698854,6.987564854736891e-01,-3.113483,0.054217
117.639850,7.166816623699258e-01,-2.893474,0.018161
120.580847,7.243852888960706e-01,-2.800608,-0.009524
123.521843,7.305928885135393e-01,-2.726491,-0.026355
126.462839,7.474617794369971e-01,-2.528220,-0.046776
129.403836,7.571196571056025e-01,-2.416710,-0.090190
132.344832,7.455169493932953e-01,-2.550850,-0.129275
135.285828,7.259040191802955e-01,-2.782416,-0.149444
138.226824,7.157875741055469e-01,-2.904317,-0.148697
141.167821,7.164275267656648e-01,-2.896555,-0.158028
144.108817,7.122598768044225e-01,-2.947230,-0.178707
147.049813,6.978936948116096e-01,-3.124215,-0.198995
149.990809,6.790318949425499e-01,-3.362197,-0.209584
152.931806,6.589151738718720e-01,-3.623410,-0.201547
155.872802,6.528058077402408e-01,-3.704320,-0.188737
158.813798,6.448978508499291e-01,-3.810181,-0.186571
161.754794,6.369924212178643e-01,-3.917315,-0.174958
164.695791,6.351437725244240e-01,-3.942559,-0.162912
167.636787,6.351133774583321e-01,-3.942975,-0.157613
170.577783,6.346367653692964e-01,-3.949495,-0.152434
173.518779,6.365609578170567e-01,-3.923200,-0.151039
176.459776,6.348795497739700e-01,-3.946173,-0.160325
179.400772,6.261994030465506e-01,-4.065747,-0.157471
182.341768,6.229193627114676e-01,-4.111363,-0.149632
185.282765,6.220757053631631e-01,-4.123135,-0.144566
188.223761,6.219829459679685e-01,-4.124430,-0.137790
191.164757,6.262495872401690e-01,-4.065051,-0.136733
194.105753,6.276297581438438e-01,-4.045929,-0.143309
197.046750,6.259632946671839e-01,-4.069023,-0.151110
199.987746,6.215304579335041e-01,-4.130752,-0.153506
202.928742,6.208191303348980e-01,-4.140698,-0.157883
205.869738,6.165720609888181e-01,-4.200323,-0.168083
208.810735,6.066419404404610e-01,-4.341351,-0.172396
211.751731,6.009784017059356e-01,-4.422823,-0.166715
214.692727,5.983216906089719e-01,-4.461305,-0.168163
217.633723,5.923022992623562e-01,-4.549132,-0.169988
220.574720,5.870101469644974e-01,-4.627088,-0.168895
223.515716,5.839138951855399e-01,-4.673024,-0.168599
226.456712,5.791374034077725e-01,-4.744368,-0.174367
229.397708,5.705332977196124e-01,-4.874380,-0.177859
232.338705,5.610376950684829e-01,-5.020159,-0.175818
235.279701,5.538302747662150e-01,-5.132466,-0.168249
238.220697,5.502287808891724e-01,-5.189134,-0.163884
241.161694,5.447885336864208e-01,-5.275441,-0.165159
244.102690,5.368065599576523e-01,-5.403644,-0.163586
247.043686,5.292886364679804e-01,-5.526149,-0.160988
249.984682,5.215169496356605e-01,-5.654631,-0.158702
252.925679,5.101505324710444e-01,-5.846033,-0.157489
255.866675,4.957032807756663e-01,-6.095564,-0.144480
258.807671,4.852407333106592e-01,-6.280855,-0.116058
261.748667,4.836858458925242e-01,-6.308732,-0.085193
264.689664,4.872713990904814e-01,-6.244582,-0.066496
267.630660,4.902543157675310e-01,-6.191571,-0.057802
270.571656,4.907971642549916e-01,-6.181959,-0.055354
273.512652,4.892422407758894e-01,-6.209521,-0.054737
276.453649,4.851008726936767e-01,-6.283359,-0.055841
279.394645,4.780260895229001e-01,-6.410968,-0.055729
282.335641,4.683556243996009e-01,-6.588485,-0.051734
285.276637,4.568626417013449e-01,-6.804287,-0.039390
288.217634,4.462817388716613e-01,-7.007818,-0.016361
291.158630,4.398955971146263e-01,-7.133008,0.015817
294.099626,4.392753964365846e-01,-7.145262,0.046619
297.040623,4.405122135673933e-01,-7.120841,0.068391
299.981619,4.411819618790893e-01,-7.107645,0.088668
302.922615,4.421762115302726e-01,-7.088093,0.105045
305.863611,4.427047951018784e-01,-7.077715,0.119059
