Index,Coefficient
0,2.359472318858025e-06
1,2.377676764808712e-06
2,2.387586164331879e-06
3,2.368894456594717e-06
4,2.354475554966484e-06
5,2.350325758015970e-06
6,2.344921767871710e-06
7,2.323995659025968e-06
8,2.311530579390819e-06
9,2.307715249116882e-06
10,2.311057187398546e-06
11,2.339099410164636e-06
12,2.343812639082898e-06
13,2.355719288971159e-06
14,2.353279796807328e-06
15,2.306750047864625e-06
16,2.303422434124514e-06
17,2.297089167768718e-06
18,2.288534460603842e-06
19,2.326176172573469e-06
20,2.344547283428255e-06
21,2.335748831683304e-06
22,2.326217554582399e-06
23,2.358707661187509e-06
24,2.387323775110417e-06
25,2.404978431513882e-06
26,2.450099600537214e-06
27,2.454406057950109e-06
28,2.481416458977037e-06
29,2.535595967856352e-06
30,2.560562961662072e-06
31,2.581738726803451e-06
32,2.565463091741549e-06
33,2.543044274716522e-06
34,2.524562660255469e-06
35,2.523376451790682e-06
36,2.564280293881893e-06
37,2.573883421064238e-06
38,2.554511411290150e-06
39,2.516089352866402e-06
40,2.504393023627927e-06
41,2.515947926440276e-06
42,2.504875055819866e-06
43,2.482952368154656e-06
44,2.440910520817852e-06
45,2.442881168462918e-06
46,2.438971932861023e-06
47,2.415470362393535e-06
48,2.456873744449695e-06
49,2.430136419206974e-06
50,2.387889480814920e-06
51,2.402657855782309e-06
52,2.407300598861184e-06
53,2.436083377688192e-06
54,2.426646005915245e-06
55,2.395994215476094e-06
56,2.372242079218267e-06
57,2.358366145926993e-06
58,2.380700379944756e-06
59,2.386993855907349e-06
60,2.418192025288590e-06
61,2.433436748106033e-06
62,2.379554189246846e-06
63,2.383081437073997e-06
64,2.365298996664933e-06
65,2.349379656152450e-06
66,2.366829676248017e-06
67,2.381332251388812e-06
68,2.398410515525029e-06
69,2.382779257459333e-06
70,2.370101356063969e-06
71,2.362621671636589e-06
72,2.339144884899724e-06
73,2.311168827873189e-06
74,2.264007207486429e-06
75,2.248904820589814e-06
76,2.236365844510146e-06
77,2.200393282691948e-06
78,2.172698032154585e-06
79,2.143708343282924e-06
80,2.102479356835829e-06
81,2.059477537841303e-06
82,2.056224730040412e-06
83,2.051582669082563e-06
84,2.009020590776345e-06
85,1.990841610677307e-06
86,1.971963001778931e-06
87,1.950910473169643e-06
88,1.926694949361263e-06
89,1.892559339466970e-06
90,1.896280878099788e-06
91,1.897886022561579e-06
92,1.878301759461465e-06
93,1.889719669634360e-06
94,1.924263415276073e-06
95,1.953936816789792e-06
96,1.965464207387413e-06
97,1.953952732947073e-06
98,1.931732640514383e-06
99,1.917464260259294e-06
100,1.880946115306870e-06
101,1.830388782764203e-06
102,1.820300781218975e-06
103,1.825892468332313e-06
104,1.833049964261591e-06
105,1.834957288338046e-06
106,1.794463969417848e-06
107,1.771284360074787e-06
108,1.771548454598815e-06
109,1.758607027113612e-06
110,1.777693000803993e-06
111,1.776134013198316e-06
112,1.757623067533132e-06
113,1.770924200172885e-06
114,1.764172907314787e-06
115,1.783691686796374e-06
116,1.825099388952367e-06
117,1.863029297055618e-06
118,1.915131861096597e-06
119,1.906782472360646e-06
120,1.902422241073509e-06
121,1.928124675032450e-06
122,1.936374928845908e-06
123,1.991899353015469e-06
124,2.027438313234597e-06
125,2.012988716160180e-06
126,1.998170773731545e-06
127,1.963246177183464e-06
128,1.936643229782931e-06
129,1.931583483383292e-06
130,1.926445520439302e-06
131,1.910203764055041e-06
132,1.874038957794255e-06
133,1.805942588362086e-06
134,1.742139829730149e-06
135,1.729968062136322e-06
136,1.732489863570663e-06
137,1.746104430822015e-06
138,1.740493416946265e-06
139,1.704812120806309e-06
140,1.696009462648362e-06
141,1.697669631539611e-06
142,1.724962885418790e-06
143,1.719854139992094e-06
144,1.677598902460886e-06
145,1.677761929386179e-06
146,1.645601855670975e-06
147,1.618164674255240e-06
148,1.626431071599654e-06
149,1.623366529202031e-06
150,1.641799030949187e-06
151,1.622125864741975e-06
152,1.582337290528812e-06
153,1.552849084873742e-06
154,1.499942754890071e-06
155,1.443242013010604e-06
156,1.397045252815587e-06
157,1.393401817040285e-06
158,1.381829861202277e-06
159,1.337072148999141e-06
160,1.301605607295642e-06
161,1.275964450542233e-06
162,1.284506538468122e-06
163,1.276471493838471e-06
164,1.243610313395038e-06
165,1.220039962390729e-06
166,1.183529320769594e-06
167,1.162026137535577e-06
168,1.148440787801519e-06
169,1.141303755503031e-06
170,1.139680762207718e-06
171,1.134145350079052e-06
172,1.153077846538508e-06
173,1.140938934440783e-06
174,1.120938350140932e-06
175,1.118084696827282e-06
176,1.086477823264431e-06
177,1.068117853719741e-06
178,1.061358261722489e-06
179,1.058379211826832e-06
180,1.092600427909929e-06
181,1.104838361243310e-06
182,1.047376713358972e-06
183,9.867351309367223e-07
184,9.546329238219187e-07
185,9.189755587613035e-07
186,9.166825520878774e-07
187,9.391523008162039e-07
188,9.422676043868705e-07
189,9.295990821556188e-07
190,8.973880198936968e-07
191,8.987987598629843e-07
192,9.169041845780157e-07
193,8.890061167221575e-07
194,8.849894470586150e-07
195,9.157147928817722e-07
196,9.212311624651193e-07
197,8.927626709009928e-07
198,8.491907124152931e-07
199,8.346628987965232e-07
200,8.486861702294846e-07
201,8.353544558303838e-07
202,7.975742732924118e-07
203,7.563684789602121e-07
204,7.164539965742733e-07
205,6.733978352713166e-07
206,6.146056534817035e-07
207,5.886235499019676e-07
208,5.854145683770184e-07
209,5.511789140655310e-07
210,5.397239419835387e-07
211,5.365728839024086e-07
212,4.930780050926842e-07
213,4.505250501551927e-07
214,4.359787055818742e-07
215,4.484440978558268e-07
216,4.595212601543608e-07
217,4.641107693714730e-07
218,4.475238597478892e-07
219,4.301271303575049e-07
220,4.567925486753666e-07
221,4.773932573698403e-07
222,5.088201078251586e-07
223,5.436873493636085e-07
224,5.423385687208793e-07
225,5.474124122883950e-07
226,5.194565915189742e-07
227,4.874045771430247e-07
228,4.823703534384549e-07
229,4.780192170983355e-07
230,5.028344958191155e-07
231,5.128383122610103e-07
232,5.088995749247260e-07
233,5.074934961157851e-07
234,5.118697572470410e-07
235,5.179005029276595e-07
236,4.871759529123665e-07
237,4.800400574822561e-07
238,4.799797466148448e-07
239,4.531989930001146e-07
240,4.191553557575389e-07
241,3.593989958972088e-07
242,3.301252604615001e-07
243,3.231467360365059e-07
244,3.228310561098624e-07
245,3.362700340403535e-07
246,3.173406923906441e-07
247,3.153120644583396e-07
248,3.165280872963194e-07
249,2.980894464599260e-07
250,2.923645467944880e-07
251,2.701902133139811e-07
252,2.238863459069762e-07
253,1.496174633075498e-07
254,1.042208239709908e-07
255,9.445278692510328e-08
256,5.300907446326164e-08
257,1.731588028519582e-08
258,-3.487024358150848e-08
259,-9.552002211421495e-08
260,-1.163072056442616e-07
261,-1.546459316159599e-07
262,-2.128107468024609e-07
263,-2.471007007898152e-07
264,-2.927484104020550e-07
265,-3.415485423374776e-07
266,-3.474499123967689e-07
267,-3.426912371651269e-07
268,-3.439543547756330e-07
269,-3.655686953152326e-07
270,-4.070584793680609e-07
271,-4.058163654008240e-07
272,-4.176391428245552e-07
273,-4.644061561975832e-07
274,-4.661592925003788e-07
275,-4.801502768714272e-07
276,-5.209754476709350e-07
277,-5.467244363899226e-07
278,-5.464413561639958e-07
279,-5.275982175589888e-07
280,-5.586275051427947e-07
281,-6.087564656809263e-07
282,-6.076329555071425e-07
283,-6.028950565450941e-07
284,-6.120861257841170e-07
285,-6.131518262009195e-07
286,-6.278511932578112e-07
287,-6.185788379298174e-07
288,-5.645527494380076e-07
289,-5.470348583003215e-07
290,-5.494280799211992e-07
291,-5.532295404009346e-07
292,-5.968593086436158e-07
293,-6.394600973180786e-07
294,-6.728216135343246e-07
295,-6.971530410737614e-07
296,-7.077242685227247e-07
297,-7.230682967929170e-07
298,-7.307284022317617e-07
299,-7.518693223573791e-07
300,-7.656215643692121e-07
301,-7.596647151331126e-07
302,-7.721405381744262e-07
303,-7.923136990939383e-07
304,-8.020720656531921e-07
305,-7.713927629993123e-07
306,-7.380386932709371e-07
307,-7.508440376113867e-07
308,-7.626742331012792e-07
309,-7.774960408823972e-07
310,-8.043525099310500e-07
311,-8.165030749296420e-07
312,-8.259489732154179e-07
313,-8.378968914257712e-07
314,-8.316575303979334e-07
315,-8.316136472785729e-07
316,-8.539484497305239e-07
317,-8.558642434763897e-07
318,-8.590858442403260e-07
319,-8.652497172079165e-07
320,-8.332489755957795e-07
321,-8.435485483460070e-07
322,-8.843834393701400e-07
323,-8.965603228716645e-07
324,-9.286038675782038e-07
325,-9.682569270808017e-07
326,-9.882909353109426e-07
327,-1.023224513119203e-06
328,-1.076303874469886e-06
329,-1.147052216765587e-06
330,-1.220928538714361e-06
331,-1.253169216397509e-06
