Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
0.000000,-0.000002,0.000010,0.000012
0.732422,-0.000002,0.000011,0.000012
1.464844,-0.000002,0.000012,0.000013
2.197266,-0.000002,0.000012,0.000014
2.929688,-0.000001,0.000013,0.000015
3.662109,-0.000002,0.000016,0.000018
4.394531,-0.000002,0.000019,0.000020
5.126953,-0.000002,0.000021,0.000023
5.859375,-0.000001,0.000024,0.000025
6.591797,-0.000002,0.000028,0.000030
7.324219,-0.000002,0.000033,0.000035
8.056641,-0.000002,0.000037,0.000039
8.789062,-0.000002,0.000042,0.000044
9.521484,-0.000002,0.000049,0.000051
10.253906,-0.000001,0.000057,0.000058
10.986328,-0.000001,0.000064,0.000065
11.718750,-0.000001,0.000071,0.000072
12.451172,-0.000001,0.000082,0.000083
13.183594,-0.000001,0.000093,0.000094
13.916016,-0.000002,0.000103,0.000105
14.648438,-0.000001,0.000114,0.000115
15.380859,-0.000001,0.000130,0.000131
16.113281,-0.000001,0.000146,0.000146
16.845703,-0.000001,0.000162,0.000163
17.578125,-0.000001,0.000178,0.000179
18.310547,-0.000000,0.000203,0.000203
19.042969,0.000000,0.000228,0.000228
19.775391,-0.000000,0.000254,0.000254
20.507812,0.000000,0.000279,0.000279
21.240234,0.000000,0.000321,0.000321
21.972656,0.000000,0.000365,0.000365
22.705078,0.000001,0.000409,0.000408
23.437500,0.000001,0.000453,0.000452
24.169922,0.000001,0.000536,0.000535
24.902344,0.000001,0.000624,0.000623
25.634766,0.000000,0.000713,0.000713
26.367188,-0.000000,0.000801,0.000802
27.099609,-0.000001,0.001017,0.001018
27.832031,-0.000001,0.001253,0.001254
28.564453,-0.000004,0.001489,0.001492
29.296875,-0.000007,0.001725,0.001732
30.029297,-0.000013,0.002653,0.002665
30.761719,-0.000021,0.003707,0.003728
31.494141,-0.000036,0.004762,0.004798
32.226562,-0.000062,0.005816,0.005878
32.958984,-0.000113,0.045847,0.045961
33.691406,-0.000227,0.093853,0.094079
34.423828,-0.000615,0.141858,0.142473
35.156250,0.106794,0.189863,0.083070
35.888672,0.563119,0.596513,0.033394
36.621094,1.064618,1.084726,0.020109
37.353516,1.565913,1.572939,0.007026
38.085938,2.067117,2.061152,-0.005965
38.818359,2.568254,2.558708,-0.009546
39.550781,3.069326,3.058610,-0.010716
40.283203,3.570318,3.558512,-0.011806
41.015625,4.071197,4.058415,-0.012783
41.748047,4.571890,4.514239,-0.057650
42.480469,5.072219,4.957909,-0.114310
43.212891,5.571412,5.401579,-0.169833
43.945312,5.947449,5.845248,-0.102201
44.677734,5.927856,5.666734,-0.261122
45.410156,5.549223,5.300687,-0.248536
46.142578,5.090913,4.934639,-0.156274
46.875000,4.614624,4.568592,-0.046032
47.607422,4.147935,4.161212,0.013277
48.339844,3.710187,3.740270,0.030084
49.072266,3.302424,3.319329,0.016905
49.804688,2.903862,2.898387,-0.005475
50.537109,2.502824,2.492102,-0.010722
51.269531,2.098263,2.091033,-0.007230
52.001953,1.691439,1.689964,-0.001475
52.734375,1.293702,1.288895,-0.004807
53.466797,0.915722,0.926549,0.010827
54.199219,0.558385,0.579108,0.020723
54.931641,0.219093,0.231667,0.012574
55.664062,-0.112679,-0.115775,-0.003096
56.396484,-0.440776,-0.437797,0.002979
57.128906,-0.759110,-0.749267,0.009843
57.861328,-1.067821,-1.060737,0.007084
58.593750,-1.369215,-1.372206,-0.002992
59.326172,-1.665595,-1.685269,-0.019673
60.058594,-1.963463,-1.999043,-0.035580
60.791016,-2.271877,-2.312817,-0.040940
61.523438,-2.606039,-2.626591,-0.020552
62.255859,-2.969224,-2.972386,-0.003162
62.988281,-3.352179,-3.333546,0.018633
63.720703,-3.720261,-3.694706,0.025554
64.453125,-4.060851,-4.055866,0.004984
65.185547,-4.374007,-4.355517,0.018489
65.917969,-4.655470,-4.623527,0.031944
66.650391,-4.911603,-4.891536,0.020067
67.382812,-5.160762,-5.159545,0.001217
68.115234,-5.409601,-5.420279,-0.010679
68.847656,-5.665543,-5.677008,-0.011466
69.580078,-5.926917,-5.933737,-0.006820
70.312500,-6.186439,-6.190466,-0.004027
71.044922,-6.431734,-6.415132,0.016602
71.777344,-6.650900,-6.620922,0.029979
72.509766,-6.849259,-6.826711,0.022548
73.242188,-7.037782,-7.032500,0.005282
73.974609,-7.215994,-7.216210,-0.000216
74.707031,-7.387544,-7.386039,0.001505
75.439453,-7.556607,-7.555867,0.000739
76.171875,-7.723391,-7.725696,-0.002305
76.904297,-7.887140,-7.881241,0.005899
77.636719,-8.046730,-8.027206,0.019523
78.369141,-8.194796,-8.173171,0.021625
79.101562,-8.327679,-8.319137,0.008543
79.833984,-8.437673,-8.417145,0.020528
80.566406,-8.521364,-8.480868,0.040496
81.298828,-8.581168,-8.544591,0.036576
82.031250,-8.622288,-8.608314,0.013974
82.763672,-8.643164,-8.631761,0.011403
83.496094,-8.643736,-8.624534,0.019202
84.228516,-8.631391,-8.617307,0.014084
84.960938,-8.614799,-8.610081,0.004718
85.693359,-8.592964,-8.575868,0.017096
86.425781,-8.557982,-8.519775,0.038207
