Index,Coefficient
0,9.983739256858826e-01
1,-2.605000436306000e-01
2,1.070134416222572e-01
3,-1.221895813941956e-01
4,-6.212903826963156e-05
5,6.096008419990540e-02
6,3.383020171895623e-03
7,4.840807244181633e-02
8,2.812823280692101e-02
9,1.084919180721045e-02
10,1.013442687690258e-02
11,-2.894570119678974e-03
12,-2.927401801571250e-03
13,-9.003961458802223e-03
14,-1.126133091747761e-02
15,-1.616859994828701e-02
16,-1.426105108112097e-02
17,-1.602278649806976e-02
18,-2.170330658555031e-02
19,-1.640337146818638e-02
20,-1.960477791726589e-02
21,-1.746411994099617e-02
22,-1.476570032536983e-02
23,-1.650657877326012e-02
24,-1.461242698132992e-02
25,-1.896661892533302e-02
26,-1.554158423095942e-02
27,-1.228684186935425e-02
28,-1.482569333165884e-02
29,-1.280238386243582e-02
30,-1.278490014374256e-02
31,-1.020370423793793e-02
32,-8.180605247616768e-03
33,-8.071107789874077e-03
34,-5.768216215074062e-03
35,-4.997354000806808e-03
36,-2.831751247867942e-03
37,2.768666308838874e-04
38,2.892330521717668e-03
39,5.116869695484638e-03
40,7.584391161799431e-03
41,8.816693909466267e-03
42,9.245660156011581e-03
43,1.193678751587868e-02
44,1.191283855587244e-02
45,1.206871960312128e-02
46,1.276535075157881e-02
47,1.148268673568964e-02
48,1.260359212756157e-02
49,1.158715225756168e-02
50,1.068047620356083e-02
51,1.148223504424095e-02
52,9.747805073857307e-03
53,8.481795899569988e-03
54,6.748015992343426e-03
55,5.799055099487305e-03
56,6.050102878361940e-03
57,5.373881198465824e-03
58,4.802226088941097e-03
59,3.529857844114304e-03
60,2.539475681260228e-03
61,1.597509253770113e-03
62,8.307225652970374e-04
63,1.068096171366051e-04
64,-1.180676044896245e-03
65,-1.532726571895182e-03
66,-2.063339576125145e-03
67,-1.643579336814582e-03
68,-1.333265099674463e-03
69,-1.970109529793262e-03
70,-1.706140930764377e-03
71,-2.439538948237896e-03
72,-2.387068001553416e-03
73,-2.171844476833940e-03
74,-2.561684465035796e-03
75,-1.391153899021447e-03
76,-1.005718368105590e-03
77,-4.143443366046995e-04
78,1.742260938044637e-04
79,1.003582656267099e-04
80,1.194458222016692e-03
81,1.842047669924796e-03
82,2.703924896195531e-03
83,3.699569264426827e-03
84,4.004054702818394e-03
85,4.600759595632553e-03
86,5.029590334743261e-03
87,5.671235267072916e-03
88,6.334533914923668e-03
89,6.851346697658300e-03
90,7.460695225745440e-03
91,7.965576834976673e-03
92,8.594970218837261e-03
93,9.206257760524750e-03
94,9.314039722084999e-03
95,8.433895185589790e-03
96,8.149426430463791e-03
97,8.415651507675648e-03
98,7.986179552972317e-03
99,8.032663725316525e-03
100,7.863765582442284e-03
101,7.451011799275875e-03
102,7.320130243897438e-03
103,6.861064117401838e-03
104,6.432216148823500e-03
105,5.780200939625502e-03
106,5.403917748481035e-03
107,4.910707939416170e-03
108,3.922324161976576e-03
109,3.312124637886882e-03
110,2.445935504510999e-03
111,1.782605890184641e-03
112,1.411809702403843e-03
113,7.481061620637774e-04
114,1.295995170949027e-04
115,-5.945363081991673e-04
116,-1.253125374205410e-03
117,-1.926001743413508e-03
118,-2.430773805826902e-03
119,-2.683753147721291e-03
120,-2.822652459144592e-03
121,-2.891898620873690e-03
122,-3.405477153137326e-03
123,-3.684161230921745e-03
124,-3.796429606154561e-03
125,-3.885944839566946e-03
126,-3.617950249463320e-03
127,-3.816973417997360e-03
128,-4.027092363685369e-03
129,-4.172924906015396e-03
130,-4.367558285593987e-03
131,-4.189091268926859e-03
132,-4.162402823567390e-03
133,-4.078243393450975e-03
134,-3.911115694791079e-03
135,-3.576630726456642e-03
136,-3.249325323849916e-03
