Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,9.999997877789065e-01,-0.000002,-0.000000
0.732422,9.999997889848182e-01,-0.000002,-0.002154
1.464844,9.999998188144633e-01,-0.000002,-0.004307
2.197266,9.999997865812903e-01,-0.000002,-0.006457
2.929688,9.999998513205683e-01,-0.000001,-0.008602
3.662109,9.999997984465850e-01,-0.000002,-0.010742
4.394531,9.999997964994239e-01,-0.000002,-0.012874
5.126953,9.999997622736353e-01,-0.000002,-0.014997
5.859375,9.999998557168944e-01,-0.000001,-0.017109
6.591797,9.999997892811610e-01,-0.000002,-0.019209
7.324219,9.999997958747852e-01,-0.000002,-0.021293
8.056641,9.999998078400298e-01,-0.000002,-0.023361
8.789062,9.999997912744940e-01,-0.000002,-0.025409
9.521484,9.999997789800167e-01,-0.000002,-0.027436
10.253906,9.999998672068914e-01,-0.000001,-0.029438
10.986328,9.999998501865039e-01,-0.000001,-0.031412
11.718750,9.999998781081925e-01,-0.000001,-0.033356
12.451172,9.999998371999875e-01,-0.000001,-0.035264
13.183594,9.999998626722230e-01,-0.000001,-0.037133
13.916016,9.999998119257434e-01,-0.000002,-0.038959
14.648438,9.999998761799543e-01,-0.000001,-0.040736
15.380859,9.999998622310268e-01,-0.000001,-0.042457
16.113281,9.999999371080178e-01,-0.000001,-0.044118
16.845703,9.999999295661387e-01,-0.000001,-0.045709
17.578125,9.999999126085737e-01,-0.000001,-0.047223
18.310547,9.999999561354542e-01,-0.000000,-0.048649
19.042969,1.000000006391973e+00,0.000000,-0.049977
19.775391,9.999999925616185e-01,-0.000000,-0.051193
20.507812,1.000000008462759e+00,0.000000,-0.052284
21.240234,1.000000025800221e+00,0.000000,-0.053231
21.972656,1.000000028580948e+00,0.000000,-0.054015
22.705078,1.000000093880040e+00,0.000001,-0.054613
23.437500,1.000000110849213e+00,0.000001,-0.054996
24.169922,1.000000103853152e+00,0.000001,-0.055132
24.902344,1.000000136217411e+00,0.000001,-0.054982
25.634766,1.000000032292477e+00,0.000000,-0.054499
26.367188,9.999999840169665e-01,-0.000000,-0.053623
27.099609,9.999999098178805e-01,-0.000001,-0.052285
27.832031,9.999998295360012e-01,-0.000001,-0.050395
28.564453,9.999995890761377e-01,-0.000004,-0.047840
29.296875,9.999991921474639e-01,-0.000007,-0.044474
30.029297,9.999985577337219e-01,-0.000013,-0.040101
30.761719,9.999976063240107e-01,-0.000021,-0.034457
31.494141,9.999958608036639e-01,-0.000036,-0.027167
32.226562,9.999928602713336e-01,-0.000062,-0.017668
32.958984,9.999869402392749e-01,-0.000113,-0.005053
33.691406,9.999738806639735e-01,-0.000227,0.012351
34.423828,9.999291951686848e-01,-0.000615,0.038740
35.156250,1.012370971928704e+00,0.106794,0.087722
35.888672,1.066979238250134e+00,0.563119,0.128090
36.621094,1.130396698949762e+00,1.064618,0.143718
37.353516,1.197555546967256e+00,1.565913,0.147206
38.085938,1.268690957351634e+00,2.067117,0.141405
38.818359,1.344041524953926e+00,2.568254,0.127409
39.550781,1.423856744693732e+00,3.069326,0.105564
40.283203,1.508397786048694e+00,3.570318,0.075723
41.015625,1.597937730753348e+00,4.071197,0.037266
41.748047,1.692756529897010e+00,4.571890,-0.011068
42.480469,1.793126490292620e+00,5.072219,-0.071718
43.212891,1.899199540049848e+00,5.571412,-0.150537
43.945312,1.983227071239074e+00,5.947449,-0.263257
44.677734,1.978758436846692e+00,5.927856,-0.390440
45.410156,1.894354085198334e+00,5.549223,-0.497453
46.142578,1.796990059500787e+00,5.090913,-0.575665
46.875000,1.701105347874297e+00,4.614624,-0.637032
47.607422,1.612117664828467e+00,4.147935,-0.685075
48.339844,1.532884141554347e+00,3.710187,-0.723979
49.072266,1.462585204893575e+00,3.302424,-0.757811
49.804688,1.396989395177626e+00,2.903862,-0.788816
50.537109,1.333955103869755e+00,2.502824,-0.816467
51.269531,1.273248393453498e+00,2.098263,-0.840365
52.001953,1.214987874563293e+00,1.691439,-0.859883
52.734375,1.160606737335690e+00,1.293702,-0.874679
53.466797,1.111184279075039e+00,0.915722,-0.885806
54.199219,1.066397838595581e+00,0.558385,-0.894614
54.931641,1.025544806343914e+00,0.219093,-0.902158
55.664062,9.871111795579632e-01,-0.112679,-0.909072
56.396484,9.505198642614027e-01,-0.440776,-0.914423
57.128906,9.163143714098978e-01,-0.759110,-0.918330
57.861328,8.843190220937183e-01,-1.067821,-0.921380
58.593750,8.541600753792754e-01,-1.369215,-0.923983
59.326172,8.255059866402652e-01,-1.665595,-0.926521
60.058594,7.976766158295002e-01,-1.963463,-0.929458
60.791016,7.698501006648463e-01,-2.271877,-0.932928
61.523438,7.407950404350233e-01,-2.606039,-0.935923
62.255859,7.104586440102785e-01,-2.969224,-0.936228
62.988281,6.798154798572738e-01,-3.352179,-0.931079
63.720703,6.516088378414217e-01,-3.720261,-0.919912
64.453125,6.265525003891863e-01,-4.060851,-0.905235
65.185547,6.043655124252617e-01,-4.374007,-0.888190
65.917969,5.850951481836417e-01,-4.655470,-0.869932
66.650391,5.680935650932434e-01,-4.911603,-0.852489
67.382812,5.520290339434072e-01,-5.160762,-0.836101
68.115234,5.364385424000245e-01,-5.409601,-0.820039
68.847656,5.208622222088253e-01,-5.665543,-0.803559
69.580078,5.054219813352488e-01,-5.926917,-0.785222
70.312500,4.905440770092098e-01,-6.186439,-0.764332
71.044922,4.768845883675425e-01,-6.431734,-0.740495
71.777344,4.650021905514583e-01,-6.650900,-0.715116
72.509766,4.545032924076680e-01,-6.849259,-0.689862
73.242188,4.447448109356967e-01,-7.037782,-0.664677
73.974609,4.357127895959771e-01,-7.215994,-0.639305
74.707031,4.271917110029375e-01,-7.387544,-0.613976
75.439453,4.189572034314540e-01,-7.556607,-0.588314
76.171875,4.109892298004372e-01,-7.723391,-0.561821
76.904297,4.033137091015396e-01,-7.887140,-0.534184
77.636719,3.959711228894426e-01,-8.046730,-0.504835
78.369141,3.892782985276022e-01,-8.194796,-0.473484
79.101562,3.833681502809332e-01,-8.327679,-0.440296
79.833984,3.785439679508346e-01,-8.437673,-0.405405
80.566406,3.749141149724736e-01,-8.521364,-0.369809
81.298828,3.723416509992914e-01,-8.581168,-0.334357
82.031250,3.705830763284536e-01,-8.622288,-0.299112
82.763672,3.696934831125361e-01,-8.643164,-0.264084
83.496094,3.696691556523276e-01,-8.643736,-0.229896
84.228516,3.701949094371089e-01,-8.631391,-0.197122
84.960938,3.709027669471628e-01,-8.614799,-0.165099
85.693359,3.718363047367412e-01,-8.592964,-0.132770
86.425781,3.733368778945262e-01,-8.557982,-0.099631
87.158203,3.757331831374656e-01,-8.502409,-0.066158
87.890625,3.790969152028128e-01,-8.424995,-0.033071
88.623047,3.834217801372456e-01,-8.326464,-0.000812
89.355469,3.886301306175462e-01,-8.209271,0.030155
90.087891,3.946329757603866e-01,-8.076133,0.059824
90.820312,4.014622018560179e-01,-7.927107,0.088088
91.552734,4.091141566181119e-01,-7.763110,0.114794
92.285156,4.176460557635764e-01,-7.583832,0.139680
93.017578,4.270056788783297e-01,-7.391327,0.162294
93.750000,4.370227771032728e-01,-7.189919,0.182269
94.482422,4.473937379265707e-01,-6.986202,0.199538
95.214844,4.578598420454186e-01,-6.785349,0.214470
95.947266,4.681766236462674e-01,-6.591805,0.227582
96.679688,4.783755190567555e-01,-6.404621,0.239856
97.412109,4.888044578351192e-01,-6.217297,0.251533
98.144531,4.996792659834413e-01,-6.026173,0.262456
98.876953,5.112103443272740e-01,-5.828007,0.272091
99.609375,5.233676814661338e-01,-5.623862,0.279681
100.341797,5.355690873700863e-01,-5.423690,0.284564
101.074219,5.472320470576947e-01,-5.236570,0.287602
101.806641,5.582619445632820e-01,-5.063240,0.289769
102.539062,5.689421592281840e-01,-4.898638,0.291724
103.271484,5.795416099070444e-01,-4.738308,0.293279
104.003906,5.899362169998513e-01,-4.583899,0.294288
104.736328,6.000642894572394e-01,-4.436044,0.295232
105.468750,6.103279937728100e-01,-4.288734,0.296465
106.201172,6.211037115099125e-01,-4.136718,0.297439
106.933594,6.323916000696956e-01,-3.980278,0.297481
107.666016,6.438087308298145e-01,-3.824863,0.296131
108.398438,6.549776025742068e-01,-3.675471,0.293812
109.130859,6.659128105311360e-01,-3.531653,0.290942
109.863281,6.767850616901528e-01,-3.390985,0.287811
110.595703,6.878988149046843e-01,-3.249509,0.284224
111.328125,6.992781914397459e-01,-3.107000,0.279756
112.060547,7.107870203984843e-01,-2.965210,0.273993
112.792969,7.219897231438606e-01,-2.829380,0.266798
113.525391,7.326157654273151e-01,-2.702475,0.258453
114.257812,7.424186977491610e-01,-2.587022,0.249069
114.990234,7.511055794510211e-01,-2.485980,0.239211
115.722656,7.587845587308834e-01,-2.397630,0.229297
116.455078,7.654630711074604e-01,-2.321515,0.219601
117.187500,7.711632319078372e-01,-2.257074,0.210558
117.919922,7.763322990571595e-01,-2.199047,0.202783
118.652344,7.817008490256919e-01,-2.139188,0.196060
119.384766,7.875526207136959e-01,-2.074408,0.189715
120.117188,7.938143196185609e-01,-2.005621,0.183239
120.849609,8.003298899182758e-01,-1.934619,0.176359
121.582031,8.068958528093443e-01,-1.863650,0.168897
122.314453,8.132135091941033e-01,-1.795908,0.160930
123.046875,8.192347877876383e-01,-1.731832,0.152831
123.779297,8.252860453849529e-01,-1.667910,0.144774
124.511719,8.316626812612971e-01,-1.601056,0.136368
125.244141,8.383356746550470e-01,-1.531641,0.127031
125.976562,8.448013911406191e-01,-1.464908,0.116304
126.708984,8.505024159850101e-01,-1.406489,0.104383
127.441406,8.553007708389985e-01,-1.357623,0.091596
128.173828,8.589748677077793e-01,-1.320391,0.077736
128.906250,8.607252657831819e-01,-1.302709,0.063277
129.638672,8.604864890473070e-01,-1.305119,0.049074
130.371094,8.582692856262942e-01,-1.327529,0.036215
131.103516,8.551904786853769e-01,-1.358743,0.025272
131.835938,8.517736803444431e-01,-1.393516,0.015858
132.568359,8.482615148156898e-01,-1.429405,0.007714
133.300781,8.447552192558284e-01,-1.465382,0.000639
134.033203,8.412392416763879e-01,-1.501610,-0.005455
134.765625,8.377717088914303e-01,-1.537486,-0.010298
