Frequency_Hz,Magnitude_Linear,Magnitude_dB,Phase_Radians
0.000000,1.000001112783870e+00,0.000010,-0.000000
2.940996,1.000001537055221e+00,0.000013,-0.008656
5.881993,1.000002736888362e+00,0.000024,-0.017216
8.822989,1.000004866643762e+00,0.000042,-0.025568
11.763985,1.000008276025085e+00,0.000072,-0.033561
14.704981,1.000013215078273e+00,0.000115,-0.040980
17.645978,1.000020703998008e+00,0.000180,-0.047491
20.586974,1.000032452318702e+00,0.000282,-0.052548
23.527970,1.000052747720736e+00,0.000458,-0.055198
26.468966,1.000093686822942e+00,0.000814,-0.053638
29.409963,1.000202768910193e+00,0.001761,-0.043983
32.350959,1.000690455498972e+00,0.005995,-0.015628
35.291955,1.023146681525753e+00,0.198758,0.093754
38.232951,1.282204688832113e+00,2.159147,0.136766
41.173948,1.615562451561797e+00,4.166475,0.025202
44.114944,1.983353703668335e+00,5.948003,-0.293550
47.055940,1.674588581147047e+00,4.478163,-0.648779
49.996936,1.378462146815320e+00,2.787897,-0.795501
52.937933,1.145173809228458e+00,1.177428,-0.877460
55.878929,9.752476538971115e-01,-0.217702,-0.910183
58.819925,8.444627935465154e-01,-1.468390,-0.924224
61.760922,7.304381873581068e-01,-2.728331,-0.935992
64.701918,6.181197897909346e-01,-4.178547,-0.898922
67.642914,5.460896260507910e-01,-5.254721,-0.829637
70.583910,4.849756608191279e-01,-6.285601,-0.754964
73.524907,4.409640515181829e-01,-7.111936,-0.654103
76.465903,4.076677344278077e-01,-7.793873,-0.550098
79.406899,3.810663746577616e-01,-8.379987,-0.425000
82.347895,3.700043558652256e-01,-8.635863,-0.283014
85.288892,3.712425614675322e-01,-8.606845,-0.149868
88.229888,3.809953303230768e-01,-8.381607,-0.017219
91.170884,4.050530591013653e-01,-7.849762,0.101756
94.111880,4.421831684877383e-01,-7.087956,0.191718
97.052877,4.837227877991522e-01,-6.308069,0.246347
99.993873,5.298722355292392e-01,-5.516577,0.282955
102.934869,5.747479223465399e-01,-4.810452,0.292991
105.875865,6.162923461070170e-01,-4.204265,0.297406
108.816862,6.612877408159767e-01,-3.592191,0.292500
111.757858,7.060671573939511e-01,-3.023080,0.276811
114.698854,7.477954076116613e-01,-2.524344,0.243448
117.639850,7.744080901531516e-01,-2.220602,0.205880
120.580847,7.979588198534979e-01,-1.960390,0.179186
123.521843,8.231488126630642e-01,-1.690433,0.147829
126.462839,8.486928178376669e-01,-1.424989,0.108737
129.403836,8.607835327493035e-01,-1.302121,0.053735
132.344832,8.493479457597295e-01,-1.418287,0.010325
135.285828,8.357406142895657e-01,-1.558570,-0.012628
138.226824,8.327997090667464e-01,-1.589189,-0.026288
141.167821,8.343646438842538e-01,-1.572882,-0.047296
144.108817,8.300612048103428e-01,-1.617798,-0.076524
147.049813,8.158366444649644e-01,-1.767936,-0.102062
149.990809,7.960804294393734e-01,-1.980861,-0.121931
